provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,inkling,trade.armington_elasticity.import_domestic,1,armington-clarify,none,1,gen-1786123735-AMp6JHQWNN5eJDn6sZte,415,1949,2364,0,1601,,,,,,,,,[],[],"{""completion_tokens"": 1949, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 1601, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.0082877, ""cost_details"": {""upstream_inference_completions_cost"": 0.00789345, ""upstream_inference_cost"": 0.0082877, ""upstream_inference_prompt_cost"": 0.00039425}, ""is_byok"": false, ""prompt_tokens"": 415, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 2364}"
litellm_completion,inkling,trade.armington_elasticity.import_domestic,2,armington-clarify,none,1,gen-1786123764-wXFU4Kyk4QrskZLAdwLY,415,1607,2022,384,1204,,,,,,,,,[],[],"{""completion_tokens"": 1607, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 1204, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00659924, ""cost_details"": {""upstream_inference_completions_cost"": 0.00650835, ""upstream_inference_cost"": 0.00659924, ""upstream_inference_prompt_cost"": 9.089e-05}, ""is_byok"": false, ""prompt_tokens"": 415, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 384, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 2022}"
litellm_completion,inkling,trade.armington_elasticity.import_domestic,3,armington-clarify,none,1,gen-1786123791-Opip2prxIHpS1SM6khlc,415,3814,4229,384,3514,,,,,,,,,[],[],"{""completion_tokens"": 3814, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 3514, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.01553759, ""cost_details"": {""upstream_inference_completions_cost"": 0.0154467, ""upstream_inference_cost"": 0.01553759, ""upstream_inference_prompt_cost"": 9.089e-05}, ""is_byok"": false, ""prompt_tokens"": 415, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 384, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 4229}"
litellm_completion,inkling,trade.armington_elasticity.import_domestic,4,armington-clarify,none,1,gen-1786123888-DnFJL0kzRncHJBp8ciuI,415,1552,1967,384,1274,,,,,,,,,[],[],"{""completion_tokens"": 1552, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 1274, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00637649, ""cost_details"": {""upstream_inference_completions_cost"": 0.0062856, ""upstream_inference_cost"": 0.00637649, ""upstream_inference_prompt_cost"": 9.089e-05}, ""is_byok"": false, ""prompt_tokens"": 415, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 384, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 1967}"
litellm_completion,inkling,trade.armington_elasticity.import_domestic,5,armington-clarify,none,1,gen-1786123915-rXFLTA1TILtRX1ct76XE,415,2437,2852,384,2124,,,,,,,,,[],[],"{""completion_tokens"": 2437, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 2124, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00996074, ""cost_details"": {""upstream_inference_completions_cost"": 0.00986985, ""upstream_inference_cost"": 0.00996074, ""upstream_inference_prompt_cost"": 9.089e-05}, ""is_byok"": false, ""prompt_tokens"": 415, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 384, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 2852}"
litellm_completion,inkling,trade.armington_elasticity.import_domestic,6,armington-clarify,none,1,gen-1786123949-ruciTN6yZaLNfG1YbvzZ,415,3844,4259,384,3499,,,,,,,,,[],[],"{""completion_tokens"": 3844, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 3499, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.01565909, ""cost_details"": {""upstream_inference_completions_cost"": 0.0155682, ""upstream_inference_cost"": 0.01565909, ""upstream_inference_prompt_cost"": 9.089e-05}, ""is_byok"": false, ""prompt_tokens"": 415, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 384, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 4259}"
litellm_completion,inkling,trade.armington_elasticity.import_domestic,7,armington-clarify,none,1,gen-1786123983-k9SJsE7lxjOpKdu4WDfP,415,1883,2298,384,1637,,,,,,,,,[],[],"{""completion_tokens"": 1883, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 1637, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00771704, ""cost_details"": {""upstream_inference_completions_cost"": 0.00762615, ""upstream_inference_cost"": 0.00771704, ""upstream_inference_prompt_cost"": 9.089e-05}, ""is_byok"": false, ""prompt_tokens"": 415, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 384, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 2298}"
litellm_completion,inkling,trade.armington_elasticity.import_domestic,8,armington-clarify,none,1,gen-1786123999-hvt4lHaQASXoR4Ws0Iz0,415,2191,2606,384,1975,,,,,,,,,[],[],"{""completion_tokens"": 2191, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 1975, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00896444, ""cost_details"": {""upstream_inference_completions_cost"": 0.00887355, ""upstream_inference_cost"": 0.00896444, ""upstream_inference_prompt_cost"": 9.089e-05}, ""is_byok"": false, ""prompt_tokens"": 415, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 384, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 2606}"
litellm_completion,inkling,trade.armington_elasticity.import_domestic,9,armington-clarify,none,1,gen-1786124016-tANtpd1Ei83QokriMQzV,415,1924,2339,384,1649,,,,,,,,,[],[],"{""completion_tokens"": 1924, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 1649, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00788309, ""cost_details"": {""upstream_inference_completions_cost"": 0.0077922, ""upstream_inference_cost"": 0.00788309, ""upstream_inference_prompt_cost"": 9.089e-05}, ""is_byok"": false, ""prompt_tokens"": 415, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 384, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 2339}"
litellm_completion,inkling,trade.armington_elasticity.import_domestic,10,armington-clarify,none,1,gen-1786124033-6jpA3jwTRJHDljMglO16,415,1376,1791,384,1029,,,,,,,,,[],[],"{""completion_tokens"": 1376, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 1029, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00566369, ""cost_details"": {""upstream_inference_completions_cost"": 0.0055728, ""upstream_inference_cost"": 0.00566369, ""upstream_inference_prompt_cost"": 9.089e-05}, ""is_byok"": false, ""prompt_tokens"": 415, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 384, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 1791}"
