provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
openai_responses,gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,1,v3-fulltools,full,1,resp_08f485a05779df280069d2bbe9053081a1a53fd5bdc0a9c71d,6028,171,6199,5248,0,0.000585,0.00039359999999999997,0.0007695,0.0,0.0017481,,,,[],[],"{""input_tokens"": 6028, ""input_tokens_details"": {""cached_tokens"": 5248}, ""output_tokens"": 171, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 6199}"
openai_responses,gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,2,v3-fulltools,full,1,resp_0c68ef56aaaf1eb40069d2bbeb131081a1a642f195d332c2d4,6028,180,6208,5760,0,0.000201,0.000432,0.00081,0.0,0.0014429999999999998,,,,[],[],"{""input_tokens"": 6028, ""input_tokens_details"": {""cached_tokens"": 5760}, ""output_tokens"": 180, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 6208}"
openai_responses,gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,3,v3-fulltools,full,1,resp_08ee710554bb3a0e0069d2bbed4bd081968830bc9df1efc6a4,6028,169,6197,5760,0,0.000201,0.000432,0.0007605,0.0,0.0013935,,,,[],[],"{""input_tokens"": 6028, ""input_tokens_details"": {""cached_tokens"": 5760}, ""output_tokens"": 169, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 6197}"
openai_responses,gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,4,v3-fulltools,full,1,resp_0a7175cc54a0c85f0069d2bbef88808196a83cfbfc0e72f01a,6028,208,6236,5760,0,0.000201,0.000432,0.000936,0.0,0.001569,,,,[],[],"{""input_tokens"": 6028, ""input_tokens_details"": {""cached_tokens"": 5760}, ""output_tokens"": 208, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 6236}"
openai_responses,gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,5,v3-fulltools,full,1,resp_096fd6f46a5d32db0069d2bbf24de88193b9af47770e02eaa0,6028,202,6230,5760,0,0.000201,0.000432,0.000909,0.0,0.001542,,,,[],[],"{""input_tokens"": 6028, ""input_tokens_details"": {""cached_tokens"": 5760}, ""output_tokens"": 202, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 6230}"
openai_responses,gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,6,v3-fulltools,full,1,resp_055dfc1ae2b050fc0069d2bbf4ea68819fbb897f1bced7ced3,6028,198,6226,5760,0,0.000201,0.000432,0.000891,0.0,0.001524,,,,[],[],"{""input_tokens"": 6028, ""input_tokens_details"": {""cached_tokens"": 5760}, ""output_tokens"": 198, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 6226}"
openai_responses,gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,7,v3-fulltools,full,1,resp_0a1ec8666ca303bf0069d2bbf70b3081a3b3d712d2f3d3df44,6028,202,6230,5760,0,0.000201,0.000432,0.000909,0.0,0.001542,,,,[],[],"{""input_tokens"": 6028, ""input_tokens_details"": {""cached_tokens"": 5760}, ""output_tokens"": 202, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 6230}"
openai_responses,gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,8,v3-fulltools,full,1,resp_0d7e9da7115d07940069d2bbf973248197a6bc8e6e07bb4347,6028,204,6232,5760,0,0.000201,0.000432,0.000918,0.0,0.0015509999999999999,,,,[],[],"{""input_tokens"": 6028, ""input_tokens_details"": {""cached_tokens"": 5760}, ""output_tokens"": 204, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 6232}"
openai_responses,gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,9,v3-fulltools,full,1,resp_0156eced427cd0330069d2bbfc76248197af436edaa3503f4d,6028,175,6203,5760,0,0.000201,0.000432,0.0007875,0.0,0.0014204999999999999,,,,[],[],"{""input_tokens"": 6028, ""input_tokens_details"": {""cached_tokens"": 5760}, ""output_tokens"": 175, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 6203}"
openai_responses,gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,10,v3-fulltools,full,1,resp_02f5943a9587ee570069d2bbff256081a3bd2afb6c938e8fbb,6028,196,6224,5760,0,0.000201,0.000432,0.000882,0.0,0.0015149999999999999,,,,[],[],"{""input_tokens"": 6028, ""input_tokens_details"": {""cached_tokens"": 5760}, ""output_tokens"": 196, ""output_tokens_details"": {""reasoning_tokens"": 0}, ""total_tokens"": 6224}"
