provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,1,v2,none,1,jNbSaZHsNOOx1MkPsOncuAo,371,419,790,,116,,,,,0.0007212499999999999,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 419, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 116, ""rejected_prediction_tokens"": null, ""text_tokens"": 303}, ""litellm_cost_usd"": 0.0007212499999999999, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 790}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,2,v2,none,1,j9bSaczWF6Wn1MkP2PeroAo,371,400,771,,114,,,,,0.00069275,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 400, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 114, ""rejected_prediction_tokens"": null, ""text_tokens"": 286}, ""litellm_cost_usd"": 0.00069275, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 771}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,3,v2,none,1,ktbSafFi-aPUyQ-6qIXYBw,371,461,832,,131,,,,,0.00078425,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 461, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 131, ""rejected_prediction_tokens"": null, ""text_tokens"": 330}, ""litellm_cost_usd"": 0.00078425, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 832}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,4,v2,none,1,lNbSabKbIfGi1MkPu7vmqAU,371,413,784,,127,,,,,0.00071225,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 413, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 127, ""rejected_prediction_tokens"": null, ""text_tokens"": 286}, ""litellm_cost_usd"": 0.00071225, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 784}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,5,v2,none,1,l9bSaaKKHrSf1MkPyqHemAU,371,428,799,,127,,,,,0.0007347499999999999,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 428, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 127, ""rejected_prediction_tokens"": null, ""text_tokens"": 301}, ""litellm_cost_usd"": 0.0007347499999999999, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 799}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,6,v2,none,1,mtbSaYndFI2c1MkPpZPawQw,371,385,756,,111,,,,,0.00067025,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 385, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 111, ""rejected_prediction_tokens"": null, ""text_tokens"": 274}, ""litellm_cost_usd"": 0.00067025, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 756}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,7,v2,none,1,nNbSaZyFMtOt1MkPwe2S4Qo,371,394,765,,137,,,,,0.0006837499999999999,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 394, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 137, ""rejected_prediction_tokens"": null, ""text_tokens"": 257}, ""litellm_cost_usd"": 0.0006837499999999999, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 765}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,8,v2,none,1,n9bSafaFLsyZ1MkPpK6h6AY,371,403,774,,139,,,,,0.00069725,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 403, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 139, ""rejected_prediction_tokens"": null, ""text_tokens"": 264}, ""litellm_cost_usd"": 0.00069725, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 774}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,9,v2,none,1,o9bSacSSEue01MkP89CruQQ,371,436,807,,127,,,,,0.0007467499999999999,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 436, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 127, ""rejected_prediction_tokens"": null, ""text_tokens"": 309}, ""litellm_cost_usd"": 0.0007467499999999999, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 807}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,10,v2,none,1,ptbSaZ_VB7yd1MkPrrffqA8,371,388,759,,123,,,,,0.00067475,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 388, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 123, ""rejected_prediction_tokens"": null, ""text_tokens"": 265}, ""litellm_cost_usd"": 0.00067475, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 759}"
