provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,gemini-3.1-pro-preview,household.annual_discount_factor,1,v4,none,1,MbfnaZv5FZ_QjMcPz8nnmAI,349,622,971,,383,,,,,0.008162,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 622, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 383, ""rejected_prediction_tokens"": null, ""text_tokens"": 239}, ""litellm_cost_usd"": 0.008162, ""prompt_tokens"": 349, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 349}, ""total_tokens"": 971}"
litellm_completion,gemini-3.1-pro-preview,household.annual_discount_factor,2,v4,none,1,OLfnad33KfrdjMcP1KK8wA8,349,610,959,,378,,,,,0.008018,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 610, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 378, ""rejected_prediction_tokens"": null, ""text_tokens"": 232}, ""litellm_cost_usd"": 0.008018, ""prompt_tokens"": 349, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 349}, ""total_tokens"": 959}"
litellm_completion,gemini-3.1-pro-preview,household.annual_discount_factor,3,v4,none,1,P7fnaa6gH6GdjMcPyYfmKA,349,520,869,,281,,,,,0.006938,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 520, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 281, ""rejected_prediction_tokens"": null, ""text_tokens"": 239}, ""litellm_cost_usd"": 0.006938, ""prompt_tokens"": 349, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 349}, ""total_tokens"": 869}"
litellm_completion,gemini-3.1-pro-preview,household.annual_discount_factor,4,v4,none,1,RrfnabyuBcmxjMcPteHB-A8,349,605,954,,355,,,,,0.007958,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 605, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 355, ""rejected_prediction_tokens"": null, ""text_tokens"": 250}, ""litellm_cost_usd"": 0.007958, ""prompt_tokens"": 349, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 349}, ""total_tokens"": 954}"
litellm_completion,gemini-3.1-pro-preview,household.annual_discount_factor,5,v4,none,1,T7fnaa7FManQjMcPqvrswQ8,349,716,1065,,457,,,,,0.009290000000000001,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 716, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 457, ""rejected_prediction_tokens"": null, ""text_tokens"": 259}, ""litellm_cost_usd"": 0.009290000000000001, ""prompt_tokens"": 349, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 349}, ""total_tokens"": 1065}"
litellm_completion,gemini-3.1-pro-preview,household.annual_discount_factor,6,v4,none,1,WLfnabW3LITUjMcPr426wQI,349,478,827,,209,,,,,0.006434,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 478, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 209, ""rejected_prediction_tokens"": null, ""text_tokens"": 269}, ""litellm_cost_usd"": 0.006434, ""prompt_tokens"": 349, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 349}, ""total_tokens"": 827}"
litellm_completion,gemini-3.1-pro-preview,household.annual_discount_factor,7,v4,none,1,Xbfnae6zJ6rF-sAP4emZ4Q8,349,465,814,,244,,,,,0.006278,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 465, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 244, ""rejected_prediction_tokens"": null, ""text_tokens"": 221}, ""litellm_cost_usd"": 0.006278, ""prompt_tokens"": 349, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 349}, ""total_tokens"": 814}"
litellm_completion,gemini-3.1-pro-preview,household.annual_discount_factor,8,v4,none,1,Y7fnacfYMaD9qtsPgKq0yQs,349,502,851,,276,,,,,0.006722,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 502, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 276, ""rejected_prediction_tokens"": null, ""text_tokens"": 226}, ""litellm_cost_usd"": 0.006722, ""prompt_tokens"": 349, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 349}, ""total_tokens"": 851}"
litellm_completion,gemini-3.1-pro-preview,household.annual_discount_factor,9,v4,none,1,bLfnacKODJyL-sAPtJ7F2Q4,349,561,910,,309,,,,,0.00743,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 561, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 309, ""rejected_prediction_tokens"": null, ""text_tokens"": 252}, ""litellm_cost_usd"": 0.00743, ""prompt_tokens"": 349, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 349}, ""total_tokens"": 910}"
litellm_completion,gemini-3.1-pro-preview,household.annual_discount_factor,10,v4,none,1,c7fnabuoEvrdjMcP1KK8wA8,349,596,945,,317,,,,,0.007850000000000001,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 596, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 317, ""rejected_prediction_tokens"": null, ""text_tokens"": 279}, ""litellm_cost_usd"": 0.007850000000000001, ""prompt_tokens"": 349, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 349}, ""total_tokens"": 945}"
