provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
openai_chat_completions,gpt-5.4-mini,household.annual_discount_factor,1,v4,none,5,chatcmpl-DWLVBoxFhiwlPBW8L5IJPVUezvo0d,444,809,1253,0,0,0.000333,0.0,0.0036405,0.0,0.0039735000000000005,,,,[],[],"{""completion_tokens"": 809, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 444, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1253}"
openai_chat_completions,gpt-5.4-mini,household.annual_discount_factor,2,v4,none,5,chatcmpl-DWLVEPCDGpNGcZ4j6CFhSbwjwJwDm,444,889,1333,0,0,0.000333,0.0,0.0040005,0.0,0.0043335,,,,[],[],"{""completion_tokens"": 889, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 444, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1333}"
openai_chat_completions,gpt-5.4-mini,household.annual_discount_factor,3,v4,none,5,chatcmpl-DWLVH2NAESJOP6XBzIm2eU7Y3ik1N,444,839,1283,0,0,0.000333,0.0,0.0037755,0.0,0.0041085,,,,[],[],"{""completion_tokens"": 839, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 444, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1283}"
openai_chat_completions,gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,4,v4,none,5,chatcmpl-DWLVJBkCtZbGYKEdlSc9SGctMhiXI,480,984,1464,0,0,0.00036,0.0,0.004428,0.0,0.004788,,,,[],[],"{""completion_tokens"": 984, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 480, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1464}"
openai_chat_completions,gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,5,v4,none,5,chatcmpl-DWLVLC3ehqBGohGpwNhImHMv13HHj,480,979,1459,0,0,0.00036,0.0,0.0044055,0.0,0.0047655,,,,[],[],"{""completion_tokens"": 979, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 480, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1459}"
openai_chat_completions,gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,6,v4,none,5,chatcmpl-DWLVNKlPo5P6KrgJWYImwaAqakb0e,480,946,1426,0,0,0.00036,0.0,0.004257,0.0,0.0046170000000000004,,,,[],[],"{""completion_tokens"": 946, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 480, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1426}"
openai_chat_completions,gpt-5.4-mini,household.relative_risk_aversion.crra,7,v4,none,5,chatcmpl-DWLVPEjFfn5wvwsVWqzI3RYrX2IF1,451,799,1250,0,0,0.00033825,0.0,0.0035955,0.0,0.00393375,,,,[],[],"{""completion_tokens"": 799, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 451, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1250}"
openai_chat_completions,gpt-5.4-mini,household.relative_risk_aversion.crra,8,v4,none,5,chatcmpl-DWLVSdRtapaf68xwjPhoxsYvbNFIl,451,841,1292,0,0,0.00033825,0.0,0.0037845,0.0,0.00412275,,,,[],[],"{""completion_tokens"": 841, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 451, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1292}"
openai_chat_completions,gpt-5.4-mini,household.relative_risk_aversion.crra,9,v4,none,5,chatcmpl-DWLVUyZZRUKM5EfCDU8V5KPLghCYV,451,823,1274,0,0,0.00033825,0.0,0.0037035,0.0,0.00404175,,,,[],[],"{""completion_tokens"": 823, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 451, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1274}"
openai_chat_completions,gpt-5.4-mini,labor_supply.extensive_margin.single_mothers,10,v4,none,5,chatcmpl-DWLVXw9ux5JyWfYhBxTwweuhPYBP6,467,975,1442,0,0,0.00035025,0.0,0.0043875,0.0,0.00473775,,,,[],[],"{""completion_tokens"": 975, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 467, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1442}"
