provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,1,v2,none,1,bd312563-2825-95d6-8e10-72d0dac5a1cd,699,129,2146,64,1318,,,,,0.0099648,,,,[],[],"{""completion_tokens"": 129, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1318, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 99648000, ""num_sources_used"": 0, ""prompt_tokens"": 699, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 64, ""image_tokens"": 0, ""text_tokens"": 699}, ""total_tokens"": 2146}"
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,2,v2,none,1,cf9fd4db-eeb2-9a77-b1ff-71d1491dc998,699,259,2311,640,1353,,,,,0.009918,,,,[],[],"{""completion_tokens"": 259, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1353, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 99180000, ""num_sources_used"": 0, ""prompt_tokens"": 699, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 640, ""image_tokens"": 0, ""text_tokens"": 699}, ""total_tokens"": 2311}"
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,3,v2,none,1,d1b54901-2d40-9f8f-bd10-68dc6b635824,699,139,2336,640,1498,,,,,0.010068,,,,[],[],"{""completion_tokens"": 139, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1498, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 100680000, ""num_sources_used"": 0, ""prompt_tokens"": 699, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 640, ""image_tokens"": 0, ""text_tokens"": 699}, ""total_tokens"": 2336}"
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,4,v2,none,1,b2146a5b-2e69-93e8-8199-10f2c71eded5,699,423,2070,640,948,,,,,0.008472,,,,[],[],"{""completion_tokens"": 423, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 948, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 84720000, ""num_sources_used"": 0, ""prompt_tokens"": 699, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 640, ""image_tokens"": 0, ""text_tokens"": 699}, ""total_tokens"": 2070}"
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,5,v2,none,1,4e499a29-fdeb-997a-8a5a-07c15302a362,699,303,2849,640,1847,,,,,0.013146,,,,[],[],"{""completion_tokens"": 303, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1847, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 131460000, ""num_sources_used"": 0, ""prompt_tokens"": 699, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 640, ""image_tokens"": 0, ""text_tokens"": 699}, ""total_tokens"": 2849}"
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,6,v2,none,1,faa4c108-b8cf-9751-9289-29cf9d13e5bd,699,129,1700,640,872,,,,,0.006252,,,,[],[],"{""completion_tokens"": 129, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 872, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 62520000, ""num_sources_used"": 0, ""prompt_tokens"": 699, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 640, ""image_tokens"": 0, ""text_tokens"": 699}, ""total_tokens"": 1700}"
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,7,v2,none,1,c5963da4-6c2d-9c41-95c1-5611d4a8aa28,699,142,2267,640,1426,,,,,0.009654,,,,[],[],"{""completion_tokens"": 142, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1426, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 96540000, ""num_sources_used"": 0, ""prompt_tokens"": 699, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 640, ""image_tokens"": 0, ""text_tokens"": 699}, ""total_tokens"": 2267}"
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,8,v2,none,1,66477eaf-1695-9f85-b4ce-d81d432b1678,699,236,2557,640,1622,,,,,0.011394,,,,[],[],"{""completion_tokens"": 236, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1622, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 113940000, ""num_sources_used"": 0, ""prompt_tokens"": 699, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 640, ""image_tokens"": 0, ""text_tokens"": 699}, ""total_tokens"": 2557}"
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,9,v2,none,1,b5d17270-eaa0-9a9e-b595-99d207b66350,699,141,1805,640,965,,,,,0.006882,,,,[],[],"{""completion_tokens"": 141, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 965, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 68820000, ""num_sources_used"": 0, ""prompt_tokens"": 699, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 640, ""image_tokens"": 0, ""text_tokens"": 699}, ""total_tokens"": 1805}"
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,10,v2,none,1,3c4f532f-1ab6-9d78-bd28-f4b12638bbc4,699,116,2312,640,1497,,,,,0.009924,,,,[],[],"{""completion_tokens"": 116, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1497, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 99240000, ""num_sources_used"": 0, ""prompt_tokens"": 699, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 640, ""image_tokens"": 0, ""text_tokens"": 699}, ""total_tokens"": 2312}"
