provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,claude-opus-4.7,household.annual_discount_factor,1,v4,none,1,chatcmpl-8768a62b-bad3-417f-9ce2-0cb6e057a485,1602,405,2007,0,0,,,,,0.018135000000000002,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 405, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 405}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.018135000000000002, ""prompt_tokens"": 1602, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 2007}"
litellm_completion,claude-opus-4.7,household.annual_discount_factor,2,v4,none,1,chatcmpl-0f40b4d3-2674-4112-af6a-114ead872e5e,1602,415,2017,0,0,,,,,0.018385000000000002,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 415, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 415}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.018385000000000002, ""prompt_tokens"": 1602, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 2017}"
litellm_completion,claude-opus-4.7,household.annual_discount_factor,3,v4,none,1,chatcmpl-7e0f247d-5541-419b-8a21-1a73cc681d1a,1602,433,2035,0,0,,,,,0.018835000000000005,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 433, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 433}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.018835000000000005, ""prompt_tokens"": 1602, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 2035}"
litellm_completion,claude-opus-4.7,household.annual_discount_factor,4,v4,none,1,chatcmpl-3ad7c078-f292-42e0-9629-e179302c8017,1602,410,2012,0,0,,,,,0.018260000000000002,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 410, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 410}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.018260000000000002, ""prompt_tokens"": 1602, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 2012}"
litellm_completion,claude-opus-4.7,household.annual_discount_factor,5,v4,none,1,chatcmpl-ebeb7360-d52f-4977-b231-08d5f93c363d,1602,449,2051,0,0,,,,,0.019235000000000002,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 449, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 449}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.019235000000000002, ""prompt_tokens"": 1602, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 2051}"
litellm_completion,claude-opus-4.7,household.annual_discount_factor,6,v4,none,1,chatcmpl-c158e09d-e50f-443c-b5ad-52b1018186ae,1602,417,2019,0,0,,,,,0.018435,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 417, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 417}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.018435, ""prompt_tokens"": 1602, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 2019}"
litellm_completion,claude-opus-4.7,household.annual_discount_factor,7,v4,none,1,chatcmpl-7d022817-0397-44f8-ab0c-176805290545,1602,423,2025,0,0,,,,,0.018585000000000004,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 423, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 423}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.018585000000000004, ""prompt_tokens"": 1602, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 2025}"
litellm_completion,claude-opus-4.7,household.annual_discount_factor,8,v4,none,1,chatcmpl-cbd7ca83-8cc8-4d2e-83ff-48aa1f1db46d,1602,389,1991,0,0,,,,,0.017735,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 389, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 389}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.017735, ""prompt_tokens"": 1602, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1991}"
litellm_completion,claude-opus-4.7,household.annual_discount_factor,9,v4,none,1,chatcmpl-022ba405-7899-48bf-935a-fc515a76f08e,1602,403,2005,0,0,,,,,0.018085000000000004,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 403, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 403}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.018085000000000004, ""prompt_tokens"": 1602, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 2005}"
litellm_completion,claude-opus-4.7,household.annual_discount_factor,10,v4,none,1,chatcmpl-8a2bfa7d-fce8-4582-a148-70d34c0bc643,1602,426,2028,0,0,,,,,0.018660000000000003,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 426, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 426}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.018660000000000003, ""prompt_tokens"": 1602, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 2028}"
