provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,claude-sonnet-4.6,trade.armington_elasticity.import_domestic,1,armington-clarify,none,1,chatcmpl-c14e5936-ae08-43fc-a1d8-dd01425b809d,1286,420,1706,0,0,,,,,0.010158,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 420, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 420, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010158, ""prompt_tokens"": 1286, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1706}"
litellm_completion,claude-sonnet-4.6,trade.armington_elasticity.import_domestic,2,armington-clarify,none,1,chatcmpl-3c17223a-84b4-4ca9-8169-8e7dbefce9cd,1286,478,1764,0,0,,,,,0.011028,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 478, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 478, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.011028, ""prompt_tokens"": 1286, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1764}"
litellm_completion,claude-sonnet-4.6,trade.armington_elasticity.import_domestic,3,armington-clarify,none,1,chatcmpl-0b371d73-1ccf-4a2e-9092-0f499d2ca00e,1286,396,1682,0,0,,,,,0.009798,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 396, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 396, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.009798, ""prompt_tokens"": 1286, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1682}"
litellm_completion,claude-sonnet-4.6,trade.armington_elasticity.import_domestic,4,armington-clarify,none,1,chatcmpl-4c6b8cd9-b488-4ffa-900e-2c1cc3f0e907,1286,422,1708,0,0,,,,,0.010188000000000001,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 422, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 422, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010188000000000001, ""prompt_tokens"": 1286, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1708}"
litellm_completion,claude-sonnet-4.6,trade.armington_elasticity.import_domestic,5,armington-clarify,none,1,chatcmpl-ceb6f076-dee6-4f8d-9dc7-fb977fcd10e5,1286,421,1707,0,0,,,,,0.010173,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 421, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 421, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010173, ""prompt_tokens"": 1286, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1707}"
litellm_completion,claude-sonnet-4.6,trade.armington_elasticity.import_domestic,6,armington-clarify,none,1,chatcmpl-c150223e-cb40-433c-82d6-2943ad9424bf,1286,472,1758,0,0,,,,,0.010938,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 472, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 472, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010938, ""prompt_tokens"": 1286, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1758}"
litellm_completion,claude-sonnet-4.6,trade.armington_elasticity.import_domestic,7,armington-clarify,none,1,chatcmpl-2d6b99f6-ee3c-4a0b-9513-708fcfbecbfd,1286,420,1706,0,0,,,,,0.010158,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 420, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 420, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010158, ""prompt_tokens"": 1286, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1706}"
litellm_completion,claude-sonnet-4.6,trade.armington_elasticity.import_domestic,8,armington-clarify,none,1,chatcmpl-09faa56a-e2e9-41f8-b720-583113b1923c,1286,489,1775,0,0,,,,,0.011193,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 489, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 489, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.011193, ""prompt_tokens"": 1286, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1775}"
litellm_completion,claude-sonnet-4.6,trade.armington_elasticity.import_domestic,9,armington-clarify,none,1,chatcmpl-1c0aa2fa-7302-4148-be7b-87138dfee7be,1286,439,1725,0,0,,,,,0.010443000000000001,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 439, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 439, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010443000000000001, ""prompt_tokens"": 1286, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1725}"
litellm_completion,claude-sonnet-4.6,trade.armington_elasticity.import_domestic,10,armington-clarify,none,1,chatcmpl-f97005a6-32e6-47f3-8fd7-e6959355531f,1286,435,1721,0,0,,,,,0.010383,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 435, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 435, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.010383, ""prompt_tokens"": 1286, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1721}"
