provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,1,v2,none,1,H9LSaZW3D-il1MkP8bS8uAg,371,607,978,,277,,,,,0.008026,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 607, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 277, ""rejected_prediction_tokens"": null, ""text_tokens"": 330}, ""litellm_cost_usd"": 0.008026, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 978}"
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,2,v2,none,1,JtLSaaH_HZvU1MkP9d67mA0,371,694,1065,,367,,,,,0.00907,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 694, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 367, ""rejected_prediction_tokens"": null, ""text_tokens"": 327}, ""litellm_cost_usd"": 0.00907, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 1065}"
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,3,v2,none,1,LdLSaeu9HJ6v1MkP3MiLKA,371,692,1063,,360,,,,,0.009045999999999998,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 692, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 360, ""rejected_prediction_tokens"": null, ""text_tokens"": 332}, ""litellm_cost_usd"": 0.009045999999999998, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 1063}"
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,4,v2,none,1,N9LSac6TENaw1MkPvrLM2Qo,371,1054,1425,,761,,,,,0.013389999999999999,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1054, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 761, ""rejected_prediction_tokens"": null, ""text_tokens"": 293}, ""litellm_cost_usd"": 0.013389999999999999, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 1425}"
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,5,v2,none,1,QdLSaZiaJZCs1MkP6O3OyQc,371,1085,1456,,701,,,,,0.013762,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1085, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 701, ""rejected_prediction_tokens"": null, ""text_tokens"": 384}, ""litellm_cost_usd"": 0.013762, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 1456}"
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,6,v2,none,1,R9LSafDWEdLV1MkP5J6KuQQ,371,688,1059,,307,,,,,0.008998,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 688, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 307, ""rejected_prediction_tokens"": null, ""text_tokens"": 381}, ""litellm_cost_usd"": 0.008998, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 1059}"
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,7,v2,none,1,UdLSabLpE-Ct1MkP6L29iA4,371,1093,1464,,745,,,,,0.013857999999999999,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1093, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 745, ""rejected_prediction_tokens"": null, ""text_tokens"": 348}, ""litellm_cost_usd"": 0.013857999999999999, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 1464}"
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,8,v2,none,1,W9LSafPYFK3D1MkP9aTguAs,371,893,1264,,535,,,,,0.011458,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 893, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 535, ""rejected_prediction_tokens"": null, ""text_tokens"": 358}, ""litellm_cost_usd"": 0.011458, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 1264}"
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,9,v2,none,1,YtLSaZniEIey1MkPoK-I0Q8,371,658,1029,,318,,,,,0.008638,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 658, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 318, ""rejected_prediction_tokens"": null, ""text_tokens"": 340}, ""litellm_cost_usd"": 0.008638, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 1029}"
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,10,v2,none,1,atLSabP3C9GW9MoPgPHQ4Qs,371,756,1127,,391,,,,,0.009814,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 756, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 391, ""rejected_prediction_tokens"": null, ""text_tokens"": 365}, ""litellm_cost_usd"": 0.009814, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 1127}"
