provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,1,ies-clarify,none,1,chzVae--A7eY9MoP_8mU-Q4,486,1186,1672,,1094,,,,,0.015204000000000002,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1094, ""rejected_prediction_tokens"": null, ""text_tokens"": 92, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015204000000000002, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1672}"
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,2,ies-clarify,none,1,fxzVadu-Mv2B1MkP6MDziAo,486,1186,1672,,1151,,,,,0.015204,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1151, ""rejected_prediction_tokens"": null, ""text_tokens"": 35, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015204, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1672}"
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,3,ies-clarify,none,1,jRzVaenDBaGc1MkPrKfO6Ak,486,1186,1672,,1149,,,,,0.015204,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1149, ""rejected_prediction_tokens"": null, ""text_tokens"": 37, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015204, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1672}"
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,4,ies-clarify,none,1,mxzVadbiA-Gw1MkP1IHRqQ8,486,1186,1672,,1153,,,,,0.015204000000000002,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1153, ""rejected_prediction_tokens"": null, ""text_tokens"": 33, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015204000000000002, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1672}"
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,5,ies-clarify,none,1,phzVaZKeObWp1MkPwq7Y8AM,486,1186,1672,,1033,,,,,0.015204000000000002,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1033, ""rejected_prediction_tokens"": null, ""text_tokens"": 153, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015204000000000002, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1672}"
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,6,ies-clarify,none,1,tBzVaev4FrKt1MkPpvnxkQU,486,1186,1672,,1153,,,,,0.015204000000000002,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1153, ""rejected_prediction_tokens"": null, ""text_tokens"": 33, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015204000000000002, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1672}"
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,7,ies-clarify,none,1,yxzVaabnArig1MkP3Mi30QM,486,1186,1672,,1148,,,,,0.015204,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1148, ""rejected_prediction_tokens"": null, ""text_tokens"": 38, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015204, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1672}"
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,8,ies-clarify,none,1,1xzVaaXEEsrC1MkP7vur0QE,486,1186,1672,,1148,,,,,0.015204,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1148, ""rejected_prediction_tokens"": null, ""text_tokens"": 38, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015204, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1672}"
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,9,ies-clarify,none,1,5RzVabqrJqzkjMcP9qPOiQQ,486,1186,1672,,1150,,,,,0.015204,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1150, ""rejected_prediction_tokens"": null, ""text_tokens"": 36, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015204, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1672}"
litellm_completion,gemini-3.1-pro-preview,household.intertemporal_elasticity_of_substitution,10,ies-clarify,none,1,8hzVafX0KJ2w1MkPyZSt6QY,486,1186,1672,,1152,,,,,0.015204,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1152, ""rejected_prediction_tokens"": null, ""text_tokens"": 34, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015204, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1672}"
