provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,1,v2,none,1,chatcmpl-688d7d27-bc33-4c72-8c9f-2e303ee58bc1,1208,376,1584,0,0,,,,,0.003088,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 376, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 376}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.003088, ""prompt_tokens"": 1208, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1584}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,2,v2,none,1,chatcmpl-17917ed0-ed6f-4bcf-baeb-4fa8b16972b8,1208,397,1605,0,0,,,,,0.003193,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 397, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 397}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.003193, ""prompt_tokens"": 1208, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1605}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,3,v2,none,1,chatcmpl-a43354cc-19ec-4503-9b94-ed76c40d6a8e,1208,396,1604,0,0,,,,,0.003188,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 396, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 396}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.003188, ""prompt_tokens"": 1208, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1604}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,4,v2,none,1,chatcmpl-245595f3-ec75-4c9b-a082-ac9ee788b7b8,1208,412,1620,0,0,,,,,0.003268,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 412, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 412}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.003268, ""prompt_tokens"": 1208, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1620}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,5,v2,none,1,chatcmpl-0228c633-4317-429a-9bcd-8ded3915e0aa,1208,371,1579,0,0,,,,,0.0030629999999999998,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 371, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 371}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.0030629999999999998, ""prompt_tokens"": 1208, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1579}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,6,v2,none,1,chatcmpl-a02effdb-ac6f-491f-b61c-c1c7a778f56f,1208,377,1585,0,0,,,,,0.0030930000000000003,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 377, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 377}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.0030930000000000003, ""prompt_tokens"": 1208, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1585}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,7,v2,none,1,chatcmpl-4d60534b-925c-4197-885e-251396c7c74e,1208,395,1603,0,0,,,,,0.003183,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 395, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 395}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.003183, ""prompt_tokens"": 1208, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1603}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,8,v2,none,1,chatcmpl-843611c1-8eea-4b9f-84b5-1bec245c3d5a,1208,350,1558,0,0,,,,,0.0029579999999999997,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 350, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 350}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.0029579999999999997, ""prompt_tokens"": 1208, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1558}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,9,v2,none,1,chatcmpl-f89a4e3f-67b8-42d1-8986-b057c9ed359a,1208,372,1580,0,0,,,,,0.003068,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 372, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 372}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.003068, ""prompt_tokens"": 1208, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1580}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,10,v2,none,1,chatcmpl-8ee417ef-335a-4cfd-8154-9f45bdde5082,1208,374,1582,0,0,,,,,0.003078,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 374, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 374}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.003078, ""prompt_tokens"": 1208, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1582}"
