provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,grok-4.1-fast,trade.armington_elasticity.import_domestic,1,armington-clarify,none,1,fb11fbc8-2e11-9b44-9fda-f3c98caa65a1,859,211,1070,858,0,,,,,0.00014859999999999998,,,,[],[],"{""completion_tokens"": 211, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 1486000, ""litellm_cost_usd"": 0.00014859999999999998, ""num_sources_used"": 0, ""prompt_tokens"": 859, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 858, ""image_tokens"": 0, ""text_tokens"": 859, ""video_tokens"": null}, ""total_tokens"": 1070}"
litellm_completion,grok-4.1-fast,trade.armington_elasticity.import_domestic,2,armington-clarify,none,1,e2591530-3dba-91cf-9e33-711172e3ecb7,859,201,1060,858,0,,,,,0.0001436,,,,[],[],"{""completion_tokens"": 201, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 1436000, ""litellm_cost_usd"": 0.0001436, ""num_sources_used"": 0, ""prompt_tokens"": 859, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 858, ""image_tokens"": 0, ""text_tokens"": 859, ""video_tokens"": null}, ""total_tokens"": 1060}"
litellm_completion,grok-4.1-fast,trade.armington_elasticity.import_domestic,3,armington-clarify,none,1,dde3e415-6ba5-9318-8f4d-b327762c3be1,859,196,1055,858,0,,,,,0.0001411,,,,[],[],"{""completion_tokens"": 196, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 1411000, ""litellm_cost_usd"": 0.0001411, ""num_sources_used"": 0, ""prompt_tokens"": 859, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 858, ""image_tokens"": 0, ""text_tokens"": 859, ""video_tokens"": null}, ""total_tokens"": 1055}"
litellm_completion,grok-4.1-fast,trade.armington_elasticity.import_domestic,4,armington-clarify,none,1,c9fcb510-d601-9df9-8d69-80c26f3efdff,859,184,1043,858,0,,,,,0.0001351,,,,[],[],"{""completion_tokens"": 184, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 1351000, ""litellm_cost_usd"": 0.0001351, ""num_sources_used"": 0, ""prompt_tokens"": 859, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 858, ""image_tokens"": 0, ""text_tokens"": 859, ""video_tokens"": null}, ""total_tokens"": 1043}"
litellm_completion,grok-4.1-fast,trade.armington_elasticity.import_domestic,5,armington-clarify,none,1,fa49ad05-faf7-94b9-a0fa-8e461f85db40,859,182,1041,858,0,,,,,0.00013409999999999998,,,,[],[],"{""completion_tokens"": 182, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 1341000, ""litellm_cost_usd"": 0.00013409999999999998, ""num_sources_used"": 0, ""prompt_tokens"": 859, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 858, ""image_tokens"": 0, ""text_tokens"": 859, ""video_tokens"": null}, ""total_tokens"": 1041}"
litellm_completion,grok-4.1-fast,trade.armington_elasticity.import_domestic,6,armington-clarify,none,1,32ca5ba1-e1e0-92aa-b213-a6bb0a88890b,859,189,1048,858,0,,,,,0.00013759999999999998,,,,[],[],"{""completion_tokens"": 189, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 1376000, ""litellm_cost_usd"": 0.00013759999999999998, ""num_sources_used"": 0, ""prompt_tokens"": 859, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 858, ""image_tokens"": 0, ""text_tokens"": 859, ""video_tokens"": null}, ""total_tokens"": 1048}"
litellm_completion,grok-4.1-fast,trade.armington_elasticity.import_domestic,7,armington-clarify,none,1,75ad9de0-1c4c-9ced-9691-d6b6f3d37f64,859,197,1056,858,0,,,,,0.0001416,,,,[],[],"{""completion_tokens"": 197, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 1416000, ""litellm_cost_usd"": 0.0001416, ""num_sources_used"": 0, ""prompt_tokens"": 859, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 858, ""image_tokens"": 0, ""text_tokens"": 859, ""video_tokens"": null}, ""total_tokens"": 1056}"
litellm_completion,grok-4.1-fast,trade.armington_elasticity.import_domestic,8,armington-clarify,none,1,d093659d-a4a0-97d5-bca8-fef5d126f6fe,859,181,1040,858,0,,,,,0.0001336,,,,[],[],"{""completion_tokens"": 181, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 1336000, ""litellm_cost_usd"": 0.0001336, ""num_sources_used"": 0, ""prompt_tokens"": 859, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 858, ""image_tokens"": 0, ""text_tokens"": 859, ""video_tokens"": null}, ""total_tokens"": 1040}"
litellm_completion,grok-4.1-fast,trade.armington_elasticity.import_domestic,9,armington-clarify,none,1,e6bd5b19-630c-9874-ae94-9d1392f10c24,859,181,1040,858,0,,,,,0.0001336,,,,[],[],"{""completion_tokens"": 181, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 1336000, ""litellm_cost_usd"": 0.0001336, ""num_sources_used"": 0, ""prompt_tokens"": 859, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 858, ""image_tokens"": 0, ""text_tokens"": 859, ""video_tokens"": null}, ""total_tokens"": 1040}"
litellm_completion,grok-4.1-fast,trade.armington_elasticity.import_domestic,10,armington-clarify,none,1,a6f67b48-8092-9715-b865-38c4db8e5817,859,184,1043,858,0,,,,,0.0001351,,,,[],[],"{""completion_tokens"": 184, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 1351000, ""litellm_cost_usd"": 0.0001351, ""num_sources_used"": 0, ""prompt_tokens"": 859, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 858, ""image_tokens"": 0, ""text_tokens"": 859, ""video_tokens"": null}, ""total_tokens"": 1043}"
