provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,claude-sonnet-4.6,household.intertemporal_elasticity_of_substitution,1,ies-clarify,none,1,chatcmpl-0f1ef0d6-c1bf-430f-9674-91809702ad9f,1339,521,1860,0,0,,,,,0.011832,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 521, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 521, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.011832, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1860}"
litellm_completion,claude-sonnet-4.6,household.intertemporal_elasticity_of_substitution,2,ies-clarify,none,1,chatcmpl-162687b4-f68f-4b19-a13a-aa5bb02c6f41,1339,551,1890,0,0,,,,,0.012282,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 551, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 551, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.012282, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1890}"
litellm_completion,claude-sonnet-4.6,household.intertemporal_elasticity_of_substitution,3,ies-clarify,none,1,chatcmpl-80e1a5cd-7c99-4f75-9ffe-2233ee4040f9,1339,547,1886,0,0,,,,,0.012222,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 547, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 547, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.012222, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1886}"
litellm_completion,claude-sonnet-4.6,household.intertemporal_elasticity_of_substitution,4,ies-clarify,none,1,chatcmpl-2e37e60a-b2b5-4401-9133-6a3dbe9c6fae,1339,560,1899,0,0,,,,,0.012417,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 560, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 560, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.012417, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1899}"
litellm_completion,claude-sonnet-4.6,household.intertemporal_elasticity_of_substitution,5,ies-clarify,none,1,chatcmpl-3c14d99b-0b57-4586-ab97-c1f2409d74f0,1339,570,1909,0,0,,,,,0.012567,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 570, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 570, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.012567, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1909}"
litellm_completion,claude-sonnet-4.6,household.intertemporal_elasticity_of_substitution,6,ies-clarify,none,1,chatcmpl-8df6cba1-4772-4d02-8bd1-31dd6cc1ff92,1339,552,1891,0,0,,,,,0.012297,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 552, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 552, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.012297, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1891}"
litellm_completion,claude-sonnet-4.6,household.intertemporal_elasticity_of_substitution,7,ies-clarify,none,1,chatcmpl-d05f2a45-5d9e-4c04-96df-8c38dccde6e7,1339,529,1868,0,0,,,,,0.011951999999999999,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 529, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 529, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.011951999999999999, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1868}"
litellm_completion,claude-sonnet-4.6,household.intertemporal_elasticity_of_substitution,8,ies-clarify,none,1,chatcmpl-d0fc8277-e494-4312-b8a1-7464a845ced6,1339,553,1892,0,0,,,,,0.012312,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 553, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 553, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.012312, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1892}"
litellm_completion,claude-sonnet-4.6,household.intertemporal_elasticity_of_substitution,9,ies-clarify,none,1,chatcmpl-c7245a26-7532-402e-97f0-d75ba9a115ed,1339,517,1856,0,0,,,,,0.011772000000000001,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 517, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 517, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.011772000000000001, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1856}"
litellm_completion,claude-sonnet-4.6,household.intertemporal_elasticity_of_substitution,10,ies-clarify,none,1,chatcmpl-0180653e-88c6-449f-9aca-935ecc734882,1339,526,1865,0,0,,,,,0.011907,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 526, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 526, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.011907, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1865}"
