provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,grok-4.20,labor_supply.income_elasticity.prime_age,1,income-signfix,none,1,b0f8dcc1-e240-9502-b9d5-63016894a6da,765,397,2628,64,1466,,,,,0.0125928,,,,[],[],"{""completion_tokens"": 397, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1466, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 125928000, ""litellm_cost_usd"": 0.0125928, ""num_sources_used"": 0, ""prompt_tokens"": 765, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 64, ""image_tokens"": 0, ""text_tokens"": 765}, ""total_tokens"": 2628}"
litellm_completion,grok-4.20,labor_supply.income_elasticity.prime_age,2,income-signfix,none,1,949c063f-cc70-9d84-80d7-3ae3e39322f8,765,209,2320,704,1346,,,,,0.0095928,,,,[],[],"{""completion_tokens"": 209, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1346, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 95928000, ""litellm_cost_usd"": 0.0095928, ""num_sources_used"": 0, ""prompt_tokens"": 765, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 704, ""image_tokens"": 0, ""text_tokens"": 765}, ""total_tokens"": 2320}"
litellm_completion,grok-4.20,labor_supply.income_elasticity.prime_age,3,income-signfix,none,1,4f214091-4869-9a74-84b4-48ce2f467c28,765,145,2374,704,1464,,,,,0.0099168,,,,[],[],"{""completion_tokens"": 145, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1464, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 99168000, ""litellm_cost_usd"": 0.0099168, ""num_sources_used"": 0, ""prompt_tokens"": 765, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 704, ""image_tokens"": 0, ""text_tokens"": 765}, ""total_tokens"": 2374}"
litellm_completion,grok-4.20,labor_supply.income_elasticity.prime_age,4,income-signfix,none,1,c1ae0baf-2def-9651-b804-ff5ec8b801ad,765,110,2584,704,1709,,,,,0.0111768,,,,[],[],"{""completion_tokens"": 110, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1709, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 111768000, ""litellm_cost_usd"": 0.0111768, ""num_sources_used"": 0, ""prompt_tokens"": 765, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 704, ""image_tokens"": 0, ""text_tokens"": 765}, ""total_tokens"": 2584}"
litellm_completion,grok-4.20,labor_supply.income_elasticity.prime_age,5,income-signfix,none,1,f2088665-00ce-9103-b59f-fa284bb464b6,765,439,2594,704,1390,,,,,0.0112368,,,,[],[],"{""completion_tokens"": 439, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1390, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 112368000, ""litellm_cost_usd"": 0.0112368, ""num_sources_used"": 0, ""prompt_tokens"": 765, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 704, ""image_tokens"": 0, ""text_tokens"": 765}, ""total_tokens"": 2594}"
litellm_completion,grok-4.20,labor_supply.income_elasticity.prime_age,6,income-signfix,none,1,c9aea08c-c820-9d23-bec7-d2e0b41b2603,765,298,2662,704,1599,,,,,0.0116448,,,,[],[],"{""completion_tokens"": 298, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1599, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 116448000, ""litellm_cost_usd"": 0.0116448, ""num_sources_used"": 0, ""prompt_tokens"": 765, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 704, ""image_tokens"": 0, ""text_tokens"": 765}, ""total_tokens"": 2662}"
litellm_completion,grok-4.20,labor_supply.income_elasticity.prime_age,7,income-signfix,none,1,f77e13a0-d851-9aaf-bbc0-6db631b4e9ea,765,115,2134,704,1254,,,,,0.0084768,,,,[],[],"{""completion_tokens"": 115, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1254, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 84768000, ""litellm_cost_usd"": 0.0084768, ""num_sources_used"": 0, ""prompt_tokens"": 765, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 704, ""image_tokens"": 0, ""text_tokens"": 765}, ""total_tokens"": 2134}"
litellm_completion,grok-4.20,labor_supply.income_elasticity.prime_age,8,income-signfix,none,1,61a6f1bc-412f-9260-8188-330f7b56d2fd,765,118,1902,704,1019,,,,,0.0070848,,,,[],[],"{""completion_tokens"": 118, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1019, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 70848000, ""litellm_cost_usd"": 0.0070848, ""num_sources_used"": 0, ""prompt_tokens"": 765, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 704, ""image_tokens"": 0, ""text_tokens"": 765}, ""total_tokens"": 1902}"
litellm_completion,grok-4.20,labor_supply.income_elasticity.prime_age,9,income-signfix,none,1,a44dffc0-765b-9641-a8bd-19bf450602cc,765,129,1946,704,1052,,,,,0.0073488,,,,[],[],"{""completion_tokens"": 129, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1052, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 73488000, ""litellm_cost_usd"": 0.0073488, ""num_sources_used"": 0, ""prompt_tokens"": 765, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 704, ""image_tokens"": 0, ""text_tokens"": 765}, ""total_tokens"": 1946}"
litellm_completion,grok-4.20,labor_supply.income_elasticity.prime_age,10,income-signfix,none,1,595ad35b-99b3-9ec6-8ce4-52a433d85271,765,586,3607,704,2256,,,,,0.0173148,,,,[],[],"{""completion_tokens"": 586, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 2256, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 173148000, ""litellm_cost_usd"": 0.0173148, ""num_sources_used"": 0, ""prompt_tokens"": 765, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 704, ""image_tokens"": 0, ""text_tokens"": 765}, ""total_tokens"": 3607}"
