provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
anthropic,claude-opus-5,household.annual_discount_factor,1,v4,none,1,msg_011CdMPXXpomJMo49MhZ7MkC,960,587,1547,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 960, ""output_tokens"": 587, ""total_tokens"": 1547}"
anthropic,claude-opus-5,household.annual_discount_factor,2,v4,none,1,msg_011CdMPXY2DLGvuJbXLJSfPQ,960,507,1467,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 960, ""output_tokens"": 507, ""total_tokens"": 1467}"
anthropic,claude-opus-5,household.annual_discount_factor,3,v4,none,1,msg_011CdMPXcqvw1JA2SjGkYCk3,960,555,1515,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 960, ""output_tokens"": 555, ""total_tokens"": 1515}"
anthropic,claude-opus-5,household.annual_discount_factor,4,v4,none,1,msg_011CdMPXXs31v3Bfe3WUxjHL,960,557,1517,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 960, ""output_tokens"": 557, ""total_tokens"": 1517}"
anthropic,claude-opus-5,household.annual_discount_factor,5,v4,none,1,msg_011CdMPY72pkeh8mXiSWJr6b,960,624,1584,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 960, ""output_tokens"": 624, ""total_tokens"": 1584}"
anthropic,claude-opus-5,household.annual_discount_factor,6,v4,none,1,msg_011CdMPYBUiYHy92nDDpFUxN,960,454,1414,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 960, ""output_tokens"": 454, ""total_tokens"": 1414}"
anthropic,claude-opus-5,household.annual_discount_factor,7,v4,none,1,msg_011CdMPYKxTDDYtcbZVszC6m,960,555,1515,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 960, ""output_tokens"": 555, ""total_tokens"": 1515}"
anthropic,claude-opus-5,household.annual_discount_factor,8,v4,none,1,msg_011CdMPYJJjdcew848P2GPmc,960,559,1519,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 960, ""output_tokens"": 559, ""total_tokens"": 1519}"
anthropic,claude-opus-5,household.annual_discount_factor,9,v4,none,1,msg_011CdMPYkR7iF26wQEKBo6vZ,960,556,1516,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 960, ""output_tokens"": 556, ""total_tokens"": 1516}"
anthropic,claude-opus-5,household.annual_discount_factor,10,v4,none,1,msg_011CdMPYnyezs8F1M15xb5jT,960,575,1535,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 960, ""output_tokens"": 575, ""total_tokens"": 1535}"
anthropic,claude-opus-5,household.annual_discount_factor,11,v4,none,1,msg_011CdMPYuUaDTMNxNho6t2uP,960,554,1514,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 960, ""output_tokens"": 554, ""total_tokens"": 1514}"
anthropic,claude-opus-5,household.annual_discount_factor,12,v4,none,1,msg_011CdMPYxMTpuyqHSBVWzSZk,960,500,1460,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 960, ""output_tokens"": 500, ""total_tokens"": 1460}"
anthropic,claude-opus-5,household.annual_discount_factor,13,v4,none,1,msg_011CdMPZQV6BxwGNwzcxi5bJ,960,526,1486,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 960, ""output_tokens"": 526, ""total_tokens"": 1486}"
anthropic,claude-opus-5,household.annual_discount_factor,14,v4,none,1,msg_011CdMPZUecanjzrV6mR5NNy,960,432,1392,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 960, ""output_tokens"": 432, ""total_tokens"": 1392}"
anthropic,claude-opus-5,household.annual_discount_factor,15,v4,none,1,msg_011CdMPZZAyBPf9LYWraG33g,960,523,1483,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 960, ""output_tokens"": 523, ""total_tokens"": 1483}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,16,v4,none,1,msg_011CdMPTiTADG51JYk7wompq,1023,705,1728,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1023, ""output_tokens"": 705, ""total_tokens"": 1728}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,17,v4,none,1,msg_011CdMPTk4eJgNFhqpSSxG7d,1023,687,1710,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1023, ""output_tokens"": 687, ""total_tokens"": 1710}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,18,v4,none,1,msg_011CdMPUGx23MCsh272k9t75,1023,687,1710,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1023, ""output_tokens"": 687, ""total_tokens"": 1710}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,19,v4,none,1,msg_011CdMPTmTEYp51MHUJLe4Xt,1023,711,1734,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1023, ""output_tokens"": 711, ""total_tokens"": 1734}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,20,v4,none,1,msg_011CdMPV4UTJv4U7ogiDje43,1023,741,1764,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1023, ""output_tokens"": 741, ""total_tokens"": 1764}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,21,v4,none,1,msg_011CdMPUUurVeur9veYZzUEN,1023,851,1874,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1023, ""output_tokens"": 851, ""total_tokens"": 1874}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,22,v4,none,1,msg_011CdMPUa88PUs9rR5be4he9,1023,842,1865,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1023, ""output_tokens"": 842, ""total_tokens"": 1865}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,23,v4,none,1,msg_011CdMPV3gKv6bdYG8RrLrxw,1023,857,1880,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1023, ""output_tokens"": 857, ""total_tokens"": 1880}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,24,v4,none,1,msg_011CdMPVPVCRiU93H2YCNrCj,1023,731,1754,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1023, ""output_tokens"": 731, ""total_tokens"": 1754}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,25,v4,none,1,msg_011CdMPVQh89ZppjR5wGh6bn,1023,713,1736,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1023, ""output_tokens"": 713, ""total_tokens"": 1736}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,26,v4,none,1,msg_011CdMPVsqX5TLHXTFVqwbUp,1023,792,1815,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1023, ""output_tokens"": 792, ""total_tokens"": 1815}"
anthropic,claude-opus-5,household.intertemporal_elasticity_of_substitution,27,v4,none,1,msg_011CdMPVyETsUkbddyNX47ZV,1023,766,1789,,,,,,,,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""input_tokens"": 1023, ""output_tokens"": 766, ""total_tokens"": 1789}"
