provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,grok-4.1-fast,labor_supply.income_elasticity.prime_age,1,income-signfix,none,1,58740ee8-4def-935f-8e57-0b913784d07c,862,231,1093,158,0,,,,,0.0002958,,,,[],[],"{""completion_tokens"": 231, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 2642000, ""litellm_cost_usd"": 0.0002958, ""num_sources_used"": 0, ""prompt_tokens"": 862, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 158, ""image_tokens"": 0, ""text_tokens"": 862}, ""total_tokens"": 1093}"
litellm_completion,grok-4.1-fast,labor_supply.income_elasticity.prime_age,2,income-signfix,none,1,171017d7-ae43-9fb8-8016-53a94325f65d,862,193,1055,861,0,,,,,0.00031194999999999997,,,,[],[],"{""completion_tokens"": 193, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1397500, ""litellm_cost_usd"": 0.00031194999999999997, ""num_sources_used"": 0, ""prompt_tokens"": 862, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 861, ""image_tokens"": 0, ""text_tokens"": 862}, ""total_tokens"": 1055}"
litellm_completion,grok-4.1-fast,labor_supply.income_elasticity.prime_age,3,income-signfix,none,1,a6a7cbd2-1da9-9a47-bdc4-5a6e89cd5cea,862,176,1038,861,0,,,,,0.00030345,,,,[],[],"{""completion_tokens"": 176, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1312500, ""litellm_cost_usd"": 0.00030345, ""num_sources_used"": 0, ""prompt_tokens"": 862, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 861, ""image_tokens"": 0, ""text_tokens"": 862}, ""total_tokens"": 1038}"
litellm_completion,grok-4.1-fast,labor_supply.income_elasticity.prime_age,4,income-signfix,none,1,9f9dfd42-0ffc-9d8e-839d-5dc0bccffcc2,862,174,1036,861,0,,,,,0.00030245,,,,[],[],"{""completion_tokens"": 174, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1302500, ""litellm_cost_usd"": 0.00030245, ""num_sources_used"": 0, ""prompt_tokens"": 862, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 861, ""image_tokens"": 0, ""text_tokens"": 862}, ""total_tokens"": 1036}"
litellm_completion,grok-4.1-fast,labor_supply.income_elasticity.prime_age,5,income-signfix,none,1,0865969e-e309-939d-a0d1-bae866a6316c,862,241,1103,861,0,,,,,0.00033594999999999995,,,,[],[],"{""completion_tokens"": 241, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1637500, ""litellm_cost_usd"": 0.00033594999999999995, ""num_sources_used"": 0, ""prompt_tokens"": 862, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 861, ""image_tokens"": 0, ""text_tokens"": 862}, ""total_tokens"": 1103}"
litellm_completion,grok-4.1-fast,labor_supply.income_elasticity.prime_age,6,income-signfix,none,1,2510432b-afb5-9878-b57f-b0f4b5b322fb,862,190,1052,861,0,,,,,0.00031045,,,,[],[],"{""completion_tokens"": 190, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1382500, ""litellm_cost_usd"": 0.00031045, ""num_sources_used"": 0, ""prompt_tokens"": 862, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 861, ""image_tokens"": 0, ""text_tokens"": 862}, ""total_tokens"": 1052}"
litellm_completion,grok-4.1-fast,labor_supply.income_elasticity.prime_age,7,income-signfix,none,1,e7ac82d8-b82b-91cc-a903-84d0447caa24,862,177,1039,861,0,,,,,0.00030395,,,,[],[],"{""completion_tokens"": 177, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1317500, ""litellm_cost_usd"": 0.00030395, ""num_sources_used"": 0, ""prompt_tokens"": 862, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 861, ""image_tokens"": 0, ""text_tokens"": 862}, ""total_tokens"": 1039}"
litellm_completion,grok-4.1-fast,labor_supply.income_elasticity.prime_age,8,income-signfix,none,1,fbaf0ed6-1bfb-9229-bef1-a1dfe610e8fa,862,243,1105,861,0,,,,,0.00033695,,,,[],[],"{""completion_tokens"": 243, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1647500, ""litellm_cost_usd"": 0.00033695, ""num_sources_used"": 0, ""prompt_tokens"": 862, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 861, ""image_tokens"": 0, ""text_tokens"": 862}, ""total_tokens"": 1105}"
litellm_completion,grok-4.1-fast,labor_supply.income_elasticity.prime_age,9,income-signfix,none,1,95997c5c-e33b-9ffa-b38a-4047512155bf,862,180,1042,861,0,,,,,0.00030544999999999997,,,,[],[],"{""completion_tokens"": 180, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1332500, ""litellm_cost_usd"": 0.00030544999999999997, ""num_sources_used"": 0, ""prompt_tokens"": 862, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 861, ""image_tokens"": 0, ""text_tokens"": 862}, ""total_tokens"": 1042}"
litellm_completion,grok-4.1-fast,labor_supply.income_elasticity.prime_age,10,income-signfix,none,1,20c69107-3c67-9099-a669-bc30da086e9c,862,225,1087,861,0,,,,,0.00032795,,,,[],[],"{""completion_tokens"": 225, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1557500, ""litellm_cost_usd"": 0.00032795, ""num_sources_used"": 0, ""prompt_tokens"": 862, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 861, ""image_tokens"": 0, ""text_tokens"": 862}, ""total_tokens"": 1087}"
