provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,gemini-3.1-flash-lite-preview,labor_supply.income_elasticity.prime_age,1,income-signfix,none,1,5vrTaZHdKPTB1MkPjpWo0AU,445,392,837,,115,,,,,0.00069925,,,,[],[],"{""completion_tokens"": 392, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 115, ""rejected_prediction_tokens"": null, ""text_tokens"": 277}, ""litellm_cost_usd"": 0.00069925, ""prompt_tokens"": 445, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 445}, ""total_tokens"": 837}"
litellm_completion,gemini-3.1-flash-lite-preview,labor_supply.income_elasticity.prime_age,2,income-signfix,none,1,6vrTadaDEbKt1MkPpvnxkQU,445,444,889,,116,,,,,0.0007772500000000001,,,,[],[],"{""completion_tokens"": 444, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 116, ""rejected_prediction_tokens"": null, ""text_tokens"": 328}, ""litellm_cost_usd"": 0.0007772500000000001, ""prompt_tokens"": 445, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 445}, ""total_tokens"": 889}"
litellm_completion,gemini-3.1-flash-lite-preview,labor_supply.income_elasticity.prime_age,3,income-signfix,none,1,7frTaeqAE-e01MkP89CruQQ,445,402,847,,104,,,,,0.00071425,,,,[],[],"{""completion_tokens"": 402, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 104, ""rejected_prediction_tokens"": null, ""text_tokens"": 298}, ""litellm_cost_usd"": 0.00071425, ""prompt_tokens"": 445, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 445}, ""total_tokens"": 847}"
litellm_completion,gemini-3.1-flash-lite-preview,labor_supply.income_elasticity.prime_age,4,income-signfix,none,1,8frTaebvBZ-p1MkP-o2hgAs,445,403,848,,109,,,,,0.00071575,,,,[],[],"{""completion_tokens"": 403, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 109, ""rejected_prediction_tokens"": null, ""text_tokens"": 294}, ""litellm_cost_usd"": 0.00071575, ""prompt_tokens"": 445, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 445}, ""total_tokens"": 848}"
litellm_completion,gemini-3.1-flash-lite-preview,labor_supply.income_elasticity.prime_age,5,income-signfix,none,1,9PrTaaqaJ-uh1MkPya6A-QQ,445,423,868,,121,,,,,0.00074575,,,,[],[],"{""completion_tokens"": 423, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 121, ""rejected_prediction_tokens"": null, ""text_tokens"": 302}, ""litellm_cost_usd"": 0.00074575, ""prompt_tokens"": 445, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 445}, ""total_tokens"": 868}"
litellm_completion,gemini-3.1-flash-lite-preview,labor_supply.income_elasticity.prime_age,6,income-signfix,none,1,9_rTaY74G63D1MkPoIvtuQc,445,401,846,,112,,,,,0.0007127500000000001,,,,[],[],"{""completion_tokens"": 401, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 112, ""rejected_prediction_tokens"": null, ""text_tokens"": 289}, ""litellm_cost_usd"": 0.0007127500000000001, ""prompt_tokens"": 445, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 445}, ""total_tokens"": 846}"
litellm_completion,gemini-3.1-flash-lite-preview,labor_supply.income_elasticity.prime_age,7,income-signfix,none,1,-vrTabbVLve41MkP0ce2gAQ,445,406,851,,120,,,,,0.0007202500000000001,,,,[],[],"{""completion_tokens"": 406, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 120, ""rejected_prediction_tokens"": null, ""text_tokens"": 286}, ""litellm_cost_usd"": 0.0007202500000000001, ""prompt_tokens"": 445, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 445}, ""total_tokens"": 851}"
litellm_completion,gemini-3.1-flash-lite-preview,labor_supply.income_elasticity.prime_age,8,income-signfix,none,1,_frTafGrNcrC1MkP27TAsQo,445,413,858,,117,,,,,0.0007307500000000001,,,,[],[],"{""completion_tokens"": 413, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 117, ""rejected_prediction_tokens"": null, ""text_tokens"": 296}, ""litellm_cost_usd"": 0.0007307500000000001, ""prompt_tokens"": 445, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 445}, ""total_tokens"": 858}"
litellm_completion,gemini-3.1-flash-lite-preview,labor_supply.income_elasticity.prime_age,9,income-signfix,none,1,AfvTac-QKLSl1MkPs6Cz2QQ,445,414,859,,112,,,,,0.00073225,,,,[],[],"{""completion_tokens"": 414, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 112, ""rejected_prediction_tokens"": null, ""text_tokens"": 302}, ""litellm_cost_usd"": 0.00073225, ""prompt_tokens"": 445, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 445}, ""total_tokens"": 859}"
litellm_completion,gemini-3.1-flash-lite-preview,labor_supply.income_elasticity.prime_age,10,income-signfix,none,1,BfvTaeTtAfmj1MkPuqiF2Ac,445,391,836,,115,,,,,0.00069775,,,,[],[],"{""completion_tokens"": 391, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 115, ""rejected_prediction_tokens"": null, ""text_tokens"": 276}, ""litellm_cost_usd"": 0.00069775, ""prompt_tokens"": 445, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 445}, ""total_tokens"": 836}"
