provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,1,v2,none,1,ptXSacHkC8a21MkPgfqP4QY,371,257,628,,,,,,,0.0009565,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 257, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 257}, ""litellm_cost_usd"": 0.0009565, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 628}"
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,2,v2,none,1,qNXSacOsD5-p1MkP-o2hgAs,371,257,628,,,,,,,0.0009565,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 257, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 257}, ""litellm_cost_usd"": 0.0009565, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 628}"
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,3,v2,none,1,qtXSaf6gAvik1MkPjLLbyQo,371,246,617,,,,,,,0.0009235000000000001,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 246, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 246}, ""litellm_cost_usd"": 0.0009235000000000001, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 617}"
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,4,v2,none,1,q9XSaYv4MKen1MkPv4KawQQ,371,219,590,,,,,,,0.0008425,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 219, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 219}, ""litellm_cost_usd"": 0.0008425, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 590}"
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,5,v2,none,1,rdXSabXcOfid1MkP5__A0Ao,371,240,611,,,,,,,0.0009055000000000001,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 240, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 240}, ""litellm_cost_usd"": 0.0009055000000000001, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 611}"
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,6,v2,none,1,r9XSaZjoJoWr1MkP55iPoQk,371,226,597,,,,,,,0.0008635,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 226, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 226}, ""litellm_cost_usd"": 0.0008635, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 597}"
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,7,v2,none,1,sdXSacPaKve41MkP0ce2gAQ,371,256,627,,,,,,,0.0009535,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 256, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 256}, ""litellm_cost_usd"": 0.0009535, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 627}"
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,8,v2,none,1,s9XSadD8E5aj1MkPz8yd6Qo,371,217,588,,,,,,,0.0008365,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 217, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 217}, ""litellm_cost_usd"": 0.0008365, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 588}"
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,9,v2,none,1,tdXSaZCgH8rC1MkP7vur0QE,371,236,607,,,,,,,0.0008935,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 236, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 236}, ""litellm_cost_usd"": 0.0008935, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 607}"
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,10,v2,none,1,t9XSaezXGKGc1MkPrKfO6Ak,371,246,617,,,,,,,0.0009235000000000001,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 246, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 246}, ""litellm_cost_usd"": 0.0009235000000000001, ""prompt_tokens"": 371, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 371}, ""total_tokens"": 617}"
