provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,gemini-3.1-pro-preview,trade.armington_elasticity.import_domestic,1,armington-clarify,none,1,6w3VaYLUBI2c1MkPpZPawQw,446,1186,1632,,1106,,,,,0.015124000000000002,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1106, ""rejected_prediction_tokens"": null, ""text_tokens"": 80, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015124000000000002, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1632}"
litellm_completion,gemini-3.1-pro-preview,trade.armington_elasticity.import_domestic,2,armington-clarify,none,1,Bw7VaYHKJ8rC1MkP27TAsQo,446,1186,1632,,1149,,,,,0.015124,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1149, ""rejected_prediction_tokens"": null, ""text_tokens"": 37, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015124, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1632}"
litellm_completion,gemini-3.1-pro-preview,trade.armington_elasticity.import_domestic,3,armington-clarify,none,1,FA7Vady1JtWZ1MkPxaLM-Qk,446,1186,1632,,1148,,,,,0.015124,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1148, ""rejected_prediction_tokens"": null, ""text_tokens"": 38, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015124, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1632}"
litellm_completion,gemini-3.1-pro-preview,trade.armington_elasticity.import_domestic,4,armington-clarify,none,1,Iw7VaYv_PK-a1MkPouDikQ0,446,1186,1632,,1151,,,,,0.015124,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1151, ""rejected_prediction_tokens"": null, ""text_tokens"": 35, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015124, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1632}"
litellm_completion,gemini-3.1-pro-preview,trade.armington_elasticity.import_domestic,5,armington-clarify,none,1,Ng7VaciWK4S2_uMPt_eGmQQ,446,1082,1528,,797,,,,,0.013876,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1082, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 797, ""rejected_prediction_tokens"": null, ""text_tokens"": 285, ""video_tokens"": null}, ""litellm_cost_usd"": 0.013876, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1528}"
litellm_completion,gemini-3.1-pro-preview,trade.armington_elasticity.import_domestic,6,armington-clarify,none,1,RA7VadGgJ8yZ1MkPpK6h6AY,446,1186,1632,,1148,,,,,0.015124,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1148, ""rejected_prediction_tokens"": null, ""text_tokens"": 38, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015124, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1632}"
litellm_completion,gemini-3.1-pro-preview,trade.armington_elasticity.import_domestic,7,armington-clarify,none,1,UQ7VaeicC8rC1MkP27TAsQo,446,1186,1632,,928,,,,,0.015124,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 928, ""rejected_prediction_tokens"": null, ""text_tokens"": 258, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015124, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1632}"
litellm_completion,gemini-3.1-pro-preview,trade.armington_elasticity.import_domestic,8,armington-clarify,none,1,XQ7VaeiVIJCq1MkPudvCiQM,446,1186,1632,,889,,,,,0.015124,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 889, ""rejected_prediction_tokens"": null, ""text_tokens"": 297, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015124, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1632}"
litellm_completion,gemini-3.1-pro-preview,trade.armington_elasticity.import_domestic,9,armington-clarify,none,1,bA7VaaKCEuif1MkProyymAY,446,1186,1632,,1014,,,,,0.015124,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1014, ""rejected_prediction_tokens"": null, ""text_tokens"": 172, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015124, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1632}"
litellm_completion,gemini-3.1-pro-preview,trade.armington_elasticity.import_domestic,10,armington-clarify,none,1,gg7VaerHEca21MkPgfqP4QY,446,1186,1632,,1151,,,,,0.015124,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1151, ""rejected_prediction_tokens"": null, ""text_tokens"": 35, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015124, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1632}"
litellm_completion,gemini-3.1-pro-preview,trade.armington_elasticity.import_domestic,11,armington-clarify,none,1,jw7Vad2NO7Sf1MkPyqHemAU,446,1186,1632,,1153,,,,,0.015124000000000002,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1153, ""rejected_prediction_tokens"": null, ""text_tokens"": 33, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015124000000000002, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1632}"
litellm_completion,gemini-3.1-pro-preview,trade.armington_elasticity.import_domestic,12,armington-clarify,none,1,nQ7VaaumNvGi1MkPoveDkAs,446,1186,1632,,1148,,,,,0.015124,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1148, ""rejected_prediction_tokens"": null, ""text_tokens"": 38, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015124, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1632}"
litellm_completion,gemini-3.1-pro-preview,trade.armington_elasticity.import_domestic,13,armington-clarify,none,1,qQ7VabWJBK3D1MkPr-TioAE,446,975,1421,,683,,,,,0.012592,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 975, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 683, ""rejected_prediction_tokens"": null, ""text_tokens"": 292, ""video_tokens"": null}, ""litellm_cost_usd"": 0.012592, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1421}"
litellm_completion,gemini-3.1-pro-preview,trade.armington_elasticity.import_domestic,14,armington-clarify,none,1,tg7VadqMILWp1MkP7-uhuQc,446,1186,1632,,880,,,,,0.015124,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 880, ""rejected_prediction_tokens"": null, ""text_tokens"": 306, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015124, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1632}"
litellm_completion,gemini-3.1-pro-preview,trade.armington_elasticity.import_domestic,15,armington-clarify,none,1,xg7VaZmrBNOt1MkPwe2S4Qo,446,1186,1632,,1148,,,,,0.015124,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1148, ""rejected_prediction_tokens"": null, ""text_tokens"": 38, ""video_tokens"": null}, ""litellm_cost_usd"": 0.015124, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1632}"
