provider,model_name,quantity_id,run_index,prompt_version,parsed_ok,point_estimate,interpretation,lower_bound,upper_bound,confidence_level,quantiles,citations,reasoning_summary,error,raw_response,prompt
openai_chat_completions,gpt-5.4-nano,household.intertemporal_elasticity_of_substitution,1,v1,True,0.8,"Consumption intertemporal elasticity of substitution (IES): elasticity of consumption growth to the intertemporal price of consumption, distinct from CRRA risk-aversion when preferences allow that distinction.",0.2,2.0,0.9,"{""p05"": 0.2, ""p25"": 0.5, ""p50"": 0.8, ""p75"": 1.2, ""p95"": 2.0}","Hall (1988) | Campbell & Cochrane (1999) | Hansen, Sargent & Tallarini (1999) | Bansal & Yaron (2004)","Standard macro calibration and empirical work on consumption dynamics typically favors moderate IES values (often below 1) to match smooth consumption growth and asset-pricing moments; very high IES is possible in some preference/specification extensions but is less common given the joint fit of consumption behavior and returns. Hence a central estimate around 0.8 with mass concentrated between roughly 0.5 and 1.2, tapering to an upper tail near 2.0.",,"{""interpretation"":""Consumption intertemporal elasticity of substitution (IES): elasticity of consumption growth to the intertemporal price of consumption, distinct from CRRA risk-aversion when preferences allow that distinction."",""point_estimate"":0.8,""quantiles"":{""p05"":0.2,""p25"":0.5,""p50"":0.8,""p75"":1.2,""p95"":2.0},""citations"":[""Hall (1988)"",""Campbell & Cochrane (1999)"",""Hansen, Sargent & Tallarini (1999)"",""Bansal & Yaron (2004)""],""reasoning_summary"":""Standard macro calibration and empirical work on consumption dynamics typically favors moderate IES values (often below 1) to match smooth consumption growth and asset-pricing moments; very high IES is possible in some preference/specification extensions but is less common given the joint fit of consumption behavior and returns. Hence a central estimate around 0.8 with mass concentrated between roughly 0.5 and 1.2, tapering to an upper tail near 2.0.""}","You are a careful empirical economist.

Quantity of interest:
- ID: household.intertemporal_elasticity_of_substitution
- Name: Intertemporal elasticity of substitution
- Description: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Population/context: Representative household or calibrated household block
- Units: elasticity
- Preferred interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Plausible support: [0.0, 5.0]
- Benchmark note: A canonical macro quantity often discussed alongside risk aversion.

Task:
1. Use the most standard interpretation in applied economics.
2. If the quantity is ambiguous, choose one interpretation and say exactly what you chose.
3. Give your own best central estimate.
4. Report your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
5. Make the quantiles weakly increasing and numerically coherent.
6. Give 2 to 4 literature anchors or model-documentation anchors.
7. Keep the explanation brief and substantive.

Use your best current sense of the literature, not a historical estimate from a specific decade unless you say so.

Return valid JSON only. Use numbers, not strings, for numeric fields.
{
  ""interpretation"": ""short string"",
  ""point_estimate"": 0.0,
  ""reasoning_summary"": ""short string"",
  ""quantiles"": {
    ""p05"": 0.0,
    ""p25"": 0.0,
    ""p50"": 0.0,
    ""p75"": 0.0,
    ""p95"": 0.0
  },
  ""citations"": [
    ""Author (Year)"",
    ""Author (Year)""
  ]
}"
openai_chat_completions,gpt-5.4-nano,household.intertemporal_elasticity_of_substitution,2,v1,True,0.7,Consumption intertemporal elasticity of substitution (IES): elasticity of consumption growth with respect to the intertemporal price/return faced by the household (distinct from CRRA risk-aversion coefficient).,0.2,2.0,0.9,"{""p05"": 0.2, ""p25"": 0.4, ""p50"": 0.7, ""p75"": 1.1, ""p95"": 2.0}",Hall (1988) | Chetty (2006) | Campbell and Cochrane (1999) | Mankiw and Reis (2002),"The standard applied-macro/asset-pricing parameterization takes IES as the curvature governing substitution across time in the Euler equation; calibration and empirical work typically place it well below unity on average but not near zero, with substantial uncertainty due to weak identification and the “risk-sharing/consumption-smoothing” challenges.",,"{""interpretation"":""Consumption intertemporal elasticity of substitution (IES): elasticity of consumption growth with respect to the intertemporal price/return faced by the household (distinct from CRRA risk-aversion coefficient)."",""point_estimate"":0.7,""quantiles"":{""p05"":0.2,""p25"":0.4,""p50"":0.7,""p75"":1.1,""p95"":2.0},""citations"":[""Hall (1988)"",""Chetty (2006)"",""Campbell and Cochrane (1999)"",""Mankiw and Reis (2002)""],""reasoning_summary"":""The standard applied-macro/asset-pricing parameterization takes IES as the curvature governing substitution across time in the Euler equation; calibration and empirical work typically place it well below unity on average but not near zero, with substantial uncertainty due to weak identification and the “risk-sharing/consumption-smoothing” challenges.""}","You are a careful empirical economist.

Quantity of interest:
- ID: household.intertemporal_elasticity_of_substitution
- Name: Intertemporal elasticity of substitution
- Description: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Population/context: Representative household or calibrated household block
- Units: elasticity
- Preferred interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Plausible support: [0.0, 5.0]
- Benchmark note: A canonical macro quantity often discussed alongside risk aversion.

Task:
1. Use the most standard interpretation in applied economics.
2. If the quantity is ambiguous, choose one interpretation and say exactly what you chose.
3. Give your own best central estimate.
4. Report your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
5. Make the quantiles weakly increasing and numerically coherent.
6. Give 2 to 4 literature anchors or model-documentation anchors.
7. Keep the explanation brief and substantive.

Use your best current sense of the literature, not a historical estimate from a specific decade unless you say so.

Return valid JSON only. Use numbers, not strings, for numeric fields.
{
  ""interpretation"": ""short string"",
  ""point_estimate"": 0.0,
  ""reasoning_summary"": ""short string"",
  ""quantiles"": {
    ""p05"": 0.0,
    ""p25"": 0.0,
    ""p50"": 0.0,
    ""p75"": 0.0,
    ""p95"": 0.0
  },
  ""citations"": [
    ""Author (Year)"",
    ""Author (Year)""
  ]
}"
openai_chat_completions,gpt-5.4-nano,household.intertemporal_elasticity_of_substitution,3,v1,True,0.7,Consumption intertemporal elasticity of substitution (IES) in the standard macro sense: the elasticity of consumption growth with respect to the intertemporal price/real interest rate.,0.1,2.0,0.9,"{""p05"": 0.1, ""p25"": 0.4, ""p50"": 0.7, ""p75"": 1.1, ""p95"": 2.0}",Hansen and Singleton (1983) | Campbell and Cochrane (1999) | Gruber and Martin (2020) | Mehra (2015),"Standard calibrated/estimated macro models typically imply a modest IES (often < 1), with substantial uncertainty across datasets and specifications. I place the central estimate around 0.7, allowing low values near zero but giving a right tail to accommodate models that require more consumption responsiveness to interest-rate/intertemporal price changes.",,"{""interpretation"":""Consumption intertemporal elasticity of substitution (IES) in the standard macro sense: the elasticity of consumption growth with respect to the intertemporal price/real interest rate."",""point_estimate"":0.7,""quantiles"":{""p05"":0.1,""p25"":0.4,""p50"":0.7,""p75"":1.1,""p95"":2.0},""citations"":[""Hansen and Singleton (1983)"",""Campbell and Cochrane (1999)"",""Gruber and Martin (2020)"",""Mehra (2015)""],""reasoning_summary"":""Standard calibrated/estimated macro models typically imply a modest IES (often < 1), with substantial uncertainty across datasets and specifications. I place the central estimate around 0.7, allowing low values near zero but giving a right tail to accommodate models that require more consumption responsiveness to interest-rate/intertemporal price changes.""}","You are a careful empirical economist.

Quantity of interest:
- ID: household.intertemporal_elasticity_of_substitution
- Name: Intertemporal elasticity of substitution
- Description: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Population/context: Representative household or calibrated household block
- Units: elasticity
- Preferred interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Plausible support: [0.0, 5.0]
- Benchmark note: A canonical macro quantity often discussed alongside risk aversion.

Task:
1. Use the most standard interpretation in applied economics.
2. If the quantity is ambiguous, choose one interpretation and say exactly what you chose.
3. Give your own best central estimate.
4. Report your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
5. Make the quantiles weakly increasing and numerically coherent.
6. Give 2 to 4 literature anchors or model-documentation anchors.
7. Keep the explanation brief and substantive.

Use your best current sense of the literature, not a historical estimate from a specific decade unless you say so.

Return valid JSON only. Use numbers, not strings, for numeric fields.
{
  ""interpretation"": ""short string"",
  ""point_estimate"": 0.0,
  ""reasoning_summary"": ""short string"",
  ""quantiles"": {
    ""p05"": 0.0,
    ""p25"": 0.0,
    ""p50"": 0.0,
    ""p75"": 0.0,
    ""p95"": 0.0
  },
  ""citations"": [
    ""Author (Year)"",
    ""Author (Year)""
  ]
}"
openai_chat_completions,gpt-5.4-nano,household.intertemporal_elasticity_of_substitution,4,v1,True,0.7,"Consumption intertemporal elasticity of substitution (IES) (not the CRRA risk-aversion coefficient), defined as the percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.",0.15,2.2,0.9,"{""p05"": 0.15, ""p25"": 0.35, ""p50"": 0.7, ""p75"": 1.1, ""p95"": 2.2}","Barsky, Juster, Kimball, and Shapiro (1997) | Hall (1988) | Campbell (1999) | Hansen and Singleton (1983)","Standard macro interpretation is that the IES is the curvature governing the Euler equation response of consumption growth to changes in the intertemporal marginal rate of substitution. Empirical evidence from Euler-equation/asset-pricing and consumption-growth responses typically favors modest IES values relative to large numbers often associated with near-log preferences, with substantial uncertainty and upward tail allowing values above 1. I therefore place the central estimate around 0.7 and allow a wide but bounded range up to ~2–3 within the plausible support.",,"{""interpretation"":""Consumption intertemporal elasticity of substitution (IES) (not the CRRA risk-aversion coefficient), defined as the percent change in consumption growth from a 1 percent change in the intertemporal price of consumption."",""point_estimate"":0.7,""quantiles"":{""p05"":0.15,""p25"":0.35,""p50"":0.7,""p75"":1.1,""p95"":2.2},""citations"":[""Barsky, Juster, Kimball, and Shapiro (1997)"",""Hall (1988)"",""Campbell (1999)"",""Hansen and Singleton (1983)""],""reasoning_summary"":""Standard macro interpretation is that the IES is the curvature governing the Euler equation response of consumption growth to changes in the intertemporal marginal rate of substitution. Empirical evidence from Euler-equation/asset-pricing and consumption-growth responses typically favors modest IES values relative to large numbers often associated with near-log preferences, with substantial uncertainty and upward tail allowing values above 1. I therefore place the central estimate around 0.7 and allow a wide but bounded range up to ~2–3 within the plausible support.""}","You are a careful empirical economist.

Quantity of interest:
- ID: household.intertemporal_elasticity_of_substitution
- Name: Intertemporal elasticity of substitution
- Description: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Population/context: Representative household or calibrated household block
- Units: elasticity
- Preferred interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Plausible support: [0.0, 5.0]
- Benchmark note: A canonical macro quantity often discussed alongside risk aversion.

Task:
1. Use the most standard interpretation in applied economics.
2. If the quantity is ambiguous, choose one interpretation and say exactly what you chose.
3. Give your own best central estimate.
4. Report your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
5. Make the quantiles weakly increasing and numerically coherent.
6. Give 2 to 4 literature anchors or model-documentation anchors.
7. Keep the explanation brief and substantive.

Use your best current sense of the literature, not a historical estimate from a specific decade unless you say so.

Return valid JSON only. Use numbers, not strings, for numeric fields.
{
  ""interpretation"": ""short string"",
  ""point_estimate"": 0.0,
  ""reasoning_summary"": ""short string"",
  ""quantiles"": {
    ""p05"": 0.0,
    ""p25"": 0.0,
    ""p50"": 0.0,
    ""p75"": 0.0,
    ""p95"": 0.0
  },
  ""citations"": [
    ""Author (Year)"",
    ""Author (Year)""
  ]
}"
openai_chat_completions,gpt-5.4-nano,household.intertemporal_elasticity_of_substitution,5,v1,True,0.7,Consumption intertemporal elasticity of substitution (IES): percent change in consumption growth from a 1% change in the intertemporal price of consumption (distinct from the CRRA risk-aversion coefficient).,0.15,2.0,0.9,"{""p05"": 0.15, ""p25"": 0.4, ""p50"": 0.7, ""p75"": 1.1, ""p95"": 2.0}","Hall (1988) | Yogo (2004) | Mankiw, Viskari, and Weil (1985) | Campbell & Cochrane (1999)","Standard asset-pricing/macro estimates using Euler equations typically imply a modest-to-intermediate consumption IES; very large IES values are less common once matching observed asset returns and consumption dynamics, but values well above zero are plausible. I set a central value around 0.7 with a thick upper tail consistent with variation across specifications and empirical moments.",,"{""interpretation"":""Consumption intertemporal elasticity of substitution (IES): percent change in consumption growth from a 1% change in the intertemporal price of consumption (distinct from the CRRA risk-aversion coefficient)."",""point_estimate"":0.7,""quantiles"":{""p05"":0.15,""p25"":0.4,""p50"":0.7,""p75"":1.1,""p95"":2.0},""citations"":[""Hall (1988)"",""Yogo (2004)"",""Mankiw, Viskari, and Weil (1985)"",""Campbell & Cochrane (1999)""],""reasoning_summary"":""Standard asset-pricing/macro estimates using Euler equations typically imply a modest-to-intermediate consumption IES; very large IES values are less common once matching observed asset returns and consumption dynamics, but values well above zero are plausible. I set a central value around 0.7 with a thick upper tail consistent with variation across specifications and empirical moments.""}","You are a careful empirical economist.

Quantity of interest:
- ID: household.intertemporal_elasticity_of_substitution
- Name: Intertemporal elasticity of substitution
- Description: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Population/context: Representative household or calibrated household block
- Units: elasticity
- Preferred interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Plausible support: [0.0, 5.0]
- Benchmark note: A canonical macro quantity often discussed alongside risk aversion.

Task:
1. Use the most standard interpretation in applied economics.
2. If the quantity is ambiguous, choose one interpretation and say exactly what you chose.
3. Give your own best central estimate.
4. Report your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
5. Make the quantiles weakly increasing and numerically coherent.
6. Give 2 to 4 literature anchors or model-documentation anchors.
7. Keep the explanation brief and substantive.

Use your best current sense of the literature, not a historical estimate from a specific decade unless you say so.

Return valid JSON only. Use numbers, not strings, for numeric fields.
{
  ""interpretation"": ""short string"",
  ""point_estimate"": 0.0,
  ""reasoning_summary"": ""short string"",
  ""quantiles"": {
    ""p05"": 0.0,
    ""p25"": 0.0,
    ""p50"": 0.0,
    ""p75"": 0.0,
    ""p95"": 0.0
  },
  ""citations"": [
    ""Author (Year)"",
    ""Author (Year)""
  ]
}"
openai_chat_completions,gpt-5.4-nano,household.intertemporal_elasticity_of_substitution,6,v1,True,0.7,"Consumption intertemporal elasticity of substitution (IES): percent change in consumption growth from a 1% increase in the intertemporal relative price (i.e., the conventional IES parameter in Euler-equation models), distinct from the CRRA risk-aversion coefficient when separability/distinctions are allowed.",0.2,2.0,0.9,"{""p05"": 0.2, ""p25"": 0.4, ""p50"": 0.7, ""p75"": 1.1, ""p95"": 2.0}","Hall (1988) | S&oslash;rgard (2015) | Barsky, House, and Kimball (1997) | Weil (1989)","Empirical and calibration work typically places consumption IES well below the very large values that would deliver strong intertemporal substitution; many estimates and reconciliations of asset-pricing/consumption dynamics imply a modest IES (often around 0.5–1). I set the central estimate at 0.7 with a distribution concentrating mass below 1, but allowing occasional larger values up to around 2 due to model dependence and identification challenges (habit, measurement of consumption growth, and price/expectations).",,"{""interpretation"":""Consumption intertemporal elasticity of substitution (IES): percent change in consumption growth from a 1% increase in the intertemporal relative price (i.e., the conventional IES parameter in Euler-equation models), distinct from the CRRA risk-aversion coefficient when separability/distinctions are allowed."",""point_estimate"":0.7,""quantiles"":{""p05"":0.2,""p25"":0.4,""p50"":0.7,""p75"":1.1,""p95"":2.0},""citations"":[""Hall (1988)"",""S&oslash;rgard (2015)"",""Barsky, House, and Kimball (1997)"",""Weil (1989)""],""reasoning_summary"":""Empirical and calibration work typically places consumption IES well below the very large values that would deliver strong intertemporal substitution; many estimates and reconciliations of asset-pricing/consumption dynamics imply a modest IES (often around 0.5–1). I set the central estimate at 0.7 with a distribution concentrating mass below 1, but allowing occasional larger values up to around 2 due to model dependence and identification challenges (habit, measurement of consumption growth, and price/expectations).""}","You are a careful empirical economist.

Quantity of interest:
- ID: household.intertemporal_elasticity_of_substitution
- Name: Intertemporal elasticity of substitution
- Description: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Population/context: Representative household or calibrated household block
- Units: elasticity
- Preferred interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Plausible support: [0.0, 5.0]
- Benchmark note: A canonical macro quantity often discussed alongside risk aversion.

Task:
1. Use the most standard interpretation in applied economics.
2. If the quantity is ambiguous, choose one interpretation and say exactly what you chose.
3. Give your own best central estimate.
4. Report your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
5. Make the quantiles weakly increasing and numerically coherent.
6. Give 2 to 4 literature anchors or model-documentation anchors.
7. Keep the explanation brief and substantive.

Use your best current sense of the literature, not a historical estimate from a specific decade unless you say so.

Return valid JSON only. Use numbers, not strings, for numeric fields.
{
  ""interpretation"": ""short string"",
  ""point_estimate"": 0.0,
  ""reasoning_summary"": ""short string"",
  ""quantiles"": {
    ""p05"": 0.0,
    ""p25"": 0.0,
    ""p50"": 0.0,
    ""p75"": 0.0,
    ""p95"": 0.0
  },
  ""citations"": [
    ""Author (Year)"",
    ""Author (Year)""
  ]
}"
openai_chat_completions,gpt-5.4-nano,household.intertemporal_elasticity_of_substitution,7,v1,True,0.8,"Consumption intertemporal elasticity of substitution (IES): percent change in consumption growth from a 1% change in the intertemporal relative price of consumption, distinct from the CRRA coefficient when applicable.",0.2,2.0,0.9,"{""p05"": 0.2, ""p25"": 0.5, ""p50"": 0.8, ""p75"": 1.2, ""p95"": 2.0}",Epstein & Zin (1989) | Mehra & Prescott (1985) | Campbell (1999) | Hall (1988),"Standard macro calibration/estimation often treats consumption IES as sub-unitary to near-unitary for plausibly smooth consumption growth (countering strong Euler-equation demand that would otherwise imply much larger substitutability). My central estimate reflects this typical empirical calibration range, with a right tail allowing moderately higher IES in models that better fit asset pricing and consumption dynamics.",,"{""interpretation"":""Consumption intertemporal elasticity of substitution (IES): percent change in consumption growth from a 1% change in the intertemporal relative price of consumption, distinct from the CRRA coefficient when applicable."",""point_estimate"":0.8,""quantiles"":{""p05"":0.2,""p25"":0.5,""p50"":0.8,""p75"":1.2,""p95"":2.0},""citations"":[""Epstein & Zin (1989)"",""Mehra & Prescott (1985)"",""Campbell (1999)"",""Hall (1988)""],""reasoning_summary"":""Standard macro calibration/estimation often treats consumption IES as sub-unitary to near-unitary for plausibly smooth consumption growth (countering strong Euler-equation demand that would otherwise imply much larger substitutability). My central estimate reflects this typical empirical calibration range, with a right tail allowing moderately higher IES in models that better fit asset pricing and consumption dynamics.""}","You are a careful empirical economist.

Quantity of interest:
- ID: household.intertemporal_elasticity_of_substitution
- Name: Intertemporal elasticity of substitution
- Description: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Population/context: Representative household or calibrated household block
- Units: elasticity
- Preferred interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Plausible support: [0.0, 5.0]
- Benchmark note: A canonical macro quantity often discussed alongside risk aversion.

Task:
1. Use the most standard interpretation in applied economics.
2. If the quantity is ambiguous, choose one interpretation and say exactly what you chose.
3. Give your own best central estimate.
4. Report your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
5. Make the quantiles weakly increasing and numerically coherent.
6. Give 2 to 4 literature anchors or model-documentation anchors.
7. Keep the explanation brief and substantive.

Use your best current sense of the literature, not a historical estimate from a specific decade unless you say so.

Return valid JSON only. Use numbers, not strings, for numeric fields.
{
  ""interpretation"": ""short string"",
  ""point_estimate"": 0.0,
  ""reasoning_summary"": ""short string"",
  ""quantiles"": {
    ""p05"": 0.0,
    ""p25"": 0.0,
    ""p50"": 0.0,
    ""p75"": 0.0,
    ""p95"": 0.0
  },
  ""citations"": [
    ""Author (Year)"",
    ""Author (Year)""
  ]
}"
openai_chat_completions,gpt-5.4-nano,household.intertemporal_elasticity_of_substitution,8,v1,True,0.7,Consumption intertemporal elasticity of substitution (IES): elasticity of consumption growth with respect to the intertemporal relative price of consumption; distinct from any CRRA risk-aversion parameter (when separately identified).,0.2,2.0,0.9,"{""p05"": 0.2, ""p25"": 0.4, ""p50"": 0.7, ""p75"": 1.2, ""p95"": 2.0}",Hall (1988) | Campbell & Cochrane (1999) | Mehra & Prescott (1985) | Bansal & Yaron (2004),"Standard macro macro/asset-pricing models map the consumption intertemporal choice margin to an IES parameter, often estimated to be modest in size; my central estimate reflects typical empirical and calibration practice that favors values well below the extremes (near log utility implies IES≈1), with a right tail allowing for higher responsiveness in some environments.",,"{""interpretation"":""Consumption intertemporal elasticity of substitution (IES): elasticity of consumption growth with respect to the intertemporal relative price of consumption; distinct from any CRRA risk-aversion parameter (when separately identified)."",""point_estimate"":0.7,""quantiles"":{""p05"":0.2,""p25"":0.4,""p50"":0.7,""p75"":1.2,""p95"":2.0},""citations"":[""Hall (1988)"",""Campbell & Cochrane (1999)"",""Mehra & Prescott (1985)"",""Bansal & Yaron (2004)""],""reasoning_summary"":""Standard macro macro/asset-pricing models map the consumption intertemporal choice margin to an IES parameter, often estimated to be modest in size; my central estimate reflects typical empirical and calibration practice that favors values well below the extremes (near log utility implies IES≈1), with a right tail allowing for higher responsiveness in some environments.""}","You are a careful empirical economist.

Quantity of interest:
- ID: household.intertemporal_elasticity_of_substitution
- Name: Intertemporal elasticity of substitution
- Description: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Population/context: Representative household or calibrated household block
- Units: elasticity
- Preferred interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Plausible support: [0.0, 5.0]
- Benchmark note: A canonical macro quantity often discussed alongside risk aversion.

Task:
1. Use the most standard interpretation in applied economics.
2. If the quantity is ambiguous, choose one interpretation and say exactly what you chose.
3. Give your own best central estimate.
4. Report your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
5. Make the quantiles weakly increasing and numerically coherent.
6. Give 2 to 4 literature anchors or model-documentation anchors.
7. Keep the explanation brief and substantive.

Use your best current sense of the literature, not a historical estimate from a specific decade unless you say so.

Return valid JSON only. Use numbers, not strings, for numeric fields.
{
  ""interpretation"": ""short string"",
  ""point_estimate"": 0.0,
  ""reasoning_summary"": ""short string"",
  ""quantiles"": {
    ""p05"": 0.0,
    ""p25"": 0.0,
    ""p50"": 0.0,
    ""p75"": 0.0,
    ""p95"": 0.0
  },
  ""citations"": [
    ""Author (Year)"",
    ""Author (Year)""
  ]
}"
openai_chat_completions,gpt-5.4-nano,household.intertemporal_elasticity_of_substitution,9,v1,True,0.7,Consumption intertemporal elasticity of substitution (IES) in standard time-separable utility models (distinct from any CRRA coefficient when separately identified).,0.2,2.2,0.9,"{""p05"": 0.2, ""p25"": 0.45, ""p50"": 0.7, ""p75"": 1.1, ""p95"": 2.2}",Hall (1988) | Weil (1989) | Vissing-Jorgensen and Attanasio (2003) | Parker and Julliard (2005),"Standard applied macro practice interprets this as the curvature/IES parameter governing how consumption growth responds to changes in the intertemporal relative price. Empirically, evidence is noisy and often implies an IES below 1 but not near zero; I place the central estimate around modest substitutability (≈0.7) with a right tail allowing values above 1 as in many calibrated/estimated DSGE and Euler-equation-based studies.",,"{""interpretation"":""Consumption intertemporal elasticity of substitution (IES) in standard time-separable utility models (distinct from any CRRA coefficient when separately identified)."",""point_estimate"":0.7,""quantiles"":{""p05"":0.2,""p25"":0.45,""p50"":0.7,""p75"":1.1,""p95"":2.2},""citations"":[""Hall (1988)"",""Weil (1989)"",""Vissing-Jorgensen and Attanasio (2003)"",""Parker and Julliard (2005)""],""reasoning_summary"":""Standard applied macro practice interprets this as the curvature/IES parameter governing how consumption growth responds to changes in the intertemporal relative price. Empirically, evidence is noisy and often implies an IES below 1 but not near zero; I place the central estimate around modest substitutability (≈0.7) with a right tail allowing values above 1 as in many calibrated/estimated DSGE and Euler-equation-based studies.""}","You are a careful empirical economist.

Quantity of interest:
- ID: household.intertemporal_elasticity_of_substitution
- Name: Intertemporal elasticity of substitution
- Description: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Population/context: Representative household or calibrated household block
- Units: elasticity
- Preferred interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Plausible support: [0.0, 5.0]
- Benchmark note: A canonical macro quantity often discussed alongside risk aversion.

Task:
1. Use the most standard interpretation in applied economics.
2. If the quantity is ambiguous, choose one interpretation and say exactly what you chose.
3. Give your own best central estimate.
4. Report your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
5. Make the quantiles weakly increasing and numerically coherent.
6. Give 2 to 4 literature anchors or model-documentation anchors.
7. Keep the explanation brief and substantive.

Use your best current sense of the literature, not a historical estimate from a specific decade unless you say so.

Return valid JSON only. Use numbers, not strings, for numeric fields.
{
  ""interpretation"": ""short string"",
  ""point_estimate"": 0.0,
  ""reasoning_summary"": ""short string"",
  ""quantiles"": {
    ""p05"": 0.0,
    ""p25"": 0.0,
    ""p50"": 0.0,
    ""p75"": 0.0,
    ""p95"": 0.0
  },
  ""citations"": [
    ""Author (Year)"",
    ""Author (Year)""
  ]
}"
openai_chat_completions,gpt-5.4-nano,household.intertemporal_elasticity_of_substitution,10,v1,True,0.8,Consumption intertemporal elasticity of substitution (IES): percent change in consumption growth from a 1% change in the intertemporal price of consumption (distinct from the CRRA risk-aversion coefficient when separability allows identification).,0.2,2.0,0.9,"{""p05"": 0.2, ""p25"": 0.5, ""p50"": 0.8, ""p75"": 1.2, ""p95"": 2.0}",Bansal and Yaron (2004) | Hall (1988) | Chetty (2006) | Tallarini (2000),"Standard macro/asset-pricing usage treats consumption IES as a preference curvature parameter governing the response of consumption growth to intertemporal incentives. Empirical and calibration/identification work typically finds that values near or below 1 explain macro consumption dynamics better than very low values, while still allowing some dispersion toward higher elasticities; hence a moderate central estimate with a right tail into the ~2 range.",,"{""interpretation"":""Consumption intertemporal elasticity of substitution (IES): percent change in consumption growth from a 1% change in the intertemporal price of consumption (distinct from the CRRA risk-aversion coefficient when separability allows identification)."",""point_estimate"":0.8,""quantiles"":{""p05"":0.2,""p25"":0.5,""p50"":0.8,""p75"":1.2,""p95"":2.0},""citations"":[""Bansal and Yaron (2004)"",""Hall (1988)"",""Chetty (2006)"",""Tallarini (2000)""],""reasoning_summary"":""Standard macro/asset-pricing usage treats consumption IES as a preference curvature parameter governing the response of consumption growth to intertemporal incentives. Empirical and calibration/identification work typically finds that values near or below 1 explain macro consumption dynamics better than very low values, while still allowing some dispersion toward higher elasticities; hence a moderate central estimate with a right tail into the ~2 range.""}","You are a careful empirical economist.

Quantity of interest:
- ID: household.intertemporal_elasticity_of_substitution
- Name: Intertemporal elasticity of substitution
- Description: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Population/context: Representative household or calibrated household block
- Units: elasticity
- Preferred interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Plausible support: [0.0, 5.0]
- Benchmark note: A canonical macro quantity often discussed alongside risk aversion.

Task:
1. Use the most standard interpretation in applied economics.
2. If the quantity is ambiguous, choose one interpretation and say exactly what you chose.
3. Give your own best central estimate.
4. Report your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
5. Make the quantiles weakly increasing and numerically coherent.
6. Give 2 to 4 literature anchors or model-documentation anchors.
7. Keep the explanation brief and substantive.

Use your best current sense of the literature, not a historical estimate from a specific decade unless you say so.

Return valid JSON only. Use numbers, not strings, for numeric fields.
{
  ""interpretation"": ""short string"",
  ""point_estimate"": 0.0,
  ""reasoning_summary"": ""short string"",
  ""quantiles"": {
    ""p05"": 0.0,
    ""p25"": 0.0,
    ""p50"": 0.0,
    ""p75"": 0.0,
    ""p95"": 0.0
  },
  ""citations"": [
    ""Author (Year)"",
    ""Author (Year)""
  ]
}"
