provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,1,ies-clarify,none,1,QB3VabOmHtXUjMcPsrOKoA0,486,985,1471,,721,,,,,0.0031980000000000003,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 985, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 721, ""rejected_prediction_tokens"": null, ""text_tokens"": 264, ""video_tokens"": null}, ""litellm_cost_usd"": 0.0031980000000000003, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1471}"
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,2,ies-clarify,none,1,SB3VaanaB4-ljMcPisWKqAw,486,1184,1670,,1143,,,,,0.003795,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1184, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1143, ""rejected_prediction_tokens"": null, ""text_tokens"": 41, ""video_tokens"": null}, ""litellm_cost_usd"": 0.003795, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1670}"
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,3,ies-clarify,none,1,Tx3VabDZKfOPjMcPibSM6Q0,486,1185,1671,,1133,,,,,0.003798,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1185, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1133, ""rejected_prediction_tokens"": null, ""text_tokens"": 52, ""video_tokens"": null}, ""litellm_cost_usd"": 0.003798, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1671}"
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,4,ies-clarify,none,1,VR3VaZXcIZzmjMcP47OG2Ak,486,829,1315,,618,,,,,0.0027300000000000002,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 829, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 618, ""rejected_prediction_tokens"": null, ""text_tokens"": 211, ""video_tokens"": null}, ""litellm_cost_usd"": 0.0027300000000000002, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1315}"
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,5,ies-clarify,none,1,XR3VaYeJGMfqugfH4NXpCg,486,1185,1671,,1149,,,,,0.003798,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1185, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1149, ""rejected_prediction_tokens"": null, ""text_tokens"": 36, ""video_tokens"": null}, ""litellm_cost_usd"": 0.003798, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1671}"
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,6,ies-clarify,none,1,Yx3VafuoOYDD1MkPr_aw6Qc,486,1081,1567,,823,,,,,0.0034860000000000004,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1081, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 823, ""rejected_prediction_tokens"": null, ""text_tokens"": 258, ""video_tokens"": null}, ""litellm_cost_usd"": 0.0034860000000000004, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1567}"
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,7,ies-clarify,none,1,ah3Vaf6iKa3D1MkPr-TioAE,486,1185,1671,,1150,,,,,0.003798,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1185, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1150, ""rejected_prediction_tokens"": null, ""text_tokens"": 35, ""video_tokens"": null}, ""litellm_cost_usd"": 0.003798, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1671}"
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,8,ies-clarify,none,1,dB3VafXjEojG1MkPrLiQwQ8,486,1185,1671,,1150,,,,,0.003798,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1185, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1150, ""rejected_prediction_tokens"": null, ""text_tokens"": 35, ""video_tokens"": null}, ""litellm_cost_usd"": 0.003798, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1671}"
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,9,ies-clarify,none,1,eh3VaefVM_2B1MkPvfr52Ag,486,1037,1523,,754,,,,,0.003354,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1037, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 754, ""rejected_prediction_tokens"": null, ""text_tokens"": 283, ""video_tokens"": null}, ""litellm_cost_usd"": 0.003354, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1523}"
litellm_completion,gemini-3-flash-preview,household.intertemporal_elasticity_of_substitution,10,ies-clarify,none,1,gR3VaducJPik1MkPjLLbyQo,486,1185,1671,,1150,,,,,0.003798,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1185, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1150, ""rejected_prediction_tokens"": null, ""text_tokens"": 35, ""video_tokens"": null}, ""litellm_cost_usd"": 0.003798, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 1671}"
