provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,1,v2,none,1,6bc83a90-099c-93ed-a00c-43a0e9ced3b9,796,177,973,315,0,,,,,0.00020045,,,,[],[],"{""completion_tokens"": 177, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 2004500, ""litellm_cost_usd"": 0.00020045, ""num_sources_used"": 0, ""prompt_tokens"": 796, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 315, ""image_tokens"": 0, ""text_tokens"": 796}, ""total_tokens"": 973}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,2,v2,none,1,74936a3b-743a-9f31-a143-4b1146fef69c,796,181,977,795,0,,,,,0.00013045,,,,[],[],"{""completion_tokens"": 181, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1304500, ""litellm_cost_usd"": 0.00013045, ""num_sources_used"": 0, ""prompt_tokens"": 796, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 795, ""image_tokens"": 0, ""text_tokens"": 796}, ""total_tokens"": 977}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,3,v2,none,1,0aa5f9fa-1151-9991-8bb5-734f268e046f,796,193,989,795,0,,,,,0.00013644999999999998,,,,[],[],"{""completion_tokens"": 193, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1364500, ""litellm_cost_usd"": 0.00013644999999999998, ""num_sources_used"": 0, ""prompt_tokens"": 796, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 795, ""image_tokens"": 0, ""text_tokens"": 796}, ""total_tokens"": 989}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,4,v2,none,1,754f4f1f-f8dc-95c7-b5a3-c566ff9e8068,796,192,988,795,0,,,,,0.00013595,,,,[],[],"{""completion_tokens"": 192, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1359500, ""litellm_cost_usd"": 0.00013595, ""num_sources_used"": 0, ""prompt_tokens"": 796, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 795, ""image_tokens"": 0, ""text_tokens"": 796}, ""total_tokens"": 988}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,5,v2,none,1,fedb037e-46bc-96e6-bb63-0f0943b1c747,796,198,994,795,0,,,,,0.00013895,,,,[],[],"{""completion_tokens"": 198, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1389500, ""litellm_cost_usd"": 0.00013895, ""num_sources_used"": 0, ""prompt_tokens"": 796, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 795, ""image_tokens"": 0, ""text_tokens"": 796}, ""total_tokens"": 994}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,6,v2,none,1,828e7ca3-7f27-9903-8555-9b26424c6fec,796,179,975,795,0,,,,,0.00012944999999999998,,,,[],[],"{""completion_tokens"": 179, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1294500, ""litellm_cost_usd"": 0.00012944999999999998, ""num_sources_used"": 0, ""prompt_tokens"": 796, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 795, ""image_tokens"": 0, ""text_tokens"": 796}, ""total_tokens"": 975}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,7,v2,none,1,33b04f21-6890-9459-8f9f-6b2b4208d130,796,191,987,795,0,,,,,0.00013544999999999999,,,,[],[],"{""completion_tokens"": 191, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1354500, ""litellm_cost_usd"": 0.00013544999999999999, ""num_sources_used"": 0, ""prompt_tokens"": 796, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 795, ""image_tokens"": 0, ""text_tokens"": 796}, ""total_tokens"": 987}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,8,v2,none,1,bf73f0b9-b445-989e-9e6f-6bfc4d20ec18,796,183,979,795,0,,,,,0.00013145,,,,[],[],"{""completion_tokens"": 183, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1314500, ""litellm_cost_usd"": 0.00013145, ""num_sources_used"": 0, ""prompt_tokens"": 796, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 795, ""image_tokens"": 0, ""text_tokens"": 796}, ""total_tokens"": 979}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,9,v2,none,1,1d4b1cde-f524-9f89-af09-3027e3261ba1,796,190,986,315,0,,,,,0.00020695,,,,[],[],"{""completion_tokens"": 190, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 2069500, ""litellm_cost_usd"": 0.00020695, ""num_sources_used"": 0, ""prompt_tokens"": 796, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 315, ""image_tokens"": 0, ""text_tokens"": 796}, ""total_tokens"": 986}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,10,v2,none,1,85f0a455-9892-9dd0-b27c-0f8ec13ba367,796,223,1019,795,0,,,,,0.00015145,,,,[],[],"{""completion_tokens"": 223, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1514500, ""litellm_cost_usd"": 0.00015145, ""num_sources_used"": 0, ""prompt_tokens"": 796, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 795, ""image_tokens"": 0, ""text_tokens"": 796}, ""total_tokens"": 1019}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,11,v2,none,1,602b4fc2-dbb0-9315-aa90-cfe53f8f6521,796,185,981,795,0,,,,,0.00013245,,,,[],[],"{""completion_tokens"": 185, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1324500, ""litellm_cost_usd"": 0.00013245, ""num_sources_used"": 0, ""prompt_tokens"": 796, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 795, ""image_tokens"": 0, ""text_tokens"": 796}, ""total_tokens"": 981}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,12,v2,none,1,81c869af-441b-95c0-9b07-8e0fa316a514,796,183,979,795,0,,,,,0.00013145,,,,[],[],"{""completion_tokens"": 183, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1314500, ""litellm_cost_usd"": 0.00013145, ""num_sources_used"": 0, ""prompt_tokens"": 796, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 795, ""image_tokens"": 0, ""text_tokens"": 796}, ""total_tokens"": 979}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,13,v2,none,1,022ae464-13df-9dee-878b-382abdcb2ecc,796,189,985,795,0,,,,,0.00013445,,,,[],[],"{""completion_tokens"": 189, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1344500, ""litellm_cost_usd"": 0.00013445, ""num_sources_used"": 0, ""prompt_tokens"": 796, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 795, ""image_tokens"": 0, ""text_tokens"": 796}, ""total_tokens"": 985}"
