provider,model_name,quantity_id,run_index,prompt_version,tool_regime,parsed_ok,point_estimate,interpretation,lower_bound,upper_bound,confidence_level,quantiles,citations,reasoning_summary,error,raw_response,prompt
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,1,v2,none,True,0.5,Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption. Consumption IES for representative household.,0.2,2.0,0.9,"{""p05"": 0.2, ""p25"": 0.35, ""p50"": 0.5, ""p75"": 0.8, ""p95"": 2.0}",Epstein-Zin preferences literature | Attanasio et al macro surveys | Standard RBC calibration,Macro models often calibrate IES around 0.5-1 for plausible Euler equations; micro estimates vary but representative agent context favors moderate values above risk aversion inverse.,,"{""interpretation"":""Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption. Consumption IES for representative household."",""point_estimate"":0.5,""quantiles"":{""p05"":0.2,""p25"":0.35,""p50"":0.5,""p75"":0.8,""p95"":2},""citations"":[""Epstein-Zin preferences literature"",""Attanasio et al macro surveys"",""Standard RBC calibration""],""reasoning_summary"":""Macro models often calibrate IES around 0.5-1 for plausible Euler equations; micro estimates vary but representative agent context favors moderate values above risk aversion inverse.""}","Answer from your current memory and background knowledge only.
Do not use tools, files, the web, code, or external resources.
Do not try to reconstruct a literature review or search for a consensus estimate.
Report the belief you currently endorse.

Quantity of interest:
- Name: Intertemporal elasticity of substitution
- Definition: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Target interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Population/context: Representative household or calibrated household block
- Units: elasticity

Task:
1. Use exactly the target interpretation above. In `interpretation`, restate it briefly.
2. Give your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
3. Set `point_estimate` equal to `p50`.
4. Make the quantiles weakly increasing and numerically coherent.
5. In `citations`, list up to 3 source anchors from memory that influenced your belief. These are recall anchors only. If none come to mind confidently, return `[]`.
6. Keep `reasoning_summary` brief and substantive.

Return valid JSON only with exactly this shape:
{
  ""interpretation"": ""..."",
  ""point_estimate"": <number>,
  ""quantiles"": {
    ""p05"": <number>,
    ""p25"": <number>,
    ""p50"": <number>,
    ""p75"": <number>,
    ""p95"": <number>
  },
  ""citations"": [""...""],
  ""reasoning_summary"": ""...""
}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,2,v2,none,True,0.5,"Consumption IES: percent change in consumption growth from a 1% change in intertemporal price of consumption, for representative household",0.2,2.0,0.9,"{""p05"": 0.2, ""p25"": 0.35, ""p50"": 0.5, ""p75"": 1.0, ""p95"": 2.0}",Epstein-Zin preferences | Macro asset pricing literature | RBC calibration,"Macro models often assume IES around 1 or higher for puzzles like equity premium, but consumption data and micro evidence suggest lower values ~0.5; distinct from risk aversion in recursive utility.",,"{""interpretation"":""Consumption IES: percent change in consumption growth from a 1% change in intertemporal price of consumption, for representative household"",""point_estimate"":0.5,""quantiles"":{""p05"":0.2,""p25"":0.35,""p50"":0.5,""p75"":1.0,""p95"":2.0},""citations"":[""Epstein-Zin preferences"",""Macro asset pricing literature"",""RBC calibration""],""reasoning_summary"":""Macro models often assume IES around 1 or higher for puzzles like equity premium, but consumption data and micro evidence suggest lower values ~0.5; distinct from risk aversion in recursive utility.""}","Answer from your current memory and background knowledge only.
Do not use tools, files, the web, code, or external resources.
Do not try to reconstruct a literature review or search for a consensus estimate.
Report the belief you currently endorse.

Quantity of interest:
- Name: Intertemporal elasticity of substitution
- Definition: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Target interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Population/context: Representative household or calibrated household block
- Units: elasticity

Task:
1. Use exactly the target interpretation above. In `interpretation`, restate it briefly.
2. Give your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
3. Set `point_estimate` equal to `p50`.
4. Make the quantiles weakly increasing and numerically coherent.
5. In `citations`, list up to 3 source anchors from memory that influenced your belief. These are recall anchors only. If none come to mind confidently, return `[]`.
6. Keep `reasoning_summary` brief and substantive.

Return valid JSON only with exactly this shape:
{
  ""interpretation"": ""..."",
  ""point_estimate"": <number>,
  ""quantiles"": {
    ""p05"": <number>,
    ""p25"": <number>,
    ""p50"": <number>,
    ""p75"": <number>,
    ""p95"": <number>
  },
  ""citations"": [""...""],
  ""reasoning_summary"": ""...""
}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,3,v2,none,True,0.5,Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption. Consumption IES for representative household.,0.2,2.0,0.9,"{""p05"": 0.2, ""p25"": 0.4, ""p50"": 0.5, ""p75"": 1.0, ""p95"": 2.0}",Epstein-Zin preferences | macro-finance literature | Attanasio surveys,"Macro models often calibrate IES around 0.5-1, higher than Euler equation estimates (&lt;1) but lower than RBC preferences (IES=1/γ&gt;1); reflects separation from risk aversion in Epstein-Zin frameworks.",,"{""interpretation"":""Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption. Consumption IES for representative household."",""point_estimate"":0.5,""quantiles"":{""p05"":0.2,""p25"":0.4,""p50"":0.5,""p75"":1.0,""p95"":2.0},""citations"":[""Epstein-Zin preferences"",""macro-finance literature"",""Attanasio surveys""],""reasoning_summary"":""Macro models often calibrate IES around 0.5-1, higher than Euler equation estimates (&lt;1) but lower than RBC preferences (IES=1/γ&gt;1); reflects separation from risk aversion in Epstein-Zin frameworks.""}","Answer from your current memory and background knowledge only.
Do not use tools, files, the web, code, or external resources.
Do not try to reconstruct a literature review or search for a consensus estimate.
Report the belief you currently endorse.

Quantity of interest:
- Name: Intertemporal elasticity of substitution
- Definition: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Target interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Population/context: Representative household or calibrated household block
- Units: elasticity

Task:
1. Use exactly the target interpretation above. In `interpretation`, restate it briefly.
2. Give your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
3. Set `point_estimate` equal to `p50`.
4. Make the quantiles weakly increasing and numerically coherent.
5. In `citations`, list up to 3 source anchors from memory that influenced your belief. These are recall anchors only. If none come to mind confidently, return `[]`.
6. Keep `reasoning_summary` brief and substantive.

Return valid JSON only with exactly this shape:
{
  ""interpretation"": ""..."",
  ""point_estimate"": <number>,
  ""quantiles"": {
    ""p05"": <number>,
    ""p25"": <number>,
    ""p50"": <number>,
    ""p75"": <number>,
    ""p95"": <number>
  },
  ""citations"": [""...""],
  ""reasoning_summary"": ""...""
}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,4,v2,none,True,0.5,Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption. Consumption IES for representative household.,0.2,2.0,0.9,"{""p05"": 0.2, ""p25"": 0.4, ""p50"": 0.5, ""p75"": 1.0, ""p95"": 2.0}",Epstein-Zin preferences literature | Macro asset pricing models | Havranek et al. meta-analysis,"From memory, macro models often calibrate IES around 0.5-2, higher than risk aversion; some evidence suggests lower values ~0.5; distributions reflect uncertainty across studies distinguishing IES from CRRA.",,"{""interpretation"":""Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption. Consumption IES for representative household."",""point_estimate"":0.5,""quantiles"":{""p05"":0.2,""p25"":0.4,""p50"":0.5,""p75"":1.0,""p95"":2.0},""citations"":[""Epstein-Zin preferences literature"",""Macro asset pricing models"",""Havranek et al. meta-analysis""],""reasoning_summary"":""From memory, macro models often calibrate IES around 0.5-2, higher than risk aversion; some evidence suggests lower values ~0.5; distributions reflect uncertainty across studies distinguishing IES from CRRA.""}","Answer from your current memory and background knowledge only.
Do not use tools, files, the web, code, or external resources.
Do not try to reconstruct a literature review or search for a consensus estimate.
Report the belief you currently endorse.

Quantity of interest:
- Name: Intertemporal elasticity of substitution
- Definition: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Target interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Population/context: Representative household or calibrated household block
- Units: elasticity

Task:
1. Use exactly the target interpretation above. In `interpretation`, restate it briefly.
2. Give your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
3. Set `point_estimate` equal to `p50`.
4. Make the quantiles weakly increasing and numerically coherent.
5. In `citations`, list up to 3 source anchors from memory that influenced your belief. These are recall anchors only. If none come to mind confidently, return `[]`.
6. Keep `reasoning_summary` brief and substantive.

Return valid JSON only with exactly this shape:
{
  ""interpretation"": ""..."",
  ""point_estimate"": <number>,
  ""quantiles"": {
    ""p05"": <number>,
    ""p25"": <number>,
    ""p50"": <number>,
    ""p75"": <number>,
    ""p95"": <number>
  },
  ""citations"": [""...""],
  ""reasoning_summary"": ""...""
}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,5,v2,none,True,0.5,"Consumption IES: percent change in consumption growth from a 1% change in the intertemporal price of consumption, for representative household.",0.2,2.0,0.9,"{""p05"": 0.2, ""p25"": 0.35, ""p50"": 0.5, ""p75"": 1.0, ""p95"": 2.0}",Epstein-Zin preferences | Macro asset pricing literature | GABA (2020) survey,"From memory, consumption IES estimates vary widely (0.2-2+); macro models with EZ preferences often calibrate around 0.5-1 for matching asset prices, distinct from risk aversion; lower end from micro, higher plausible for aggregates.",,"{""interpretation"":""Consumption IES: percent change in consumption growth from a 1% change in the intertemporal price of consumption, for representative household."",""point_estimate"":0.5,""quantiles"":{""p05"":0.2,""p25"":0.35,""p50"":0.5,""p75"":1.0,""p95"":2.0},""citations"":[""Epstein-Zin preferences"",""Macro asset pricing literature"",""GABA (2020) survey""],""reasoning_summary"":""From memory, consumption IES estimates vary widely (0.2-2+); macro models with EZ preferences often calibrate around 0.5-1 for matching asset prices, distinct from risk aversion; lower end from micro, higher plausible for aggregates.""}","Answer from your current memory and background knowledge only.
Do not use tools, files, the web, code, or external resources.
Do not try to reconstruct a literature review or search for a consensus estimate.
Report the belief you currently endorse.

Quantity of interest:
- Name: Intertemporal elasticity of substitution
- Definition: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Target interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Population/context: Representative household or calibrated household block
- Units: elasticity

Task:
1. Use exactly the target interpretation above. In `interpretation`, restate it briefly.
2. Give your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
3. Set `point_estimate` equal to `p50`.
4. Make the quantiles weakly increasing and numerically coherent.
5. In `citations`, list up to 3 source anchors from memory that influenced your belief. These are recall anchors only. If none come to mind confidently, return `[]`.
6. Keep `reasoning_summary` brief and substantive.

Return valid JSON only with exactly this shape:
{
  ""interpretation"": ""..."",
  ""point_estimate"": <number>,
  ""quantiles"": {
    ""p05"": <number>,
    ""p25"": <number>,
    ""p50"": <number>,
    ""p75"": <number>,
    ""p95"": <number>
  },
  ""citations"": [""...""],
  ""reasoning_summary"": ""...""
}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,6,v2,none,True,0.5,"Consumption IES: percent change in consumption growth from a 1% change in intertemporal price of consumption, for representative household",0.2,2.0,0.9,"{""p05"": 0.2, ""p25"": 0.35, ""p50"": 0.5, ""p75"": 0.8, ""p95"": 2.0}",Epstein-Zin preferences | macro-finance literature | Attanasio et al. surveys,"Recalled macro asset pricing and calibration often use IES around 0.5-2, higher than risk aversion; Euler equation estimates vary but point to >1 IES.",,"{""interpretation"":""Consumption IES: percent change in consumption growth from a 1% change in intertemporal price of consumption, for representative household"",""point_estimate"":0.5,""quantiles"":{""p05"":0.2,""p25"":0.35,""p50"":0.5,""p75"":0.8,""p95"":2},""citations"":[""Epstein-Zin preferences"",""macro-finance literature"",""Attanasio et al. surveys""],""reasoning_summary"":""Recalled macro asset pricing and calibration often use IES around 0.5-2, higher than risk aversion; Euler equation estimates vary but point to >1 IES.""}","Answer from your current memory and background knowledge only.
Do not use tools, files, the web, code, or external resources.
Do not try to reconstruct a literature review or search for a consensus estimate.
Report the belief you currently endorse.

Quantity of interest:
- Name: Intertemporal elasticity of substitution
- Definition: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Target interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Population/context: Representative household or calibrated household block
- Units: elasticity

Task:
1. Use exactly the target interpretation above. In `interpretation`, restate it briefly.
2. Give your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
3. Set `point_estimate` equal to `p50`.
4. Make the quantiles weakly increasing and numerically coherent.
5. In `citations`, list up to 3 source anchors from memory that influenced your belief. These are recall anchors only. If none come to mind confidently, return `[]`.
6. Keep `reasoning_summary` brief and substantive.

Return valid JSON only with exactly this shape:
{
  ""interpretation"": ""..."",
  ""point_estimate"": <number>,
  ""quantiles"": {
    ""p05"": <number>,
    ""p25"": <number>,
    ""p50"": <number>,
    ""p75"": <number>,
    ""p95"": <number>
  },
  ""citations"": [""...""],
  ""reasoning_summary"": ""...""
}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,7,v2,none,True,0.5,Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption. Consumption IES for representative household.,0.2,2.0,0.9,"{""p05"": 0.2, ""p25"": 0.35, ""p50"": 0.5, ""p75"": 0.8, ""p95"": 2.0}",Epstein-Zin preferences literature | Macro asset pricing calibrations | Guiso et al. (2018) survey,Macro models often calibrate IES around 0.5-1 for consumption smoothing; higher values in EZ prefs with low risk aversion; empirical estimates range 0.2-2 with uncertainty.,,"{""interpretation"":""Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption. Consumption IES for representative household."",""point_estimate"":0.5,""quantiles"":{""p05"":0.2,""p25"":0.35,""p50"":0.5,""p75"":0.8,""p95"":2.0},""citations"":[""Epstein-Zin preferences literature"",""Macro asset pricing calibrations"",""Guiso et al. (2018) survey""],""reasoning_summary"":""Macro models often calibrate IES around 0.5-1 for consumption smoothing; higher values in EZ prefs with low risk aversion; empirical estimates range 0.2-2 with uncertainty.""}","Answer from your current memory and background knowledge only.
Do not use tools, files, the web, code, or external resources.
Do not try to reconstruct a literature review or search for a consensus estimate.
Report the belief you currently endorse.

Quantity of interest:
- Name: Intertemporal elasticity of substitution
- Definition: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Target interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Population/context: Representative household or calibrated household block
- Units: elasticity

Task:
1. Use exactly the target interpretation above. In `interpretation`, restate it briefly.
2. Give your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
3. Set `point_estimate` equal to `p50`.
4. Make the quantiles weakly increasing and numerically coherent.
5. In `citations`, list up to 3 source anchors from memory that influenced your belief. These are recall anchors only. If none come to mind confidently, return `[]`.
6. Keep `reasoning_summary` brief and substantive.

Return valid JSON only with exactly this shape:
{
  ""interpretation"": ""..."",
  ""point_estimate"": <number>,
  ""quantiles"": {
    ""p05"": <number>,
    ""p25"": <number>,
    ""p50"": <number>,
    ""p75"": <number>,
    ""p95"": <number>
  },
  ""citations"": [""...""],
  ""reasoning_summary"": ""...""
}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,8,v2,none,True,0.5,"Consumption IES: percent change in consumption growth from a 1% change in intertemporal price of consumption, for representative household",0.2,2.0,0.9,"{""p05"": 0.2, ""p25"": 0.35, ""p50"": 0.5, ""p75"": 1.0, ""p95"": 2.0}",Epstein-Zin preferences | macro asset pricing literature | RBC calibration,Macro models often calibrate IES around 0.5-1 for consumption growth sensitivity to interest rates; higher than risk aversion inverse; recall debates favor IES >1/γ in Epstein-Zin setups.,,"{""interpretation"":""Consumption IES: percent change in consumption growth from a 1% change in intertemporal price of consumption, for representative household"",""point_estimate"":0.5,""quantiles"":{""p05"":0.2,""p25"":0.35,""p50"":0.5,""p75"":1.0,""p95"":2.0},""citations"":[""Epstein-Zin preferences"",""macro asset pricing literature"",""RBC calibration""],""reasoning_summary"":""Macro models often calibrate IES around 0.5-1 for consumption growth sensitivity to interest rates; higher than risk aversion inverse; recall debates favor IES >1/γ in Epstein-Zin setups.""}","Answer from your current memory and background knowledge only.
Do not use tools, files, the web, code, or external resources.
Do not try to reconstruct a literature review or search for a consensus estimate.
Report the belief you currently endorse.

Quantity of interest:
- Name: Intertemporal elasticity of substitution
- Definition: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Target interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Population/context: Representative household or calibrated household block
- Units: elasticity

Task:
1. Use exactly the target interpretation above. In `interpretation`, restate it briefly.
2. Give your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
3. Set `point_estimate` equal to `p50`.
4. Make the quantiles weakly increasing and numerically coherent.
5. In `citations`, list up to 3 source anchors from memory that influenced your belief. These are recall anchors only. If none come to mind confidently, return `[]`.
6. Keep `reasoning_summary` brief and substantive.

Return valid JSON only with exactly this shape:
{
  ""interpretation"": ""..."",
  ""point_estimate"": <number>,
  ""quantiles"": {
    ""p05"": <number>,
    ""p25"": <number>,
    ""p50"": <number>,
    ""p75"": <number>,
    ""p95"": <number>
  },
  ""citations"": [""...""],
  ""reasoning_summary"": ""...""
}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,9,v2,none,True,0.5,Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption. Consumption IES for representative household.,0.2,2.0,0.9,"{""p05"": 0.2, ""p25"": 0.35, ""p50"": 0.5, ""p75"": 0.8, ""p95"": 2.0}",Epstein-Zin model literature | Macro-finance asset pricing calibrations | Halevy et al. experiments,Macro models often calibrate IES around 0.5-2 for explaining risk-free rate and growth puzzles; distinct from risk aversion in Epstein-Zin; experimental evidence mixed but points above 0.5.,,"{""interpretation"":""Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption. Consumption IES for representative household."",""point_estimate"":0.5,""quantiles"":{""p05"":0.2,""p25"":0.35,""p50"":0.5,""p75"":0.8,""p95"":2},""citations"":[""Epstein-Zin model literature"",""Macro-finance asset pricing calibrations"",""Halevy et al. experiments""],""reasoning_summary"":""Macro models often calibrate IES around 0.5-2 for explaining risk-free rate and growth puzzles; distinct from risk aversion in Epstein-Zin; experimental evidence mixed but points above 0.5.""}","Answer from your current memory and background knowledge only.
Do not use tools, files, the web, code, or external resources.
Do not try to reconstruct a literature review or search for a consensus estimate.
Report the belief you currently endorse.

Quantity of interest:
- Name: Intertemporal elasticity of substitution
- Definition: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Target interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Population/context: Representative household or calibrated household block
- Units: elasticity

Task:
1. Use exactly the target interpretation above. In `interpretation`, restate it briefly.
2. Give your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
3. Set `point_estimate` equal to `p50`.
4. Make the quantiles weakly increasing and numerically coherent.
5. In `citations`, list up to 3 source anchors from memory that influenced your belief. These are recall anchors only. If none come to mind confidently, return `[]`.
6. Keep `reasoning_summary` brief and substantive.

Return valid JSON only with exactly this shape:
{
  ""interpretation"": ""..."",
  ""point_estimate"": <number>,
  ""quantiles"": {
    ""p05"": <number>,
    ""p25"": <number>,
    ""p50"": <number>,
    ""p75"": <number>,
    ""p95"": <number>
  },
  ""citations"": [""...""],
  ""reasoning_summary"": ""...""
}"
litellm_completion,grok-4.1-fast,household.intertemporal_elasticity_of_substitution,10,v2,none,True,0.5,"Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption. Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction",0.2,2.0,0.9,"{""p05"": 0.2, ""p25"": 0.35, ""p50"": 0.5, ""p75"": 0.8, ""p95"": 2.0}",Epstein-Zin preferences literature | Macro-finance asset pricing models | Yogo (2004) estimates,"From memory, standard RBC/CRRA models use IES around 0.5-2; Epstein-Zin allows separation, with consumption IES often calibrated near 0.5 or higher to match growth-return puzzles, though estimates vary widely (0.2-2+). Subjective central belief 0.5 for representative household.",,"{""interpretation"":""Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption. Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction"",""point_estimate"":0.5,""quantiles"":{""p05"":0.2,""p25"":0.35,""p50"":0.5,""p75"":0.8,""p95"":2},""citations"":[""Epstein-Zin preferences literature"",""Macro-finance asset pricing models"",""Yogo (2004) estimates""],""reasoning_summary"":""From memory, standard RBC/CRRA models use IES around 0.5-2; Epstein-Zin allows separation, with consumption IES often calibrated near 0.5 or higher to match growth-return puzzles, though estimates vary widely (0.2-2+). Subjective central belief 0.5 for representative household.""}","Answer from your current memory and background knowledge only.
Do not use tools, files, the web, code, or external resources.
Do not try to reconstruct a literature review or search for a consensus estimate.
Report the belief you currently endorse.

Quantity of interest:
- Name: Intertemporal elasticity of substitution
- Definition: Percent change in consumption growth from a 1 percent change in the intertemporal price of consumption.
- Target interpretation: Consumption IES, distinct from the CRRA coefficient when the environment allows that distinction
- Population/context: Representative household or calibrated household block
- Units: elasticity

Task:
1. Use exactly the target interpretation above. In `interpretation`, restate it briefly.
2. Give your subjective quantiles p05, p25, p50, p75, and p95 for this quantity.
3. Set `point_estimate` equal to `p50`.
4. Make the quantiles weakly increasing and numerically coherent.
5. In `citations`, list up to 3 source anchors from memory that influenced your belief. These are recall anchors only. If none come to mind confidently, return `[]`.
6. Keep `reasoning_summary` brief and substantive.

Return valid JSON only with exactly this shape:
{
  ""interpretation"": ""..."",
  ""point_estimate"": <number>,
  ""quantiles"": {
    ""p05"": <number>,
    ""p25"": <number>,
    ""p50"": <number>,
    ""p75"": <number>,
    ""p95"": <number>
  },
  ""citations"": [""...""],
  ""reasoning_summary"": ""...""
}"
