provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,qwen3.8-max,trade.armington_elasticity.import_domestic,1,armington-clarify,none,1,gen-1786072924-vjhL0ZquO3G6HDRd4k59,489,3323,3812,0,3053,,,,,,,,,[],[],"{""completion_tokens"": 3323, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 3053, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.020916, ""cost_details"": {""upstream_inference_completions_cost"": 0.019938, ""upstream_inference_cost"": 0.020916, ""upstream_inference_prompt_cost"": 0.000978}, ""is_byok"": false, ""prompt_tokens"": 489, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 3812}"
litellm_completion,qwen3.8-max,trade.armington_elasticity.import_domestic,2,armington-clarify,none,1,gen-1786072924-bhT3oyennFR3bkMFoDN3,489,12744,13233,0,12473,,,,,,,,,[],[],"{""completion_tokens"": 12744, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 12473, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.077442, ""cost_details"": {""upstream_inference_completions_cost"": 0.076464, ""upstream_inference_cost"": 0.077442, ""upstream_inference_prompt_cost"": 0.000978}, ""is_byok"": false, ""prompt_tokens"": 489, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 13233}"
litellm_completion,qwen3.8-max,trade.armington_elasticity.import_domestic,3,armington-clarify,none,1,gen-1786072924-bmFyPTaZIERbVwfsVOcR,489,3994,4483,0,3684,,,,,,,,,[],[],"{""completion_tokens"": 3994, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 3684, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.024942, ""cost_details"": {""upstream_inference_completions_cost"": 0.023964, ""upstream_inference_cost"": 0.024942, ""upstream_inference_prompt_cost"": 0.000978}, ""is_byok"": false, ""prompt_tokens"": 489, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 4483}"
litellm_completion,qwen3.8-max,trade.armington_elasticity.import_domestic,4,armington-clarify,none,1,gen-1786072924-hLGFPHE94Fkg67gJlaLi,489,5604,6093,0,5364,,,,,,,,,[],[],"{""completion_tokens"": 5604, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 5364, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.034602, ""cost_details"": {""upstream_inference_completions_cost"": 0.033624, ""upstream_inference_cost"": 0.034602, ""upstream_inference_prompt_cost"": 0.000978}, ""is_byok"": false, ""prompt_tokens"": 489, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 6093}"
litellm_completion,qwen3.8-max,trade.armington_elasticity.import_domestic,5,armington-clarify,none,1,gen-1786073009-5IdeRA8uIyQf7f6A6JUX,489,4299,4788,0,4065,,,,,,,,,[],[],"{""completion_tokens"": 4299, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 4065, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.026772, ""cost_details"": {""upstream_inference_completions_cost"": 0.025794, ""upstream_inference_cost"": 0.026772, ""upstream_inference_prompt_cost"": 0.000978}, ""is_byok"": false, ""prompt_tokens"": 489, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 4788}"
litellm_completion,qwen3.8-max,trade.armington_elasticity.import_domestic,6,armington-clarify,none,1,gen-1786073032-vUCvlU5VmnWhefyqnXes,489,4879,5368,0,4625,,,,,,,,,[],[],"{""completion_tokens"": 4879, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 4625, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.030252, ""cost_details"": {""upstream_inference_completions_cost"": 0.029274, ""upstream_inference_cost"": 0.030252, ""upstream_inference_prompt_cost"": 0.000978}, ""is_byok"": false, ""prompt_tokens"": 489, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 5368}"
litellm_completion,qwen3.8-max,trade.armington_elasticity.import_domestic,7,armington-clarify,none,1,gen-1786073080-I73Z0qX8DfhPS78LcXuz,489,8241,8730,0,7953,,,,,,,,,[],[],"{""completion_tokens"": 8241, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 7953, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.050424, ""cost_details"": {""upstream_inference_completions_cost"": 0.049446, ""upstream_inference_cost"": 0.050424, ""upstream_inference_prompt_cost"": 0.000978}, ""is_byok"": false, ""prompt_tokens"": 489, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 8730}"
litellm_completion,qwen3.8-max,trade.armington_elasticity.import_domestic,8,armington-clarify,none,1,gen-1786073120-LGZw3cUENQE9xebkw1Cn,489,6427,6916,0,6125,,,,,,,,,[],[],"{""completion_tokens"": 6427, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 6125, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.03954, ""cost_details"": {""upstream_inference_completions_cost"": 0.038562, ""upstream_inference_cost"": 0.03954, ""upstream_inference_prompt_cost"": 0.000978}, ""is_byok"": false, ""prompt_tokens"": 489, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 6916}"
litellm_completion,qwen3.8-max,trade.armington_elasticity.import_domestic,9,armington-clarify,none,1,gen-1786073157-FNt3gFRgXJfKN6atVBvi,489,6810,7299,0,6503,,,,,,,,,[],[],"{""completion_tokens"": 6810, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 6503, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.041838, ""cost_details"": {""upstream_inference_completions_cost"": 0.04086, ""upstream_inference_cost"": 0.041838, ""upstream_inference_prompt_cost"": 0.000978}, ""is_byok"": false, ""prompt_tokens"": 489, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 7299}"
litellm_completion,qwen3.8-max,trade.armington_elasticity.import_domestic,10,armington-clarify,none,1,gen-1786073241-znVJ6UPoCbRbcPPj5skO,489,3270,3759,0,3021,,,,,,,,,[],[],"{""completion_tokens"": 3270, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 3021, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.020598, ""cost_details"": {""upstream_inference_completions_cost"": 0.01962, ""upstream_inference_cost"": 0.020598, ""upstream_inference_prompt_cost"": 0.000978}, ""is_byok"": false, ""prompt_tokens"": 489, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 3759}"
