provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,grok-4.1-fast,household.annual_discount_factor,1,v4,none,1,4821c214-d94d-97c8-a6bb-909f6b388f2f,774,170,944,292,0,,,,,0.000196,,,,[],[],"{""completion_tokens"": 170, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1960000, ""litellm_cost_usd"": 0.000196, ""num_sources_used"": 0, ""prompt_tokens"": 774, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 292, ""image_tokens"": 0, ""text_tokens"": 774}, ""total_tokens"": 944}"
litellm_completion,grok-4.1-fast,household.annual_discount_factor,2,v4,none,1,4256191d-7bf7-9209-be99-4376fc552bfc,774,163,937,158,0,,,,,0.0002126,,,,[],[],"{""completion_tokens"": 163, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 2126000, ""litellm_cost_usd"": 0.0002126, ""num_sources_used"": 0, ""prompt_tokens"": 774, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 158, ""image_tokens"": 0, ""text_tokens"": 774}, ""total_tokens"": 937}"
litellm_completion,grok-4.1-fast,household.annual_discount_factor,3,v4,none,1,6cbe964b-4fb1-94db-9939-4df38d4b0adc,774,167,941,773,0,,,,,0.00012235,,,,[],[],"{""completion_tokens"": 167, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1223500, ""litellm_cost_usd"": 0.00012235, ""num_sources_used"": 0, ""prompt_tokens"": 774, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 773, ""image_tokens"": 0, ""text_tokens"": 774}, ""total_tokens"": 941}"
litellm_completion,grok-4.1-fast,household.annual_discount_factor,4,v4,none,1,0f5dc7f2-74e4-9bf1-81c4-70c6f362a6ab,774,175,949,773,0,,,,,0.00012635,,,,[],[],"{""completion_tokens"": 175, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1263500, ""litellm_cost_usd"": 0.00012635, ""num_sources_used"": 0, ""prompt_tokens"": 774, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 773, ""image_tokens"": 0, ""text_tokens"": 774}, ""total_tokens"": 949}"
litellm_completion,grok-4.1-fast,household.annual_discount_factor,5,v4,none,1,9a9ef300-7d7f-9b70-bc24-3b44e6251133,774,161,935,773,0,,,,,0.00011934999999999999,,,,[],[],"{""completion_tokens"": 161, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1193500, ""litellm_cost_usd"": 0.00011934999999999999, ""num_sources_used"": 0, ""prompt_tokens"": 774, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 773, ""image_tokens"": 0, ""text_tokens"": 774}, ""total_tokens"": 935}"
litellm_completion,grok-4.1-fast,household.annual_discount_factor,6,v4,none,1,344dcb06-cb8d-9015-846d-34a80171fafc,774,176,950,773,0,,,,,0.00012685,,,,[],[],"{""completion_tokens"": 176, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1268500, ""litellm_cost_usd"": 0.00012685, ""num_sources_used"": 0, ""prompt_tokens"": 774, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 773, ""image_tokens"": 0, ""text_tokens"": 774}, ""total_tokens"": 950}"
litellm_completion,grok-4.1-fast,household.annual_discount_factor,7,v4,none,1,3d9636bd-bf3d-95bb-b500-13075c8dd84f,774,166,940,773,0,,,,,0.00012185,,,,[],[],"{""completion_tokens"": 166, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1218500, ""litellm_cost_usd"": 0.00012185, ""num_sources_used"": 0, ""prompt_tokens"": 774, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 773, ""image_tokens"": 0, ""text_tokens"": 774}, ""total_tokens"": 940}"
litellm_completion,grok-4.1-fast,household.annual_discount_factor,8,v4,none,1,0723937f-63df-9a31-a397-af2c8addd0cc,774,166,940,773,0,,,,,0.00012185,,,,[],[],"{""completion_tokens"": 166, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1218500, ""litellm_cost_usd"": 0.00012185, ""num_sources_used"": 0, ""prompt_tokens"": 774, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 773, ""image_tokens"": 0, ""text_tokens"": 774}, ""total_tokens"": 940}"
litellm_completion,grok-4.1-fast,household.annual_discount_factor,9,v4,none,1,58acbb22-e6e1-91f0-a5a4-7ba1b3da74ed,774,174,948,773,0,,,,,0.00012585,,,,[],[],"{""completion_tokens"": 174, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1258500, ""litellm_cost_usd"": 0.00012585, ""num_sources_used"": 0, ""prompt_tokens"": 774, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 773, ""image_tokens"": 0, ""text_tokens"": 774}, ""total_tokens"": 948}"
litellm_completion,grok-4.1-fast,household.annual_discount_factor,10,v4,none,1,6fd0da72-075c-950c-a5b2-517667f951f2,774,172,946,773,0,,,,,0.00012484999999999997,,,,[],[],"{""completion_tokens"": 172, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 1248500, ""litellm_cost_usd"": 0.00012484999999999997, ""num_sources_used"": 0, ""prompt_tokens"": 774, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 773, ""image_tokens"": 0, ""text_tokens"": 774}, ""total_tokens"": 946}"
