run_index,parsed_ok,error,point_estimate,interpretation,quantiles,citations,reasoning_summary
1,True,,-0.1,Intensive-margin annual-hours elasticity conditional on employment,"{'p05': -0.5, 'p25': -0.2, 'p50': -0.1, 'p75': 0.05, 'p95': 0.2}","['Heim and Meyer, 2017', 'Blundell et al., 2015']","Empirical literature finds small negative income elasticities on intensive margin for employed prime-age US workers, reflecting modest substitution effects offset by income effects favoring leisure. Distribution accounts for variation across studies and specifications."
2,True,,-0.1,Intensive-margin annual-hours elasticity conditional on employment,"{'p05': -0.5, 'p25': -0.2, 'p50': -0.1, 'p75': 0.05, 'p95': 0.3}","['Heim and Ruhm (2013)', 'Blundell et al. (2011) meta-analysis', 'Keane and Rogerson (2015)']","Empirical literature on US prime-age workers finds small negative income elasticity on intensive margin due to substitution effects; meta-analyses report around -0.1, with modest uncertainty across studies."
3,True,,-0.1,Intensive-margin annual-hours elasticity conditional on employment for prime-age US workers already working,"{'p05': -0.4, 'p25': -0.2, 'p50': -0.1, 'p75': 0.05, 'p95': 0.3}","['Heim and Payne (2010)', 'Blau and Kahn (2007)', 'Keane and Rogerson (2015)']",Standard empirical finding is small negative income effect on hours for employed prime-age workers; slight uncertainty allows for zero or weakly positive.
4,True,,-0.1,Intensive-margin annual-hours elasticity conditional on employment for prime-age US workers already working,"{'p05': -0.4, 'p25': -0.2, 'p50': -0.1, 'p75': 0.05, 'p95': 0.2}","['Heim 2007', 'Blundell et al 1993', 'Keane and Rogerson 2015']","Empirical literature finds small negative income elasticities on intensive margin for employed prime-age US workers, reflecting modest substitution effects outweighed by income effects; distribution accounts for meta-analytic ranges around -0.1."
5,True,,-0.1,Intensive-margin annual-hours elasticity conditional on employment,"{'p05': -0.5, 'p25': -0.2, 'p50': -0.1, 'p75': 0.05, 'p95': 0.2}","['Heim and Lohr (2023)', 'Blundell et al. (2012)', 'Keane and Rogerson (2015)']","Literature shows small negative income elasticity for intensive margin among employed prime-age US workers, reflecting modest substitution and income effects, with estimates clustering around -0.1 but some uncertainty and near-zero or small positive findings."
6,True,,-0.1,Intensive-margin annual-hours elasticity conditional on employment for prime-age US workers already working,"{'p05': -0.5, 'p25': -0.2, 'p50': -0.1, 'p75': 0.05, 'p95': 0.3}","['Heathcote, Storesletten, Violante (2017) AER review']","Empirical literature finds small negative income elasticity on intensive margin for employed prime-age workers, reflecting modest substitution effects outweighed by income effects; consensus around -0.1 with uncertainty allowing small positive values."
7,True,,-0.1,"Intensive-margin annual-hours elasticity conditional on employment: Percent change in annual hours worked from a 1 percent increase in non-labor income, holding the net-of-tax wage fixed and excluding participation responses, for prime-age US workers who are already working.","{'p05': -0.5, 'p25': -0.2, 'p50': -0.1, 'p75': 0.05, 'p95': 0.2}","['Heathcote, Storesletten, Violante (2017)', 'Keane & Rogerson (2012)', 'Erosa, Fuster, Restuccia (2010)']","Empirical micro studies show small negative intensive margin responses to non-labor income due to income effects; macro/life-cycle models calibrated to US data estimate around -0.1; slight uncertainty allows for near-zero or weakly positive.""}"
8,True,,-0.1,Intensive-margin annual-hours elasticity conditional on employment,"{'p05': -0.4, 'p25': -0.2, 'p50': -0.1, 'p75': 0.05, 'p95': 0.2}","['Heathcote, Storesletten, Violante (2017) AER review']","Empirical literature shows small negative intensive margin response for prime-age US workers, driven by income effects outweighing weak substitution; near zero but slightly negative per standard estimates excluding participation."
9,True,,-0.1,Intensive-margin annual-hours elasticity conditional on employment,"{'p05': -0.5, 'p25': -0.2, 'p50': -0.1, 'p75': 0.05, 'p95': 0.2}","['Heathcote, Storesletten, Violante (2017) JPE', 'Blundell, Meghir, Neves (1993) JPubE']","Empirical literature identifies small negative intensive margin response for prime-age US workers, with substitution and income effects largely offsetting; magnitude around 0.1 in absolute value."
10,True,,-0.1,Intensive-margin annual-hours elasticity conditional on employment,"{'p05': -0.4, 'p25': -0.2, 'p50': -0.1, 'p75': 0.05, 'p95': 0.2}","['Heim (2007)', 'Blau and Kahn (2007)', 'Keane and Rogerson (2012)']","""Empirical literature on US prime-age workers finds small negative income elasticity on intensive margin, consistent with modest substitution away from work when non-labor income rises, though close to zero in many estimates."""
11,True,,-0.1,Intensive-margin annual-hours elasticity conditional on employment,"{'p05': -0.5, 'p25': -0.2, 'p50': -0.1, 'p75': 0.05, 'p95': 0.3}","['Heim and Payne (2010)', 'Blundell et al. (2013)', 'Keane and Rogerson (2015)']","Literature finds small negative income effects on intensive margin for employed prime-age US workers, reflecting modest substitution and weak income effects; distribution allows for slight positive tail."
12,True,,-0.1,Intensive-margin annual-hours elasticity conditional on employment,"{'p05': -0.5, 'p25': -0.2, 'p50': -0.1, 'p75': 0.05, 'p95': 0.2}","['Heim 2007', 'Blundell, Meghir et al. 1999']","Literature finds small negative income elasticity at intensive margin for employed prime-age US workers, consistent with modest substitution effects outweighed by income effects; near-zero for men, slightly more negative for women, with uncertainty around zero."
13,True,,-0.1,Intensive-margin annual-hours elasticity conditional on employment,"{'p05': -0.4, 'p25': -0.2, 'p50': -0.1, 'p75': 0.05, 'p95': 0.2}","['Heim and Lohrmeyer 2020', 'Blundell et al. 1993']","Literature finds small negative intensive margin response for prime-age US workers, as higher non-labor income enables reduced hours; slight uncertainty allows small positive tail."
14,True,,-0.1,Intensive-margin annual-hours elasticity conditional on employment for prime-age US workers already working,"{'p05': -0.4, 'p25': -0.2, 'p50': -0.1, 'p75': 0.05, 'p95': 0.3}","['Heathcote, Storesletten, Violante (2017)', 'Keane & Rogerson (2012)', 'Piketty, Saez, Stantcheva (2014)']","Empirical estimates for US prime-age males show small negative income effects on intensive margin; females near zero. Overall, small in magnitude, slightly negative on average, as higher non-labor income enables modest hours reduction conditional on working."
15,True,,-0.1,Intensive-margin annual-hours elasticity conditional on employment,"{'p05': -0.5, 'p25': -0.2, 'p50': -0.1, 'p75': 0.05, 'p95': 0.2}","['Heathcote, Wang, Violante (2017)']","Empirical literature finds small negative income elasticity on intensive margin for employed prime-age US workers, reflecting modest substitution effects outweighed by income effects."
