provider,model_name,quantity_id,request_index,prompt_version,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_total_cost_usd,usage
openai_chat_completions,gpt-5.4-nano,household.intertemporal_elasticity_of_substitution,1,v2,8,chatcmpl-DRNT4Y4EliDZBkHqoOwhNPKzzBNFX,469,1907,2376,0,0,9.380000000000002e-05,0.0,0.00238375,0.0024775500000000002,"{""completion_tokens"": 1907, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 469, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2376}"
openai_chat_completions,gpt-5.4-nano,household.intertemporal_elasticity_of_substitution,2,v2,7,chatcmpl-DRNT7ZWJmtTHyxyjZApVwXXWjVwsV,469,1656,2125,0,0,9.380000000000002e-05,0.0,0.00207,0.0021638,"{""completion_tokens"": 1656, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 469, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2125}"
openai_chat_completions,gpt-5.4-nano,labor_supply.extensive_margin.single_mothers,3,v2,8,chatcmpl-DRNTA69oIFFycqgdq3KVTiylDtQar,461,1896,2357,0,0,9.22e-05,0.0,0.00237,0.0024622000000000003,"{""completion_tokens"": 1896, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 461, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2357}"
openai_chat_completions,gpt-5.4-nano,labor_supply.extensive_margin.single_mothers,4,v2,7,chatcmpl-DRNTCzxmIVISptR8qiIeWnANOse7e,461,1545,2006,0,0,9.22e-05,0.0,0.00193125,0.00202345,"{""completion_tokens"": 1545, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 461, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2006}"
openai_chat_completions,gpt-5.4-nano,labor_supply.frisch_elasticity.prime_age,5,v2,8,chatcmpl-DRNTHD0QUxP2IIKJJxPrqx2uUdy3a,471,2033,2504,0,0,9.42e-05,0.0,0.00254125,0.00263545,"{""completion_tokens"": 2033, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 471, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2504}"
openai_chat_completions,gpt-5.4-nano,labor_supply.frisch_elasticity.prime_age,6,v2,7,chatcmpl-DRNTK8ooB8wTK67mogHqOm9bHU7NN,471,1711,2182,0,0,9.42e-05,0.0,0.00213875,0.00223295,"{""completion_tokens"": 1711, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 471, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2182}"
openai_chat_completions,gpt-5.4-nano,labor_supply.income_elasticity.prime_age,7,v2,8,chatcmpl-DRNTMdgSq6qKB2vBoheYeynZMNDls,462,1988,2450,0,0,9.240000000000001e-05,0.0,0.002485,0.0025773999999999997,"{""completion_tokens"": 1988, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 462, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2450}"
openai_chat_completions,gpt-5.4-nano,labor_supply.income_elasticity.prime_age,8,v2,7,chatcmpl-DRNTPD1wPEhtAc4uRxNV9PlenKAAd,462,1597,2059,0,0,9.240000000000001e-05,0.0,0.00199625,0.00208865,"{""completion_tokens"": 1597, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 462, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2059}"
openai_chat_completions,gpt-5.4-nano,labor_supply.marshallian_wage_elasticity.prime_age,9,v2,8,chatcmpl-DRNTRQDpzFgrGmtDNr8KulRp5sTPQ,466,1818,2284,0,0,9.32e-05,0.0,0.0022725,0.0023657,"{""completion_tokens"": 1818, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 466, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2284}"
openai_chat_completions,gpt-5.4-nano,labor_supply.marshallian_wage_elasticity.prime_age,10,v2,7,chatcmpl-DRNTUTeviDG6dMb22PcBQQGFwEAYp,466,1569,2035,0,0,9.32e-05,0.0,0.00196125,0.0020544499999999998,"{""completion_tokens"": 1569, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 466, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2035}"
openai_chat_completions,gpt-5.4-nano,production.capital_labor_substitution,11,v2,8,chatcmpl-DRNTW1DHsG0cu6HEUDpF4x0icDisf,467,1852,2319,0,0,9.340000000000001e-05,0.0,0.002315,0.0024083999999999998,"{""completion_tokens"": 1852, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 467, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2319}"
openai_chat_completions,gpt-5.4-nano,production.capital_labor_substitution,12,v2,7,chatcmpl-DRNTYI7GWM78HeijJ5tsHY1x0rxNX,467,1578,2045,0,0,9.340000000000001e-05,0.0,0.0019725,0.0020659,"{""completion_tokens"": 1578, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 467, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2045}"
openai_chat_completions,gpt-5.4-nano,tax.elasticity_of_taxable_income.top_earners,13,v2,8,chatcmpl-DRNTb0WOn4MObUoF3KcPQEI6jPpLo,465,1873,2338,0,0,9.3e-05,0.0,0.00234125,0.00243425,"{""completion_tokens"": 1873, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 465, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2338}"
openai_chat_completions,gpt-5.4-nano,tax.elasticity_of_taxable_income.top_earners,14,v2,7,chatcmpl-DRNTeFJsQ982tkJNcg9Y0l9yyLm8Z,465,1637,2102,0,0,9.3e-05,0.0,0.00204625,0.00213925,"{""completion_tokens"": 1637, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 465, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2102}"
