provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,gemini-3.1-flash-lite-preview,trade.armington_elasticity.import_domestic,1,armington-clarify,none,1,Mg_VabW0BJ7F1MkPs5azuQU,446,233,679,,,,,,,0.000461,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 233, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 233, ""video_tokens"": null}, ""litellm_cost_usd"": 0.000461, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 679}"
litellm_completion,gemini-3.1-flash-lite-preview,trade.armington_elasticity.import_domestic,2,armington-clarify,none,1,NA_VaZilDtWj1MkPrpv00Qo,446,214,660,,,,,,,0.0004325,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 214, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 214, ""video_tokens"": null}, ""litellm_cost_usd"": 0.0004325, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 660}"
litellm_completion,gemini-3.1-flash-lite-preview,trade.armington_elasticity.import_domestic,3,armington-clarify,none,1,OA_VacqsGY2d1MkPuMaQ0Qc,446,230,676,,,,,,,0.0004565,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 230, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 230, ""video_tokens"": null}, ""litellm_cost_usd"": 0.0004565, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 676}"
litellm_completion,gemini-3.1-flash-lite-preview,trade.armington_elasticity.import_domestic,4,armington-clarify,none,1,PA_VafP9EJaj1MkPz8yd6Qo,446,231,677,,,,,,,0.000458,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 231, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 231, ""video_tokens"": null}, ""litellm_cost_usd"": 0.000458, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 677}"
litellm_completion,gemini-3.1-flash-lite-preview,trade.armington_elasticity.import_domestic,5,armington-clarify,none,1,QA_VaeKLH--d1MkP-bDYmQ4,446,252,698,,,,,,,0.0004895,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 252, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 252, ""video_tokens"": null}, ""litellm_cost_usd"": 0.0004895, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 698}"
litellm_completion,gemini-3.1-flash-lite-preview,trade.armington_elasticity.import_domestic,6,armington-clarify,none,1,Qw_VaeLFIbyd1MkPrrffqA8,446,224,670,,,,,,,0.00044750000000000004,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 224, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 224, ""video_tokens"": null}, ""litellm_cost_usd"": 0.00044750000000000004, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 670}"
litellm_completion,gemini-3.1-flash-lite-preview,trade.armington_elasticity.import_domestic,7,armington-clarify,none,1,SA_Vad6JK5-p1MkP-o2hgAs,446,226,672,,,,,,,0.0004505,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 226, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 226, ""video_tokens"": null}, ""litellm_cost_usd"": 0.0004505, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 672}"
litellm_completion,gemini-3.1-flash-lite-preview,trade.armington_elasticity.import_domestic,8,armington-clarify,none,1,TA_VafSbILCt1MkPw5iwWA,446,255,701,,,,,,,0.0004940000000000001,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 255, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 255, ""video_tokens"": null}, ""litellm_cost_usd"": 0.0004940000000000001, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 701}"
litellm_completion,gemini-3.1-flash-lite-preview,trade.armington_elasticity.import_domestic,9,armington-clarify,none,1,Tw_VacHiN8ih1MkPiK6hIA,446,228,674,,,,,,,0.0004535,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 228, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 228, ""video_tokens"": null}, ""litellm_cost_usd"": 0.0004535, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 674}"
litellm_completion,gemini-3.1-flash-lite-preview,trade.armington_elasticity.import_domestic,10,armington-clarify,none,1,Vg_Vad_TNIjG1MkP8fqg6Ak,446,254,700,,,,,,,0.0004925,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 254, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 254, ""video_tokens"": null}, ""litellm_cost_usd"": 0.0004925, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 700}"
