provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,gemini-3-flash-preview,trade.armington_elasticity.import_domestic,1,armington-clarify,none,1,zA7VadLNI8Ha_uMP1vWL4AY,446,865,1311,,617,,,,,0.002818,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 865, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 617, ""rejected_prediction_tokens"": null, ""text_tokens"": 248, ""video_tokens"": null}, ""litellm_cost_usd"": 0.002818, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1311}"
litellm_completion,gemini-3-flash-preview,trade.armington_elasticity.import_domestic,2,armington-clarify,none,1,0g7VabqgGIqY_uMPyrrEkAw,446,945,1391,,687,,,,,0.003058,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 945, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 687, ""rejected_prediction_tokens"": null, ""text_tokens"": 258, ""video_tokens"": null}, ""litellm_cost_usd"": 0.003058, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1391}"
litellm_completion,gemini-3-flash-preview,trade.armington_elasticity.import_domestic,3,armington-clarify,none,1,2Q7VaaN5u9TUyQ-QzqfADw,446,1184,1630,,1148,,,,,0.003775,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1184, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1148, ""rejected_prediction_tokens"": null, ""text_tokens"": 36, ""video_tokens"": null}, ""litellm_cost_usd"": 0.003775, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1630}"
litellm_completion,gemini-3-flash-preview,trade.armington_elasticity.import_domestic,4,armington-clarify,none,1,3w7VafShO7zR1MkPrvaLwQ4,446,1182,1628,,936,,,,,0.003769,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1182, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 936, ""rejected_prediction_tokens"": null, ""text_tokens"": 246, ""video_tokens"": null}, ""litellm_cost_usd"": 0.003769, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1628}"
litellm_completion,gemini-3-flash-preview,trade.armington_elasticity.import_domestic,5,armington-clarify,none,1,5g7VaejJBpiZ9MoP0uyYiQ8,446,949,1395,,693,,,,,0.0030700000000000002,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 949, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 693, ""rejected_prediction_tokens"": null, ""text_tokens"": 256, ""video_tokens"": null}, ""litellm_cost_usd"": 0.0030700000000000002, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1395}"
litellm_completion,gemini-3-flash-preview,trade.armington_elasticity.import_domestic,6,armington-clarify,none,1,7A7VaYSbC-if1MkProyymAY,446,982,1428,,744,,,,,0.003169,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 982, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 744, ""rejected_prediction_tokens"": null, ""text_tokens"": 238, ""video_tokens"": null}, ""litellm_cost_usd"": 0.003169, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1428}"
litellm_completion,gemini-3-flash-preview,trade.armington_elasticity.import_domestic,7,armington-clarify,none,1,9A7Vae75Kv2B1MkP6MDziAo,446,929,1375,,672,,,,,0.00301,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 929, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 672, ""rejected_prediction_tokens"": null, ""text_tokens"": 257, ""video_tokens"": null}, ""litellm_cost_usd"": 0.00301, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1375}"
litellm_completion,gemini-3-flash-preview,trade.armington_elasticity.import_domestic,8,armington-clarify,none,1,_A7VafeYHYey1MkPk8COoAY,446,1186,1632,,1150,,,,,0.003781,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1186, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1150, ""rejected_prediction_tokens"": null, ""text_tokens"": 36, ""video_tokens"": null}, ""litellm_cost_usd"": 0.003781, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1632}"
litellm_completion,gemini-3-flash-preview,trade.armington_elasticity.import_domestic,9,armington-clarify,none,1,BA_VabjCD63D1MkPr-TioAE,446,1139,1585,,889,,,,,0.00364,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1139, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 889, ""rejected_prediction_tokens"": null, ""text_tokens"": 250, ""video_tokens"": null}, ""litellm_cost_usd"": 0.00364, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1585}"
litellm_completion,gemini-3-flash-preview,trade.armington_elasticity.import_domestic,10,armington-clarify,none,1,Cw_VabeNHp6l1MkP1YLZkQw,446,1185,1631,,1148,,,,,0.003778,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 1185, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 1148, ""rejected_prediction_tokens"": null, ""text_tokens"": 37, ""video_tokens"": null}, ""litellm_cost_usd"": 0.003778, ""prompt_tokens"": 446, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 446, ""video_tokens"": null}, ""total_tokens"": 1631}"
