provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,1,v3,none,1,chatcmpl-be693f9f-2331-4eda-be08-27a84c1e1147,1221,399,1620,0,,,,,,0.003216,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 399, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.003216, ""prompt_tokens"": 1221, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1620}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,2,v3,none,1,chatcmpl-b7f78897-7bd5-4461-b1ab-cafb2476bf7c,1221,369,1590,0,,,,,,0.003066,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 369, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.003066, ""prompt_tokens"": 1221, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1590}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,3,v3,none,1,chatcmpl-34054e5b-6f62-441d-b1d2-e3576674e62e,1221,339,1560,0,,,,,,0.002916,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 339, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.002916, ""prompt_tokens"": 1221, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1560}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,4,v3,none,1,chatcmpl-c7123345-600f-4f2d-a78c-b933bcdabe74,1221,365,1586,0,,,,,,0.003046,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 365, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.003046, ""prompt_tokens"": 1221, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1586}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,5,v3,none,1,chatcmpl-34dcc7e3-914a-4dcd-a9d8-e6f01b2f7184,1221,428,1649,0,,,,,,0.003361,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 428, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.003361, ""prompt_tokens"": 1221, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1649}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,6,v3,none,1,chatcmpl-51d909f7-bdc2-42e9-9fc8-f4240a8a8532,1221,338,1559,0,,,,,,0.002911,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 338, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.002911, ""prompt_tokens"": 1221, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1559}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,7,v3,none,1,chatcmpl-45f6a47d-cfc0-43cd-ad3f-b35277d4038a,1221,401,1622,0,,,,,,0.003226,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 401, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.003226, ""prompt_tokens"": 1221, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1622}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,8,v3,none,1,chatcmpl-056f91c2-9672-4847-bc5c-c8065fa60bdd,1221,398,1619,0,,,,,,0.003211,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 398, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.003211, ""prompt_tokens"": 1221, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1619}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,9,v3,none,1,chatcmpl-846c8211-476c-4090-bdcd-58c26e04db61,1221,409,1630,0,,,,,,0.0032660000000000002,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 409, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.0032660000000000002, ""prompt_tokens"": 1221, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1630}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,10,v3,none,1,chatcmpl-ca3a78d1-600d-4f8e-808c-36adaa23ffab,1221,380,1601,0,,,,,,0.003121,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 380, ""completion_tokens_details"": null, ""litellm_cost_usd"": 0.003121, ""prompt_tokens"": 1221, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""total_tokens"": 1601}"
