provider,model_name,quantity_id,request_index,prompt_version,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_total_cost_usd,usage
openai_chat_completions,gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,1,v2,8,chatcmpl-DRNT4pCMmNGHLBp2sMlkO1lV2uEup,469,1532,2001,0,0,0.00035175,0.0,0.006894,0.00724575,"{""completion_tokens"": 1532, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 469, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2001}"
openai_chat_completions,gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,2,v2,7,chatcmpl-DRNT6qtPNMmeiSeaDLLN2F6PzOVb5,469,1387,1856,0,0,0.00035175,0.0,0.0062415,0.006593249999999999,"{""completion_tokens"": 1387, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 469, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1856}"
openai_chat_completions,gpt-5.4-mini,labor_supply.extensive_margin.single_mothers,3,v2,8,chatcmpl-DRNT9g1gxZj6tRuB9D4SwStkFUPd6,461,1486,1947,0,0,0.00034575,0.0,0.006687,0.00703275,"{""completion_tokens"": 1486, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 461, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1947}"
openai_chat_completions,gpt-5.4-mini,labor_supply.extensive_margin.single_mothers,4,v2,7,chatcmpl-DRNTBvo2q7Oox13veE70IwV3emyr2,461,1278,1739,0,0,0.00034575,0.0,0.005751,0.00609675,"{""completion_tokens"": 1278, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 461, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1739}"
openai_chat_completions,gpt-5.4-mini,labor_supply.frisch_elasticity.prime_age,5,v2,8,chatcmpl-DRNTE21TUnzDBRTvhpwjZPVrmTcIA,471,1524,1995,0,0,0.00035325,0.0,0.006858,0.007211250000000001,"{""completion_tokens"": 1524, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 471, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1995}"
openai_chat_completions,gpt-5.4-mini,labor_supply.frisch_elasticity.prime_age,6,v2,7,chatcmpl-DRNTGx3nOoYgxEMpuf3KDgULA53qt,471,1384,1855,0,0,0.00035325,0.0,0.006228,0.00658125,"{""completion_tokens"": 1384, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 471, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1855}"
openai_chat_completions,gpt-5.4-mini,labor_supply.income_elasticity.prime_age,7,v2,8,chatcmpl-DRNTIl6TvAlA1A79Sqm8pmTFghC3k,462,1673,2135,0,0,0.0003465,0.0,0.0075285,0.007875,"{""completion_tokens"": 1673, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 462, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2135}"
openai_chat_completions,gpt-5.4-mini,labor_supply.income_elasticity.prime_age,8,v2,7,chatcmpl-DRNTLP1w22Sb4aYGNw1XmIW5AwSkS,462,1370,1832,0,0,0.0003465,0.0,0.006165,0.0065115,"{""completion_tokens"": 1370, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 462, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1832}"
openai_chat_completions,gpt-5.4-mini,labor_supply.marshallian_wage_elasticity.prime_age,9,v2,8,chatcmpl-DRNTNsTTrjUNtAiYNffC8XUKc8y4M,466,1602,2068,0,0,0.0003495,0.0,0.007209,0.0075585,"{""completion_tokens"": 1602, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 466, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2068}"
openai_chat_completions,gpt-5.4-mini,labor_supply.marshallian_wage_elasticity.prime_age,10,v2,7,chatcmpl-DRNTPQDaSX2dhVOLcAIAz53dGIBVS,466,1271,1737,0,0,0.0003495,0.0,0.0057195,0.006069,"{""completion_tokens"": 1271, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 466, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1737}"
