provider,model_name,quantity_id,request_index,prompt_version,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_total_cost_usd,usage
openai_chat_completions,gpt-5.4,household.intertemporal_elasticity_of_substitution,1,v1,8,chatcmpl-DRJpNo5sKIbjvMlHmkyY7BKJE6oWN,516,2051,2567,0,0,0.00129,0.0,0.030765,0.032055,"{""completion_tokens"": 2051, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 516, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2567}"
openai_chat_completions,gpt-5.4,household.intertemporal_elasticity_of_substitution,2,v1,7,chatcmpl-DRJpVkIFoeNyzGxwgATOWGPCXLPCo,516,1819,2335,0,0,0.00129,0.0,0.027285,0.028575,"{""completion_tokens"": 1819, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 516, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2335}"
openai_chat_completions,gpt-5.4,labor_supply.income_elasticity.prime_age,3,v1,8,chatcmpl-DRJpchA6AfvEBlESi7ZXhVPnpTsDv,509,2025,2534,0,0,0.0012725,0.0,0.030375,0.0316475,"{""completion_tokens"": 2025, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 509, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2534}"
openai_chat_completions,gpt-5.4,labor_supply.income_elasticity.prime_age,4,v1,7,chatcmpl-DRJpi3RDscihH3RKQzR9uPO1yfKwg,509,1838,2347,0,0,0.0012725,0.0,0.02757,0.0288425,"{""completion_tokens"": 1838, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 509, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2347}"
openai_chat_completions,gpt-5.4,labor_supply.marshallian_wage_elasticity.prime_age,5,v1,8,chatcmpl-DRJpoGJs2E5ctMkGu4Pi0CcoVRdsa,519,2062,2581,0,0,0.0012975,0.0,0.03093,0.0322275,"{""completion_tokens"": 2062, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 519, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2581}"
openai_chat_completions,gpt-5.4,labor_supply.marshallian_wage_elasticity.prime_age,6,v1,7,chatcmpl-DRJpyUhjischLBOVu1fdulsaPEGZI,519,1794,2313,0,0,0.0012975,0.0,0.02691,0.0282075,"{""completion_tokens"": 1794, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 519, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2313}"
openai_chat_completions,gpt-5.4,production.capital_labor_substitution,7,v1,8,chatcmpl-DRJq5n8kb6SxuRuvB5I7FdQ59DOGT,507,2006,2513,0,0,0.0012675,0.0,0.03009,0.031357499999999996,"{""completion_tokens"": 2006, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 507, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2513}"
openai_chat_completions,gpt-5.4,production.capital_labor_substitution,8,v1,7,chatcmpl-DRJqCMzaUNqtJ9ODTjuY6Kw5mlcBo,507,1675,2182,0,0,0.0012675,0.0,0.025125,0.026392500000000003,"{""completion_tokens"": 1675, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 507, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2182}"
openai_chat_completions,gpt-5.4,tax.elasticity_of_taxable_income.top_earners,9,v1,8,chatcmpl-DRJqJGFPcGU8jo60M4ZxmrwNtfRrB,510,1962,2472,0,0,0.001275,0.0,0.02943,0.030705000000000003,"{""completion_tokens"": 1962, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 510, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2472}"
openai_chat_completions,gpt-5.4,tax.elasticity_of_taxable_income.top_earners,10,v1,7,chatcmpl-DRJqQcBsDBAd5x2nSvajgtstTn7MR,510,1704,2214,0,0,0.001275,0.0,0.02556,0.026834999999999998,"{""completion_tokens"": 1704, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 510, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2214}"
