provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,1,ies-clarify,none,1,cc870fa1-2f48-93ac-ae22-3961aea61534,804,137,2869,768,1928,,,,,0.0126156,,,,[],[],"{""completion_tokens"": 137, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1928, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 126156000, ""litellm_cost_usd"": 0.0126156, ""num_sources_used"": 0, ""prompt_tokens"": 804, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 768, ""image_tokens"": 0, ""text_tokens"": 804, ""video_tokens"": null}, ""total_tokens"": 2869}"
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,2,ies-clarify,none,1,7a9c019b-a380-9eef-8ccb-971768218493,804,139,4093,768,3150,,,,,0.0199596,,,,[],[],"{""completion_tokens"": 139, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 3150, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 199596000, ""litellm_cost_usd"": 0.0199596, ""num_sources_used"": 0, ""prompt_tokens"": 804, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 768, ""image_tokens"": 0, ""text_tokens"": 804, ""video_tokens"": null}, ""total_tokens"": 4093}"
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,3,ies-clarify,none,1,d919cf5f-b9b5-93c5-959f-ae8b89c8231c,804,144,3199,64,2251,,,,,0.0158628,,,,[],[],"{""completion_tokens"": 144, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 2251, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 158628000, ""litellm_cost_usd"": 0.0158628, ""num_sources_used"": 0, ""prompt_tokens"": 804, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 64, ""image_tokens"": 0, ""text_tokens"": 804, ""video_tokens"": null}, ""total_tokens"": 3199}"
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,4,ies-clarify,none,1,14afe2c5-df1a-9af9-8749-109914a0594d,804,165,2833,768,1864,,,,,0.0123996,,,,[],[],"{""completion_tokens"": 165, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1864, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 123996000, ""litellm_cost_usd"": 0.0123996, ""num_sources_used"": 0, ""prompt_tokens"": 804, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 768, ""image_tokens"": 0, ""text_tokens"": 804, ""video_tokens"": null}, ""total_tokens"": 2833}"
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,5,ies-clarify,none,1,e4a5db0f-003f-96dd-a979-8a742839a8e5,804,183,2747,768,1760,,,,,0.0118836,,,,[],[],"{""completion_tokens"": 183, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1760, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 118836000, ""litellm_cost_usd"": 0.0118836, ""num_sources_used"": 0, ""prompt_tokens"": 804, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 768, ""image_tokens"": 0, ""text_tokens"": 804, ""video_tokens"": null}, ""total_tokens"": 2747}"
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,6,ies-clarify,none,1,2d2672f0-4d63-9239-9ebd-f9bf901f1a57,804,138,2459,768,1517,,,,,0.0101556,,,,[],[],"{""completion_tokens"": 138, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1517, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 101556000, ""litellm_cost_usd"": 0.0101556, ""num_sources_used"": 0, ""prompt_tokens"": 804, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 768, ""image_tokens"": 0, ""text_tokens"": 804, ""video_tokens"": null}, ""total_tokens"": 2459}"
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,7,ies-clarify,none,1,249c6572-6d15-9180-a4f9-7af99c61f8ba,804,126,2382,768,1452,,,,,0.0096936,,,,[],[],"{""completion_tokens"": 126, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1452, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 96936000, ""litellm_cost_usd"": 0.0096936, ""num_sources_used"": 0, ""prompt_tokens"": 804, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 768, ""image_tokens"": 0, ""text_tokens"": 804, ""video_tokens"": null}, ""total_tokens"": 2382}"
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,8,ies-clarify,none,1,d2506c57-62d6-95fc-b952-69c8200f6afb,804,134,2680,768,1742,,,,,0.0114816,,,,[],[],"{""completion_tokens"": 134, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1742, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 114816000, ""litellm_cost_usd"": 0.0114816, ""num_sources_used"": 0, ""prompt_tokens"": 804, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 768, ""image_tokens"": 0, ""text_tokens"": 804, ""video_tokens"": null}, ""total_tokens"": 2680}"
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,9,ies-clarify,none,1,4a3f71f6-dda6-9e59-9995-99e5892aea90,804,181,2815,768,1830,,,,,0.0122916,,,,[],[],"{""completion_tokens"": 181, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1830, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 122916000, ""litellm_cost_usd"": 0.0122916, ""num_sources_used"": 0, ""prompt_tokens"": 804, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 768, ""image_tokens"": 0, ""text_tokens"": 804, ""video_tokens"": null}, ""total_tokens"": 2815}"
litellm_completion,grok-4.20,household.intertemporal_elasticity_of_substitution,10,ies-clarify,none,1,fea953b7-95de-92dc-b497-3f5fba68b109,804,153,2151,768,1194,,,,,0.0083076,,,,[],[],"{""completion_tokens"": 153, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1194, ""rejected_prediction_tokens"": 0, ""text_tokens"": null, ""video_tokens"": null}, ""cost_in_usd_ticks"": 83076000, ""litellm_cost_usd"": 0.0083076, ""num_sources_used"": 0, ""prompt_tokens"": 804, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 768, ""image_tokens"": 0, ""text_tokens"": 804, ""video_tokens"": null}, ""total_tokens"": 2151}"
