provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,1,ies-clarify,none,1,chatcmpl-22ac9bbd-2460-41b0-a6a4-ff11f78b3e51,1338,388,1726,0,0,,,,,0.003278,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 388, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 388}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.003278, ""prompt_tokens"": 1338, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1726}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,2,ies-clarify,none,1,chatcmpl-b86bd643-9bf1-4dd3-95e7-2f398c6660e6,1338,401,1739,0,0,,,,,0.0033430000000000005,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 401, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 401}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.0033430000000000005, ""prompt_tokens"": 1338, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1739}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,3,ies-clarify,none,1,chatcmpl-a948d996-51df-4756-a109-79685aa88464,1338,428,1766,0,0,,,,,0.003478,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 428, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 428}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.003478, ""prompt_tokens"": 1338, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1766}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,4,ies-clarify,none,1,chatcmpl-3e70a7ee-e084-43ff-913b-c0cf12a20d89,1338,415,1753,0,0,,,,,0.0034130000000000002,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 415, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 415}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.0034130000000000002, ""prompt_tokens"": 1338, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1753}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,5,ies-clarify,none,1,chatcmpl-3ceca148-cfb3-47c5-abb7-439ea5669b0d,1338,435,1773,0,0,,,,,0.0035130000000000005,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 435, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 435}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.0035130000000000005, ""prompt_tokens"": 1338, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1773}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,6,ies-clarify,none,1,chatcmpl-d814e6df-ec95-4da7-8831-2d82c5dc0fc1,1338,427,1765,0,0,,,,,0.0034730000000000004,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 427, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 427}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.0034730000000000004, ""prompt_tokens"": 1338, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1765}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,7,ies-clarify,none,1,chatcmpl-9c1c0928-9ec7-4ab1-be36-792553036203,1338,376,1714,0,0,,,,,0.0032180000000000004,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 376, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 376}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.0032180000000000004, ""prompt_tokens"": 1338, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1714}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,8,ies-clarify,none,1,chatcmpl-57488697-1492-4be6-a625-aae6c74a1943,1338,431,1769,0,0,,,,,0.0034930000000000004,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 431, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 431}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.0034930000000000004, ""prompt_tokens"": 1338, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1769}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,9,ies-clarify,none,1,chatcmpl-3f826b1b-f7a8-4118-bbf3-60632c1f4cb2,1338,495,1833,0,0,,,,,0.0038130000000000004,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 495, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 495}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.0038130000000000004, ""prompt_tokens"": 1338, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1833}"
litellm_completion,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,10,ies-clarify,none,1,chatcmpl-8322dcec-f17d-4773-a17d-8e9791bf40b0,1338,374,1712,0,0,,,,,0.003208,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 374, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 374}, ""inference_geo"": ""not_available"", ""litellm_cost_usd"": 0.003208, ""prompt_tokens"": 1338, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null}, ""speed"": null, ""total_tokens"": 1712}"
