provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,1,ies-clarify,none,1,pR3VafqJGfWi1MkPvcvE-Q4,486,278,764,,,,,,,0.0005385,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 278, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 278, ""video_tokens"": null}, ""litellm_cost_usd"": 0.0005385, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 764}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,2,ies-clarify,none,1,qh3VadneCq-a1MkPouDikQ0,486,247,733,,,,,,,0.000492,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 247, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 247, ""video_tokens"": null}, ""litellm_cost_usd"": 0.000492, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 733}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,3,ies-clarify,none,1,sB3VabW1IfGi1MkPu7vmqAU,486,230,716,,,,,,,0.0004665,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 230, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 230, ""video_tokens"": null}, ""litellm_cost_usd"": 0.0004665, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 716}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,4,ies-clarify,none,1,th3VadqLJ56l1MkP1YLZkQw,486,234,720,,,,,,,0.00047250000000000005,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 234, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 234, ""video_tokens"": null}, ""litellm_cost_usd"": 0.00047250000000000005, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 720}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,5,ies-clarify,none,1,vB3VaebNLpiZ9MoP0uyYiQ8,486,272,758,,,,,,,0.0005295,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 272, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 272, ""video_tokens"": null}, ""litellm_cost_usd"": 0.0005295, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 758}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,6,ies-clarify,none,1,wx3VaYn-N-il1MkP8bS8uAg,486,255,741,,,,,,,0.000504,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 255, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 255, ""video_tokens"": null}, ""litellm_cost_usd"": 0.000504, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 741}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,7,ies-clarify,none,1,yh3VafW8Kaen1MkPv4KawQQ,486,226,712,,,,,,,0.00046049999999999997,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 226, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 226, ""video_tokens"": null}, ""litellm_cost_usd"": 0.00046049999999999997, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 712}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,8,ies-clarify,none,1,0B3VaYvzJ4Ck1MkPlLmpgQo,486,219,705,,,,,,,0.00045,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 219, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 219, ""video_tokens"": null}, ""litellm_cost_usd"": 0.00045, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 705}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,9,ies-clarify,none,1,1h3VafW0NLGk1MkPi73CyQo,486,244,730,,,,,,,0.0004875,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 244, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 244, ""video_tokens"": null}, ""litellm_cost_usd"": 0.0004875, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 730}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,10,ies-clarify,none,1,3R3VaaX-Lve41MkP0ce2gAQ,486,261,747,,,,,,,0.000513,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 261, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 261, ""video_tokens"": null}, ""litellm_cost_usd"": 0.000513, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 747}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,11,ies-clarify,none,1,4x3VaYj4JtOt1MkPwe2S4Qo,486,266,752,,,,,,,0.0005205,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 266, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 266, ""video_tokens"": null}, ""litellm_cost_usd"": 0.0005205, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 752}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,12,ies-clarify,none,1,6x3VacOxCO-d1MkP-bDYmQ4,486,252,738,,,,,,,0.0004995,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 252, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 252, ""video_tokens"": null}, ""litellm_cost_usd"": 0.0004995, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 738}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,13,ies-clarify,none,1,8R3VaZLWN7vU1MkPkM6nwA8,486,248,734,,,,,,,0.0004935,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 248, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 248, ""video_tokens"": null}, ""litellm_cost_usd"": 0.0004935, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 734}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,14,ies-clarify,none,1,9h3VacWiJJCs1MkP6O3OyQc,486,282,768,,,,,,,0.0005445000000000001,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 282, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 282, ""video_tokens"": null}, ""litellm_cost_usd"": 0.0005445000000000001, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 768}"
litellm_completion,gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,15,ies-clarify,none,1,-x3VaaXFL8Gy1MkP2afYyQM,486,253,739,,,,,,,0.000501,,,,[],[],"{""cache_read_input_tokens"": null, ""completion_tokens"": 253, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": null, ""rejected_prediction_tokens"": null, ""text_tokens"": 253, ""video_tokens"": null}, ""litellm_cost_usd"": 0.000501, ""prompt_tokens"": 486, ""prompt_tokens_details"": {""audio_tokens"": null, ""cached_tokens"": null, ""image_tokens"": null, ""text_tokens"": 486, ""video_tokens"": null}, ""total_tokens"": 739}"
