provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,inkling,household.annual_discount_factor,1,v4,none,1,gen-1786130751-kzYyJyWlioaoGY2n9eM3,327,2336,2663,256,1791,,,,,,,,,[],[],"{""completion_tokens"": 2336, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 1791, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00956921, ""cost_details"": {""upstream_inference_completions_cost"": 0.0094608, ""upstream_inference_cost"": 0.00956921, ""upstream_inference_prompt_cost"": 0.00010841}, ""is_byok"": false, ""prompt_tokens"": 327, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 256, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 2663}"
litellm_completion,inkling,household.annual_discount_factor,2,v4,none,1,gen-1786130751-0Rn4QxpTC47SIpq67voU,327,1114,1441,0,786,,,,,,,,,[],[],"{""completion_tokens"": 1114, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 786, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00482235, ""cost_details"": {""upstream_inference_completions_cost"": 0.0045117, ""upstream_inference_cost"": 0.00482235, ""upstream_inference_prompt_cost"": 0.00031065}, ""is_byok"": false, ""prompt_tokens"": 327, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 1441}"
litellm_completion,inkling,household.annual_discount_factor,3,v4,none,1,gen-1786130751-mcPnqHczLmt81zNfZo1w,327,2198,2525,256,1748,,,,,,,,,[],[],"{""completion_tokens"": 2198, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 1748, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00901031, ""cost_details"": {""upstream_inference_completions_cost"": 0.0089019, ""upstream_inference_cost"": 0.00901031, ""upstream_inference_prompt_cost"": 0.00010841}, ""is_byok"": false, ""prompt_tokens"": 327, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 256, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 2525}"
litellm_completion,inkling,household.annual_discount_factor,4,v4,none,1,gen-1786130751-3gt0VI5nHevWiHa7SCvf,327,1334,1661,256,950,,,,,,,,,[],[],"{""completion_tokens"": 1334, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 950, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00551111, ""cost_details"": {""upstream_inference_completions_cost"": 0.0054027, ""upstream_inference_cost"": 0.00551111, ""upstream_inference_prompt_cost"": 0.00010841}, ""is_byok"": false, ""prompt_tokens"": 327, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 256, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 1661}"
litellm_completion,inkling,household.annual_discount_factor,5,v4,none,1,gen-1786130751-vMST6Y2kDGa5tzP3mVFD,327,2020,2347,256,1571,,,,,,,,,[],[],"{""completion_tokens"": 2020, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 1571, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00828941, ""cost_details"": {""upstream_inference_completions_cost"": 0.008181, ""upstream_inference_cost"": 0.00828941, ""upstream_inference_prompt_cost"": 0.00010841}, ""is_byok"": false, ""prompt_tokens"": 327, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 256, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 2347}"
litellm_completion,inkling,household.annual_discount_factor,6,v4,none,1,gen-1786130783-1CXyxyGzNlhGd8TSsvpE,327,860,1187,256,574,,,,,,,,,[],[],"{""completion_tokens"": 860, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 574, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00359141, ""cost_details"": {""upstream_inference_completions_cost"": 0.003483, ""upstream_inference_cost"": 0.00359141, ""upstream_inference_prompt_cost"": 0.00010841}, ""is_byok"": false, ""prompt_tokens"": 327, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 256, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 1187}"
litellm_completion,inkling,household.annual_discount_factor,7,v4,none,1,gen-1786130788-nskAgpCPRIQivPXSBbiV,327,483,810,256,408,,,,,,,,,[],[],"{""completion_tokens"": 483, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 408, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00206456, ""cost_details"": {""upstream_inference_completions_cost"": 0.00195615, ""upstream_inference_cost"": 0.00206456, ""upstream_inference_prompt_cost"": 0.00010841}, ""is_byok"": false, ""prompt_tokens"": 327, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 256, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 810}"
litellm_completion,inkling,household.annual_discount_factor,8,v4,none,1,gen-1786130799-v3o87zF1cAoPziSa3GI9,327,1011,1338,256,670,,,,,,,,,[],[],"{""completion_tokens"": 1011, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 670, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00420296, ""cost_details"": {""upstream_inference_completions_cost"": 0.00409455, ""upstream_inference_cost"": 0.00420296, ""upstream_inference_prompt_cost"": 0.00010841}, ""is_byok"": false, ""prompt_tokens"": 327, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 256, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 1338}"
litellm_completion,inkling,household.annual_discount_factor,9,v4,none,1,gen-1786130801-UnRbyCqQL0HJVuKfJ4zZ,327,1156,1483,256,795,,,,,,,,,[],[],"{""completion_tokens"": 1156, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 795, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00479021, ""cost_details"": {""upstream_inference_completions_cost"": 0.0046818, ""upstream_inference_cost"": 0.00479021, ""upstream_inference_prompt_cost"": 0.00010841}, ""is_byok"": false, ""prompt_tokens"": 327, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 256, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 1483}"
litellm_completion,inkling,household.annual_discount_factor,10,v4,none,1,gen-1786130800-eziP943uQ62yXRnYeL5e,327,1661,1988,256,1196,,,,,,,,,[],[],"{""completion_tokens"": 1661, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 1196, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00683546, ""cost_details"": {""upstream_inference_completions_cost"": 0.00672705, ""upstream_inference_cost"": 0.00683546, ""upstream_inference_prompt_cost"": 0.00010841}, ""is_byok"": false, ""prompt_tokens"": 327, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 256, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 1988}"
litellm_completion,inkling,household.annual_discount_factor,11,v4,none,1,gen-1786130805-Ye6vpGRhvtamjf8PkgfX,327,1629,1956,256,1234,,,,,,,,,[],[],"{""completion_tokens"": 1629, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 1234, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00670586, ""cost_details"": {""upstream_inference_completions_cost"": 0.00659745, ""upstream_inference_cost"": 0.00670586, ""upstream_inference_prompt_cost"": 0.00010841}, ""is_byok"": false, ""prompt_tokens"": 327, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 256, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 1956}"
litellm_completion,inkling,household.annual_discount_factor,12,v4,none,1,gen-1786130806-rJrfNZJyQ6E1dSJl9EFI,327,1889,2216,256,1538,,,,,,,,,[],[],"{""completion_tokens"": 1889, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 1538, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00775886, ""cost_details"": {""upstream_inference_completions_cost"": 0.00765045, ""upstream_inference_cost"": 0.00775886, ""upstream_inference_prompt_cost"": 0.00010841}, ""is_byok"": false, ""prompt_tokens"": 327, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 256, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 2216}"
