provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,inkling,household.intertemporal_elasticity_of_substitution,1,ies-clarify,none,1,gen-1786124479-lEcWu6IxIFfxf1xUebPc,461,3259,3720,0,2763,,,,,,,,,[],[],"{""completion_tokens"": 3259, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 2763, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.0136369, ""cost_details"": {""upstream_inference_completions_cost"": 0.01319895, ""upstream_inference_cost"": 0.0136369, ""upstream_inference_prompt_cost"": 0.00043795}, ""is_byok"": false, ""prompt_tokens"": 461, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 3720}"
litellm_completion,inkling,household.intertemporal_elasticity_of_substitution,2,ies-clarify,none,1,gen-1786124517-b12c5NHn8Jgw1oOHJBPT,461,2666,3127,384,2123,,,,,,,,,[],[],"{""completion_tokens"": 2666, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 2123, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.01093189, ""cost_details"": {""upstream_inference_completions_cost"": 0.0107973, ""upstream_inference_cost"": 0.01093189, ""upstream_inference_prompt_cost"": 0.00013459}, ""is_byok"": false, ""prompt_tokens"": 461, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 384, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 3127}"
litellm_completion,inkling,household.intertemporal_elasticity_of_substitution,3,ies-clarify,none,1,gen-1786124549-1QTC1po9ISlPnJbZ7Mho,461,1999,2460,384,1833,,,,,,,,,[],[],"{""completion_tokens"": 1999, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 1833, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00823054, ""cost_details"": {""upstream_inference_completions_cost"": 0.00809595, ""upstream_inference_cost"": 0.00823054, ""upstream_inference_prompt_cost"": 0.00013459}, ""is_byok"": false, ""prompt_tokens"": 461, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 384, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 2460}"
litellm_completion,inkling,household.intertemporal_elasticity_of_substitution,4,ies-clarify,none,1,gen-1786124572-PRnJNOHMoCAWq4rK66HP,461,3682,4143,384,3122,,,,,,,,,[],[],"{""completion_tokens"": 3682, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 3122, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.01504669, ""cost_details"": {""upstream_inference_completions_cost"": 0.0149121, ""upstream_inference_cost"": 0.01504669, ""upstream_inference_prompt_cost"": 0.00013459}, ""is_byok"": false, ""prompt_tokens"": 461, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 384, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 4143}"
litellm_completion,inkling,household.intertemporal_elasticity_of_substitution,5,ies-clarify,none,1,gen-1786124613-DIb9vscqRySAtXxBdff1,461,3086,3547,384,2534,,,,,,,,,[],[],"{""completion_tokens"": 3086, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 2534, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.01263289, ""cost_details"": {""upstream_inference_completions_cost"": 0.0124983, ""upstream_inference_cost"": 0.01263289, ""upstream_inference_prompt_cost"": 0.00013459}, ""is_byok"": false, ""prompt_tokens"": 461, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 384, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 3547}"
litellm_completion,inkling,household.intertemporal_elasticity_of_substitution,6,ies-clarify,none,1,gen-1786124648-TkgfrnvuP2X6CWz3YqBo,461,3827,4288,384,3979,,,,,,,,,[],[],"{""completion_tokens"": 3827, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 3979, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.01563394, ""cost_details"": {""upstream_inference_completions_cost"": 0.01549935, ""upstream_inference_cost"": 0.01563394, ""upstream_inference_prompt_cost"": 0.00013459}, ""is_byok"": false, ""prompt_tokens"": 461, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 384, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 4288}"
litellm_completion,inkling,household.intertemporal_elasticity_of_substitution,7,ies-clarify,none,1,gen-1786124685-3agItl2kI6btmwG5G4Au,461,3428,3889,384,2915,,,,,,,,,[],[],"{""completion_tokens"": 3428, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 2915, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.01401799, ""cost_details"": {""upstream_inference_completions_cost"": 0.0138834, ""upstream_inference_cost"": 0.01401799, ""upstream_inference_prompt_cost"": 0.00013459}, ""is_byok"": false, ""prompt_tokens"": 461, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 384, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 3889}"
litellm_completion,inkling,household.intertemporal_elasticity_of_substitution,8,ies-clarify,none,1,gen-1786124722-v24oSgGbMIYZFltqAufU,461,3201,3662,384,2538,,,,,,,,,[],[],"{""completion_tokens"": 3201, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 2538, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.01309864, ""cost_details"": {""upstream_inference_completions_cost"": 0.01296405, ""upstream_inference_cost"": 0.01309864, ""upstream_inference_prompt_cost"": 0.00013459}, ""is_byok"": false, ""prompt_tokens"": 461, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 384, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 3662}"
litellm_completion,inkling,household.intertemporal_elasticity_of_substitution,9,ies-clarify,none,1,gen-1786124753-W30Th0kZDVVM1rtZD8Fa,461,1504,1965,384,1157,,,,,,,,,[],[],"{""completion_tokens"": 1504, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 1157, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.00622579, ""cost_details"": {""upstream_inference_completions_cost"": 0.0060912, ""upstream_inference_cost"": 0.00622579, ""upstream_inference_prompt_cost"": 0.00013459}, ""is_byok"": false, ""prompt_tokens"": 461, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 384, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 1965}"
litellm_completion,inkling,household.intertemporal_elasticity_of_substitution,10,ies-clarify,none,1,gen-1786124766-5SNJcMdGh5h7Yb8s4WX4,461,4044,4505,384,3489,,,,,,,,,[],[],"{""completion_tokens"": 4044, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 3489, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.01651279, ""cost_details"": {""upstream_inference_completions_cost"": 0.0163782, ""upstream_inference_cost"": 0.01651279, ""upstream_inference_prompt_cost"": 0.00013459}, ""is_byok"": false, ""prompt_tokens"": 461, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 384, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 4505}"
