source_label,model_name,quantity_id,n_successful_runs,pooled_point_estimate,pooled_90_interval,reml_predictive_90_interval,bayes_predictive_90_interval,usage_total_tokens_per_successful_run,usage_estimated_total_cost_usd_per_successful_run,source_dir
gpt-5.4-elasticities-batch15-v2,gpt-5.4,household.intertemporal_elasticity_of_substitution,15,0.5,"[0.1514, 1.466]","[0.1612, 1.352]","[0.268, 0.8948]",276.53333333333336,0.003366333333333333,results/gpt-5.4-elasticities-batch15-v2
gpt-5.4-elasticities-batch15-v2,gpt-5.4,labor_supply.extensive_margin.single_mothers,15,0.7266666666666667,"[0.2015, 1.789]","[0.1106, 1.483]","[0.3512, 1.134]",281.8666666666667,0.0034596666666666664,results/gpt-5.4-elasticities-batch15-v2
gpt-5.4-elasticities-batch15-v2,gpt-5.4,labor_supply.frisch_elasticity.prime_age,15,0.5333333333333333,"[0.1618, 1.876]","[0.1785, 1.473]","[0.2863, 0.9619]",263.0,0.0031600000000000005,results/gpt-5.4-elasticities-batch15-v2
gpt-5.4-elasticities-batch15-v2,gpt-5.4,labor_supply.income_elasticity.prime_age,15,-0.09333333333333334,"[-0.2997, 0.07317]","[-0.2558, 0.0659]","[-0.1834, 0.0001864]",274.6,0.003349,results/gpt-5.4-elasticities-batch15-v2
gpt-5.4-elasticities-batch15-v2,gpt-5.4,labor_supply.marshallian_wage_elasticity.prime_age,15,0.12666666666666665,"[-0.0983, 0.4988]","[-0.1261, 0.3851]","[-0.01985, 0.2696]",283.3333333333333,0.0034733333333333335,results/gpt-5.4-elasticities-batch15-v2
gpt-5.4-elasticities-batch15-v2,gpt-5.4,production.capital_labor_substitution,15,0.8,"[0.4, 1.393]","[0.4388, 1.415]","[0.5733, 1.106]",275.6666666666667,0.0033566666666666662,results/gpt-5.4-elasticities-batch15-v2
gpt-5.4-elasticities-batch15-v2,gpt-5.4,tax.elasticity_of_taxable_income.top_earners,15,0.4166666666666667,"[0.1501, 1.077]","[0.0622, 0.8386]","[0.207, 0.6441]",281.73333333333335,0.0034510000000000005,results/gpt-5.4-elasticities-batch15-v2
gpt-5.4-elasticities-batch15-v2,gpt-5.4,trade.armington_elasticity.import_domestic,15,1.8333333333333333,"[0.7018, 6.029]","[0.6686, 4.548]","[0.9893, 3.268]",248.46666666666667,0.0029720000000000002,results/gpt-5.4-elasticities-batch15-v2
gpt-5.4-mini-elasticities-batch15-v2,gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,15,0.6,"[0.09677, 1.976]","[0.1294, 2.041]","[0.2558, 1.268]",257.1333333333333,0.0009225999999999999,results/gpt-5.4-mini-elasticities-batch15-v2
gpt-5.4-mini-elasticities-batch15-v2,gpt-5.4-mini,labor_supply.extensive_margin.single_mothers,15,0.38666666666666666,"[-0.04907, 1.494]","[-0.0573, 0.8979]","[0.1064, 0.6573]",245.73333333333332,0.0008753,results/gpt-5.4-mini-elasticities-batch15-v2
