provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,grok-4.20,household.annual_discount_factor,1,v4,none,1,2cc3979f-8f45-9c80-9c59-cfac8cd1fede,677,105,2204,64,1422,,,,,0.0104008,,,,[],[],"{""completion_tokens"": 105, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1422, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 104008000, ""litellm_cost_usd"": 0.0104008, ""num_sources_used"": 0, ""prompt_tokens"": 677, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 64, ""image_tokens"": 0, ""text_tokens"": 677}, ""total_tokens"": 2204}"
litellm_completion,grok-4.20,household.annual_discount_factor,2,v4,none,1,8ac88831-2c1f-9119-ae2d-65430f007f98,677,125,2192,640,1390,,,,,0.009292000000000002,,,,[],[],"{""completion_tokens"": 125, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1390, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 92920000, ""litellm_cost_usd"": 0.009292000000000002, ""num_sources_used"": 0, ""prompt_tokens"": 677, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 640, ""image_tokens"": 0, ""text_tokens"": 677}, ""total_tokens"": 2192}"
litellm_completion,grok-4.20,household.annual_discount_factor,3,v4,none,1,b3030a5f-5c1f-9631-b1fa-0bb1fbe8e606,677,127,1909,640,1105,,,,,0.007594,,,,[],[],"{""completion_tokens"": 127, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1105, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 75940000, ""litellm_cost_usd"": 0.007594, ""num_sources_used"": 0, ""prompt_tokens"": 677, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 640, ""image_tokens"": 0, ""text_tokens"": 677}, ""total_tokens"": 1909}"
litellm_completion,grok-4.20,household.annual_discount_factor,4,v4,none,1,d2d4ed45-3882-97cc-8723-a140cb90bd61,677,130,2054,640,1247,,,,,0.008464000000000001,,,,[],[],"{""completion_tokens"": 130, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1247, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 84640000, ""litellm_cost_usd"": 0.008464000000000001, ""num_sources_used"": 0, ""prompt_tokens"": 677, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 640, ""image_tokens"": 0, ""text_tokens"": 677}, ""total_tokens"": 2054}"
litellm_completion,grok-4.20,household.annual_discount_factor,5,v4,none,1,bc17396b-d10e-9e7e-8db4-8b8444ee7f15,677,121,1552,640,754,,,,,0.005452,,,,[],[],"{""completion_tokens"": 121, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 754, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 54520000, ""litellm_cost_usd"": 0.005452, ""num_sources_used"": 0, ""prompt_tokens"": 677, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 640, ""image_tokens"": 0, ""text_tokens"": 677}, ""total_tokens"": 1552}"
litellm_completion,grok-4.20,household.annual_discount_factor,6,v4,none,1,6d572e74-cf94-9984-9018-644fd7aec996,677,119,2192,640,1396,,,,,0.009292000000000002,,,,[],[],"{""completion_tokens"": 119, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1396, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 92920000, ""litellm_cost_usd"": 0.009292000000000002, ""num_sources_used"": 0, ""prompt_tokens"": 677, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 640, ""image_tokens"": 0, ""text_tokens"": 677}, ""total_tokens"": 2192}"
litellm_completion,grok-4.20,household.annual_discount_factor,7,v4,none,1,06876b3b-c91f-931b-a9c8-8c703bb34618,677,150,2289,640,1462,,,,,0.009874,,,,[],[],"{""completion_tokens"": 150, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1462, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 98740000, ""litellm_cost_usd"": 0.009874, ""num_sources_used"": 0, ""prompt_tokens"": 677, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 640, ""image_tokens"": 0, ""text_tokens"": 677}, ""total_tokens"": 2289}"
litellm_completion,grok-4.20,household.annual_discount_factor,8,v4,none,1,a059486d-52d3-9195-b278-63ac771c4e81,677,104,2476,640,1695,,,,,0.010996,,,,[],[],"{""completion_tokens"": 104, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1695, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 109960000, ""litellm_cost_usd"": 0.010996, ""num_sources_used"": 0, ""prompt_tokens"": 677, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 640, ""image_tokens"": 0, ""text_tokens"": 677}, ""total_tokens"": 2476}"
litellm_completion,grok-4.20,household.annual_discount_factor,9,v4,none,1,a99a5b56-2819-9c3a-ab73-0e10dae57cbd,677,136,2877,640,2064,,,,,0.013402,,,,[],[],"{""completion_tokens"": 136, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 2064, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 134020000, ""litellm_cost_usd"": 0.013402, ""num_sources_used"": 0, ""prompt_tokens"": 677, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 640, ""image_tokens"": 0, ""text_tokens"": 677}, ""total_tokens"": 2877}"
litellm_completion,grok-4.20,household.annual_discount_factor,10,v4,none,1,10302369-ded8-97a5-930d-1c6e84277ba3,677,115,2286,64,1494,,,,,0.0108928,,,,[],[],"{""completion_tokens"": 115, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""image_tokens"": null, ""reasoning_tokens"": 1494, ""rejected_prediction_tokens"": 0, ""text_tokens"": null}, ""cost_in_usd_ticks"": 108928000, ""litellm_cost_usd"": 0.0108928, ""num_sources_used"": 0, ""prompt_tokens"": 677, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 64, ""image_tokens"": 0, ""text_tokens"": 677}, ""total_tokens"": 2286}"
