provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,claude-opus-4.6,household.intertemporal_elasticity_of_substitution,1,ies-clarify,none,1,chatcmpl-4681ce4e-6ca9-4b2a-8901-a6091ce90be3,1339,535,1874,0,0,,,,,0.02007,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 535, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 535, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.02007, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1874}"
litellm_completion,claude-opus-4.6,household.intertemporal_elasticity_of_substitution,2,ies-clarify,none,1,chatcmpl-8c438b1a-8537-4c37-aba1-da1851016002,1339,491,1830,0,0,,,,,0.01897,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 491, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 491, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.01897, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1830}"
litellm_completion,claude-opus-4.6,household.intertemporal_elasticity_of_substitution,3,ies-clarify,none,1,chatcmpl-d5175a55-a3d1-4976-8dd2-79fe9d87d5ac,1339,504,1843,0,0,,,,,0.019295,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 504, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 504, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.019295, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1843}"
litellm_completion,claude-opus-4.6,household.intertemporal_elasticity_of_substitution,4,ies-clarify,none,1,chatcmpl-a5ab6941-3af0-4699-9e40-e5dc6c665bb0,1339,497,1836,0,0,,,,,0.01912,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 497, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 497, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.01912, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1836}"
litellm_completion,claude-opus-4.6,household.intertemporal_elasticity_of_substitution,5,ies-clarify,none,1,chatcmpl-d86c3c94-b3a0-4057-81b4-d564e97eeec2,1339,509,1848,0,0,,,,,0.01942,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 509, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 509, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.01942, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1848}"
litellm_completion,claude-opus-4.6,household.intertemporal_elasticity_of_substitution,6,ies-clarify,none,1,chatcmpl-67906098-fbe1-4cc6-a3cc-0efc5d6f7890,1339,465,1804,0,0,,,,,0.01832,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 465, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 465, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.01832, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1804}"
litellm_completion,claude-opus-4.6,household.intertemporal_elasticity_of_substitution,7,ies-clarify,none,1,chatcmpl-418eb931-5233-45df-96b0-82c7b971d251,1339,505,1844,0,0,,,,,0.01932,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 505, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 505, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.01932, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1844}"
litellm_completion,claude-opus-4.6,household.intertemporal_elasticity_of_substitution,8,ies-clarify,none,1,chatcmpl-e3feeaf1-408f-4a16-9306-695f1fcd2f39,1339,505,1844,0,0,,,,,0.01932,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 505, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 505, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.01932, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1844}"
litellm_completion,claude-opus-4.6,household.intertemporal_elasticity_of_substitution,9,ies-clarify,none,1,chatcmpl-6847306d-b91b-408d-a2c5-57961c77db88,1339,495,1834,0,0,,,,,0.01907,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 495, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 495, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.01907, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1834}"
litellm_completion,claude-opus-4.6,household.intertemporal_elasticity_of_substitution,10,ies-clarify,none,1,chatcmpl-e6749210-ff82-4e71-aea5-3356bd6ff98b,1339,493,1832,0,0,,,,,0.019020000000000002,,,,[],[],"{""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""completion_tokens"": 493, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": null, ""image_tokens"": null, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": null, ""text_tokens"": 493, ""video_tokens"": null}, ""inference_geo"": ""global"", ""litellm_cost_usd"": 0.019020000000000002, ""prompt_tokens"": 1339, ""prompt_tokens_details"": {""audio_tokens"": null, ""cache_creation_token_details"": {""ephemeral_1h_input_tokens"": 0, ""ephemeral_5m_input_tokens"": 0}, ""cache_creation_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""speed"": null, ""total_tokens"": 1832}"
