provider,model_name,quantity_id,request_index,prompt_version,tool_regime,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_tool_cost_usd,estimated_total_cost_usd,tool_call_count,web_search_call_count,code_interpreter_call_count,tool_sources,tool_trace,usage
litellm_completion,qwen3.8-max,household.intertemporal_elasticity_of_substitution,1,ies-clarify,none,1,gen-1786073536-NK1RYUADDLQzLBfO1DyW,539,6392,6931,0,6073,,,,,,,,,[],[],"{""completion_tokens"": 6392, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 6073, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.03943, ""cost_details"": {""upstream_inference_completions_cost"": 0.038352, ""upstream_inference_cost"": 0.03943, ""upstream_inference_prompt_cost"": 0.001078}, ""is_byok"": false, ""prompt_tokens"": 539, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 6931}"
litellm_completion,qwen3.8-max,household.intertemporal_elasticity_of_substitution,2,ies-clarify,none,1,gen-1786073536-SGu7I9Cnj3pCBmeKnkVy,539,5004,5543,0,4665,,,,,,,,,[],[],"{""completion_tokens"": 5004, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 4665, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.031102, ""cost_details"": {""upstream_inference_completions_cost"": 0.030024, ""upstream_inference_cost"": 0.031102, ""upstream_inference_prompt_cost"": 0.001078}, ""is_byok"": false, ""prompt_tokens"": 539, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 5543}"
litellm_completion,qwen3.8-max,household.intertemporal_elasticity_of_substitution,3,ies-clarify,none,1,gen-1786073536-Deq72ftTujPeyZO6zVh1,539,7041,7580,0,6724,,,,,,,,,[],[],"{""completion_tokens"": 7041, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 6724, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.043324, ""cost_details"": {""upstream_inference_completions_cost"": 0.042246, ""upstream_inference_cost"": 0.043324, ""upstream_inference_prompt_cost"": 0.001078}, ""is_byok"": false, ""prompt_tokens"": 539, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 7580}"
litellm_completion,qwen3.8-max,household.intertemporal_elasticity_of_substitution,4,ies-clarify,none,1,gen-1786073536-KcVcLSnWA3NW3rH2ycC7,539,4754,5293,0,4443,,,,,,,,,[],[],"{""completion_tokens"": 4754, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 4443, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.029602, ""cost_details"": {""upstream_inference_completions_cost"": 0.028524, ""upstream_inference_cost"": 0.029602, ""upstream_inference_prompt_cost"": 0.001078}, ""is_byok"": false, ""prompt_tokens"": 539, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 5293}"
litellm_completion,qwen3.8-max,household.intertemporal_elasticity_of_substitution,5,ies-clarify,none,1,gen-1786107901-E50N7dBK9nGJgD7PEbys,539,4512,5051,0,4175,,,,,,,,,[],[],"{""completion_tokens"": 4512, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 4175, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.02815, ""cost_details"": {""upstream_inference_completions_cost"": 0.027072, ""upstream_inference_cost"": 0.02815, ""upstream_inference_prompt_cost"": 0.001078}, ""is_byok"": false, ""prompt_tokens"": 539, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 5051}"
litellm_completion,qwen3.8-max,household.intertemporal_elasticity_of_substitution,6,ies-clarify,none,1,gen-1786108003-BpWqi5yGSe35abW2VwMc,539,12670,13209,0,12323,,,,,,,,,[],[],"{""completion_tokens"": 12670, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 12323, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.077098, ""cost_details"": {""upstream_inference_completions_cost"": 0.07602, ""upstream_inference_cost"": 0.077098, ""upstream_inference_prompt_cost"": 0.001078}, ""is_byok"": false, ""prompt_tokens"": 539, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 13209}"
litellm_completion,qwen3.8-max,household.intertemporal_elasticity_of_substitution,7,ies-clarify,none,1,gen-1786108289-tUrtjz3APMuN1AoeHNrO,539,5923,6462,0,5563,,,,,,,,,[],[],"{""completion_tokens"": 5923, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 5563, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.036616, ""cost_details"": {""upstream_inference_completions_cost"": 0.035538, ""upstream_inference_cost"": 0.036616, ""upstream_inference_prompt_cost"": 0.001078}, ""is_byok"": false, ""prompt_tokens"": 539, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 6462}"
litellm_completion,qwen3.8-max,household.intertemporal_elasticity_of_substitution,8,ies-clarify,none,1,gen-1786108425-i2jekzwzDYu9aYS8Spwp,539,6583,7122,0,6259,,,,,,,,,[],[],"{""completion_tokens"": 6583, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 6259, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.040576, ""cost_details"": {""upstream_inference_completions_cost"": 0.039498, ""upstream_inference_cost"": 0.040576, ""upstream_inference_prompt_cost"": 0.001078}, ""is_byok"": false, ""prompt_tokens"": 539, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 7122}"
litellm_completion,qwen3.8-max,household.intertemporal_elasticity_of_substitution,9,ies-clarify,none,1,gen-1786108571-WhoWnNDvwNQ4AixklI9I,539,4810,5349,0,4467,,,,,,,,,[],[],"{""completion_tokens"": 4810, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 4467, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.029938, ""cost_details"": {""upstream_inference_completions_cost"": 0.02886, ""upstream_inference_cost"": 0.029938, ""upstream_inference_prompt_cost"": 0.001078}, ""is_byok"": false, ""prompt_tokens"": 539, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 5349}"
litellm_completion,qwen3.8-max,household.intertemporal_elasticity_of_substitution,10,ies-clarify,none,1,gen-1786108675-PqmQWNYCNY4i81cbUXQ7,539,4282,4821,0,3950,,,,,,,,,[],[],"{""completion_tokens"": 4282, ""completion_tokens_details"": {""accepted_prediction_tokens"": null, ""audio_tokens"": 0, ""image_tokens"": 0, ""reasoning_tokens"": 3950, ""rejected_prediction_tokens"": null, ""text_tokens"": null, ""video_tokens"": null}, ""cost"": 0.02677, ""cost_details"": {""upstream_inference_completions_cost"": 0.025692, ""upstream_inference_cost"": 0.02677, ""upstream_inference_prompt_cost"": 0.001078}, ""is_byok"": false, ""prompt_tokens"": 539, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cache_write_tokens"": 0, ""cached_tokens"": 0, ""image_tokens"": null, ""text_tokens"": null, ""video_tokens"": 0}, ""total_tokens"": 4821}"
